note,length,delay
60,0,0
60,254,0
64,2,0
64,254,0
67,2,0
67,254,0
67,2,0
48,0,0
67,254,0
48,0,0
52,2,0
55,0,0
52,254,0
55,0,0
79,2,0
52,0,0
55,0,0
52,126,0
55,0,0
79,105,0
79,25,0
48,0,0
79,231,0
48,23,0
52,2,0
55,0,0
52,254,0
55,0,0
76,2,0
52,0,0
55,0,0
52,126,0
55,0,0
76,105,0
76,25,0
48,0,0
76,231,0
48,23,0
52,2,0
55,0,0
52,254,0
55,0,0
60,2,0
52,0,0
55,0,0
52,126,0
55,0,0
60,128,0
60,2,0
48,0,0
60,254,0
48,0,0
64,2,0
52,0,0
55,0,0
64,254,0
52,0,0
55,0,0
67,2,0
52,0,0
55,0,0
52,126,0
55,0,0
67,128,0
67,2,0
50,0,0
67,254,0
50,0,0
53,2,0
55,0,0
53,254,0
55,0,0
79,2,0
53,0,0
55,0,0
53,126,0
55,0,0
79,105,0
79,25,0
50,0,0
79,231,0
50,23,0
53,2,0
55,0,0
53,254,0
55,0,0
77,2,0
53,0,0
55,0,0
53,126,0
55,0,0
77,105,0
77,25,0
50,0,0
77,231,0
50,23,0
53,2,0
55,0,0
53,254,0
55,0,0
59,2,0
53,0,0
55,0,0
53,126,0
55,0,0
59,128,0
59,2,0
50,0,0
59,254,0
50,0,0
62,2,0
53,0,0
55,0,0
62,254,0
53,0,0
55,0,0
69,2,0
53,0,0
55,0,0
53,126,0
55,0,0
69,128,0
69,2,0
50,0,0
69,254,0
50,0,0
53,2,0
55,0,0
53,254,0
55,0,0
81,2,0
53,0,0
55,0,0
53,126,0
55,0,0
81,105,0
81,25,0
50,0,0
81,231,0
50,23,0
53,2,0
55,0,0
53,254,0
55,0,0
77,2,0
53,0,0
55,0,0
53,126,0
55,0,0
77,105,0
77,25,0
50,0,0
77,231,0
50,23,0
53,2,0
55,0,0
53,254,0
55,0,0
59,2,0
53,0,0
55,0,0
53,126,0
55,0,0
59,128,0
59,2,0
50,0,0
50,231,0
59,23,0
62,2,0
53,0,0
55,0,0
53,231,0
55,0,0
62,23,0
69,2,0
53,0,0
55,0,0
53,231,0
55,0,0
69,23,0
69,2,0
48,0,0
48,231,0
69,23,0
52,2,0
55,0,0
52,231,0
55,0,0
81,25,0
52,0,0
55,0,0
81,231,0
52,0,0
55,0,0
81,25,0
48,0,0
81,231,0
48,0,0
52,25,0
55,0,0
52,231,0
55,0,0
76,25,0
52,0,0
55,0,0
76,231,0
52,0,0
55,0,0
76,25,0
48,0,0
76,231,0
48,0,0
52,25,0
55,0,0
52,231,0
55,0,0
60,25,0
52,0,0
55,0,0
52,231,0
55,0,0
60,23,0
60,2,0
48,0,0
48,231,0
60,23,0
64,2,0
52,0,0
55,0,0
52,231,0
55,0,0
64,23,0
67,2,0
52,0,0
55,0,0
52,231,0
55,0,0
67,23,0
72,2,0
52,0,0
52,231,0
72,23,0
55,2,0
60,0,0
55,231,0
60,0,0
72,25,0
55,0,0
60,0,0
72,231,0
55,0,0
60,0,0
72,25,0
52,0,0
72,231,0
52,0,0
55,25,0
60,0,0
55,231,0
60,0,0
67,25,0
55,0,0
60,0,0
67,231,0
55,0,0
60,0,0
67,25,0
52,0,0
67,231,0
52,0,0
55,25,0
60,0,0
55,231,0
60,0,0
60,25,0
60,254,0
60,2,0
48,0,0
48,231,0
60,23,0
64,2,0
52,0,0
55,0,0
52,231,0
55,0,0
64,23,0
67,2,0
52,0,0
55,0,0
52,231,0
55,0,0
67,23,0
72,2,0
53,0,0
53,231,0
72,23,0
57,2,0
60,0,0
57,231,0
60,0,0
72,25,0
57,0,0
60,0,0
72,231,0
57,0,0
60,0,0
72,25,0
53,0,0
72,231,0
53,0,0
57,25,0
60,0,0
57,231,0
60,0,0
69,25,0
57,0,0
60,0,0
69,231,0
57,0,
60,0,
69,25,0
53,0,0
69,231,0
53,0,0
57,25,0
60,0,0
57,231,0
60,0,0
62,25,0
62,254,0
62,2,0
50,0,0
50,231,0
62,23,0
65,2,0
53,0,0
53,231,0
65,23,0
69,2,0
57,0,0
57,231,0
69,23,0
69,2,0
50,0,0
50,231,0
53,25,0
55,0,0
53,231,0
55,0,0
53,25,0
55,0,0
53,231,0
55,0,0
43,25,0
43,231,0
69,23,0
66,2,0
53,0,0
55,0,0
53,231,0
55,0,0
66,23,0
67,2,0
53,0,0
55,0,0
53,231,0
55,0,0
67,23,0
76,2,0
48,0,0
48,231,0
52,25,0
55,0,0
52,231,0
55,0,0
52,25,0
55,0,0
52,231,0
55,0,0
45,25,0
45,231,0
76,23,0
72,2,0
48,0,0
52,0,0
48,231,0
52,0,0
72,23,0
64,2,0
48,0,0
52,0,0
48,231,0
52,0,0
64,23,0
64,2,0
50,0,0
50,231,0
53,25,0
57,0,0
53,231,0
57,0,0
64,20,0
62,5,0
53,0,0
57,0,0
53,231,0
57,0,0
62,23,0
69,2,0
50,0,0
50,231,0
53,25,0
55,0,0
53,231,0
55,0,0
69,20,0
67,5,0
53,0,0
55,0,0
53,231,0
55,0,0
67,23,0
60,2,0
48,0,0
48,231,0
52,25,0
55,0,0
60,125,0
60,3,0
52,103,0
55,0,0
60,13,0
60,12,0
52,0,0
55,0,0
60,231,0
52,0,0
55,0,0
60,25,0
48,0,0
52,0,0
55,0,0
60,126,0
48,0,0
52,0,0
55,0,0
