note,length,delay
60,0,0
71,4,0
100,85,0
60,89,0
60,27,0
98,0,0
70,0,0
60,81,0
69,103,0
97,4,0
60,40,0
68,9,0
96,4,0
60,0,0
67,99,0
95,4,0
67,22,0
60,0,0
66,102,0
94,18,0
60,0,0
65,49,0
93,5,0
65,17,0
60,0,0
79,5,0
63,72,0
82,13,0
91,13,0
44,18,0
48,4,0
72,0,0
68,0,0
53,0,0
73,0,0
71,0,0
57,0,0
64,4,0
55,9,0
74,5,0
60,4,0
51,0,0
88,5,0
83,0,0
79,0,0
74,0,0
48,4,0
68,18,0
53,0,0
70,58,0
89,4,0
88,0,0
83,0,0
74,0,0
55,0,0
51,0,0
79,5,0
60,0,0
64,5,0
55,0,0
70,13,0
69,0,0
83,0,0
68,4,0
53,0,0
48,5,0
45,4,0
73,0,0
58,5,0
83,4,0
82,4,0
67,5,0
79,23,0
55,0,0
83,0,0
85,9,0
84,0,0
71,5,0
68,0,0
51,0,0
49,4,0
62,5,0
71,13,0
55,23,0
82,4,0
79,0,0
74,0,0
60,0,0
83,4,0
82,53,0
68,5,0
53,0,0
73,4,0
71,0,0
48,0,0
63,0,0
44,4,0
72,14,0
75,0,0
70,0,0
79,4,0
60,0,0
56,0,0
51,4,0
53,5,0
75,58,0
60,0,0
82,5,0
79,0,0
56,0,0
84,0,0
85,4,0
70,0,0
72,9,0
63,0,0
78,4,0
83,0,0
84,5,0
67,0,0
51,0,0
45,4,0
63,0,0
58,9,0
83,0,0
82,23,0
51,9,0
84,5,0
75,0,0
60,0,0
70,4,0
71,13,0
51,0,0
66,9,0
72,0,0
71,0,0
57,5,0
51,4,0
83,5,0
75,0,0
70,0,0
60,0,0
57,0,0
85,4,0
84,0,0
79,0,0
56,5,0
44,53,0
72,9,0
68,0,0
64,0,0
53,0,0
71,0,0
64,5,0
55,0,0
79,9,0
70,0,0
60,0,0
74,4,0
51,0,0
83,0,0
55,0,0
65,23,0
53,4,0
60,58,0
83,4,0
74,0,0
55,0,0
51,0,0
79,0,0
51,0,0
64,0,0
55,0,0
83,0,0
68,0,0
51,0,0
45,4,0
73,4,0
58,0,0
83,0,0
67,0,0
82,22,0
79,0,0
74,0,0
70,0,0
60,4,0
55,0,0
65,9,0
68,5,0
51,0,0
71,31,0
62,0,0
79,0,0
74,0,0
55,0,0
83,4,0
70,0,0
60,0,0
82,53,0
72,0,0
68,5,0
64,0,0
51,0,0
73,0,0
71,0,0
44,5,0
63,5,0
72,0,0
75,17,0
60,0,0
84,5,0
79,0,0
70,0,0
51,4,0
85,5,0
68,9,0
51,0,0
75,58,0
57,0,0
83,5,0
70,0,0
51,0,0
79,0,0
56,0,0
60,9,0
45,49,0
83,5,0
80,0,0
75,0,0
68,4,0
51,0,0
83,0,0
84,18,0
81,0,0
60,0,0
79,5,0
70,0,0
56,0,0
51,0,0
68,27,0
51,0,0
84,58,0
81,0,0
75,0,0
82,4,0
60,0,0
56,0,0
51,0,0
79,0,0
44,49,0
72,5,0
65,0,0
68,4,0
51,0,0
71,0,0
55,9,0
74,4,0
60,0,0
50,0,0
79,4,0
74,0,0
55,0,0
51,5,0
51,4,0
65,23,0
68,4,0
51,0,0
81,53,0
70,5,0
60,0,0
55,0,0
83,4,0
74,0,0
85,5,0
79,0,0
55,9,0
70,5,0
64,0,0
74,4,0
83,13,0
80,4,0
74,0,0
65,0,0
72,5,0
68,0,0
51,0,0
45,5,0
67,0,0
58,5,0
73,0,0
83,0,0
81,14,0
79,0,0
74,4,0
58,0,0
71,9,0
68,0,0
51,0,0
62,4,0
81,22,0
82,5,0
79,0,0
74,0,0
60,0,0
83,0,0
72,62,0
78,5,0
73,0,0
68,0,0
65,0,0
51,0,0
71,0,0
44,5,0
63,0,0
72,4,0
79,0,0
75,0,0
60,0,0
55,0,0
70,5,0
51,0,0
84,9,0
79,0,0
74,4,0
65,0,0
51,4,0
60,54,0
81,4,0
75,0,0
51,0,0
82,5,0
79,0,0
70,0,0
56,0,0
63,5,0
83,22,0
65,0,0
73,4,0
51,0,0
67,0,0
58,0,0
45,9,0
83,13,0
79,4,0
75,0,0
60,0,0
56,4,0
51,0,0
65,54,0
68,4,0
51,0,0
66,31,0
57,0,0
81,18,0
79,0,0
70,0,0
84,0,0
83,0,0
75,0,0
60,0,0
56,0,0
51,0,0
53,49,0
72,5,0
73,4,0
68,0,0
51,0,0
44,4,0
71,0,0
74,0,0
55,9,0
64,9,0
79,40,0
74,0,0
72,0,0
70,0,0
83,0,0
51,0,0
60,4,0
83,5,0
53,0,0
68,9,0
51,0,0
83,0,0
81,36,0
79,5,0
74,0,0
82,4,0
51,0,0
85,9,0
60,5,0
55,4,0
70,27,0
54,0,0
67,4,0
73,0,0
71,0,0
65,0,0
51,0,0
58,0,0
45,14,0
79,0,0
74,4,0
60,0,0
55,0,0
83,62,0
70,0,0
68,5,0
51,0,0
71,0,0
62,23,0
82,0,0
82,0,0
81,0,0
85,4,0
83,0,0
79,0,0
60,0,0
55,0,0
70,5,0
72,67,0
53,0,0
51,4,0
71,0,0
63,13,0
