note,length,delay
66,0,80
66,96,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
64,0,80
64,95,0
64,0,80
64,97,0
61,0,80
61,95,0
61,0,80
61,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
66,0,80
66,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
66,0,80
66,97,0
59,0,80
59,95,0
66,0,80
66,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
64,0,80
64,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
64,0,80
64,97,0
61,0,80
61,95,0
71,0,80
59,97,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
71,95,0
59,0,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
69,0,80
66,97,0
64,0,80
64,95,0
64,0,80
64,97,0
61,0,80
61,95,0
61,0,80
61,97,0
59,0,80
69,95,0
59,0,0
71,0,80
59,97,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
66,0,80
66,97,0
59,0,80
71,95,0
59,0,0
73,0,80
59,97,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
66,0,80
66,97,0
59,0,80
73,95,0
59,0,0
66,0,80
66,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
64,0,80
64,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
64,0,80
64,97,0
61,0,80
61,95,0
74,0,80
57,97,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
74,95,0
57,0,0
64,0,80
64,97,0
57,0,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
57,95,0
64,0,80
64,97,0
57,0,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
57,95,0
73,0,80
57,97,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
73,95,0
57,0,0
69,0,80
57,97,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
69,95,0
57,0,0
64,0,80
64,97,0
57,0,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
57,95,0
64,0,80
64,97,0
57,0,80
57,95,0
57,0,80
57,97,0
64,0,80
64,95,0
57,0,80
57,97,0
57,0,80
57,95,0
64,0,80
64,97,0
57,0,80
57,95,0
66,0,80
64,97,80
64,95,0
61,0,80
61,97,0
59,0,80
66,95,0
59,0,0
71,0,80
59,97,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
71,95,0
59,0,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
59,0,80
59,97,0
59,0,80
59,95,0
66,0,80
69,0,80
66,97,0
64,0,80
64,95,0
64,0,80
64,97,0
61,0,80
61,95,0
61,0,80
61,97,0
59,0,80
69,95,0
59,0,0
71,0,80
59,97,80
59,95,0
59,0,80
59,97,0
66,0,80
66,95,0
66,0,80
66,97,0
59,0,80
71,95,0
59,0,0
66,0,80
66,97,0
59,0,80
59,95,0
59,0,80
59,97,0
71,0,80
71,95,0
