note,length,delay
35,0,80
47,0,80
54,0,80
59,0,80
62,0,80
66,0,80
59,1152,80
57,576,80
59,576,80
61,576,80
54,192,80
62,384,80
50,192,80
71,384,80
74,0,80
47,0,80
73,96,80
78,0,80
35,95,0
47,0,0
54,0,0
59,0,0
62,0,0
66,0,0
59,0,0
57,0,0
59,0,0
61,0,0
54,0,0
62,0,0
50,0,0
71,0,0
74,0,0
47,0,0
73,0,0
78,0,0
71,0,80
74,0,80
59,0,80
71,193,0
74,0,0
59,0,0
73,0,80
78,0,80
54,0,80
73,192,0
78,0,0
54,0,0
71,0,80
74,0,80
50,0,80
71,96,0
74,0,0
73,0,80
78,0,80
50,95,0
73,0,0
78,0,0
71,0,80
74,0,80
52,0,80
52,193,0
57,0,80
71,192,0
74,0,0
57,0,0
69,0,80
73,0,80
47,0,80
69,96,0
73,0,0
74,0,80
47,95,0
74,0,0
69,0,80
73,0,80
59,0,80
69,97,0
73,0,0
74,0,80
59,95,0
74,0,0
76,0,80
54,0,80
76,193,0
54,0,0
69,0,80
73,0,80
52,0,80
69,96,0
73,0,0
74,0,80
52,95,0
74,0,0
69,0,80
73,0,80
57,0,80
69,193,0
73,0,0
57,192,0
71,0,80
74,0,80
47,0,80
71,96,0
74,0,0
73,0,80
78,0,80
47,95,0
73,0,0
78,0,0
71,0,80
74,0,80
59,0,80
71,193,0
74,0,0
59,0,0
73,0,80
78,0,80
54,0,80
73,192,0
78,0,0
54,0,0
71,0,80
74,0,80
50,0,80
71,96,0
74,0,0
73,0,80
78,0,80
50,95,0
73,0,0
78,0,0
74,0,80
71,0,80
52,0,80
74,193,0
71,0,0
52,0,0
78,0,80
73,0,80
57,0,80
78,192,0
73,0,0
57,0,0
69,0,80
73,0,80
47,0,80
69,96,0
73,0,0
74,0,80
47,95,0
74,0,0
69,0,80
73,0,80
59,0,80
69,97,0
73,0,0
74,0,80
59,95,0
74,0,0
76,0,80
54,0,80
76,193,0
54,0,0
69,0,80
73,0,80
52,0,80
69,96,0
73,0,0
74,0,80
52,95,0
74,0,0
69,0,80
73,0,80
61,0,80
69,193,0
73,0,0
74,0,80
61,192,0
74,0,0
71,0,80
74,0,80
47,0,80
71,96,0
74,0,0
73,0,80
78,0,80
47,95,0
73,0,0
78,0,0
71,0,80
74,0,80
59,0,80
71,193,0
74,0,0
59,0,0
73,0,80
78,0,80
54,0,80
73,192,0
78,0,0
54,0,0
71,0,80
74,0,80
50,0,80
71,96,0
74,0,0
73,0,80
78,0,80
50,95,0
73,0,0
78,0,0
71,0,80
74,0,80
52,0,80
71,193,0
74,0,0
52,0,0
73,0,80
78,0,80
57,0,80
73,192,0
78,0,0
57,0,0
69,0,80
73,0,80
47,0,80
69,96,0
73,0,0
74,0,80
47,95,0
74,0,0
73,0,81
69,0,81
59,0,80
73,97,0
69,0,0
74,0,82
59,95,0
74,0,0
76,0,83
54,0,80
76,193,0
54,0,0
69,0,85
73,0,85
52,0,80
69,96,0
73,0,0
74,0,86
52,95,0
74,0,0
76,0,87
57,0,80
76,193,0
57,0,0
79,0,89
50,0,80
79,96,0
71,0,80
50,95,0
71,0,0
74,0,80
78,0,80
47,0,80
74,193,0
78,0,0
47,0,0
74,0,79
59,0,80
59,192,0
54,0,80
54,192,0
52,0,80
52,192,0
57,0,80
74,192,0
57,0,0
69,0,75
50,0,80
69,192,0
50,0,0
71,0,75
76,0,75
47,0,80
71,192,0
76,0,0
47,0,0
73,0,74
59,0,80
59,192,0
54,0,80
54,192,0
52,0,80
52,192,0
57,0,80
57,192,0
50,0,80
73,192,0
50,0,0
66,0,70
47,0,80
47,192,0
59,0,80
59,192,0
54,0,80
54,192,0
52,0,80
52,192,0
57,0,80
57,192,0
50,0,80
66,192,0
50,0,0
47,0,80
47,192,0
59,0,80
59,192,0
54,0,80
54,192,0
64,0,70
52,0,80
52,192,0
57,0,80
57,192,0
38,0,80
64,192,0
38,0,0
66,0,70
40,0,80
54,192,80
55,192,80
62,192,70
59,0,80
55,192,80
54,192,80
66,192,0
40,0,0
54,0,0
55,0,0
62,0,0
59,0,0
55,0,0
54,0,0
43,0,80
52,192,80
55,192,80
61,192,70
59,0,80
55,192,80
52,192,80
43,192,0
52,0,0
55,0,0
61,0,0
59,0,0
55,0,0
52,0,0
64,0,70
38,0,80
50,192,80
52,192,80
64,192,70
54,0,80
57,192,80
54,192,80
64,192,0
38,0,0
50,0,0
52,0,0
64,0,0
54,0,0
57,0,0
54,0,0
38,0,80
50,192,80
52,192,80
62,192,70
54,0,80
57,192,80
54,192,80
38,192,0
50,0,0
52,0,0
62,0,0
54,0,0
57,0,0
54,0,0
61,0,70
42,0,80
45,192,80
49,192,80
54,192,80
57,192,80
54,192,80
61,192,0
42,0,0
45,0,0
49,0,0
54,0,0
57,0,0
54,0,0
59,0,70
45,0,80
49,192,80
54,192,80
57,192,80
54,192,80
59,192,0
45,0,0
49,0,0
54,0,0
57,0,0
54,0,0
49,0,80
49,192,0
66,0,70
