note,length,delay
47,0,95
45,0,95
47,0,95
49,0,95
50,0,95
45,0,95
47,0,95
45,0,95
47,0,95
49,0,95
54,0,95
50,0,95
52,0,95
49,0,95
50,0,95
49,0,95
45,0,95
47,0,95
59,480,95
62,0,95
59,0,95
62,0,95
69,0,95
78,0,95
76,0,95
74,0,95
74,1920,95
73,0,95
69,0,95
79,0,95
81,0,95
81,0,95
83,0,95
86,0,95
85,0,95
83,0,95
81,0,95
78,0,95
54,17280,95
59,64,95
62,64,95
54,0,95
57,0,95
59,0,95
54,0,95
59,64,95
62,64,95
54,0,95
57,0,95
59,0,95
54,0,95
59,64,95
62,64,95
54,0,95
57,0,95
59,0,95
54,0,95
59,64,95
62,64,95
54,0,95
57,0,95
59,0,95
52,0,95
57,64,95
62,64,95
52,0,95
62,0,95
61,0,95
50,0,95
55,64,95
59,64,95
54,0,95
62,0,95
61,0,95
50,0,95
57,64,95
62,64,95
66,64,95
57,0,95
66,0,95
62,0,95
45,0,95
52,64,95
57,64,95
61,64,95
64,64,95
57,0,95
61,0,95
64,0,95
61,0,95
57,0,95
61,0,95
64,0,95
61,0,95
57,0,95
61,0,95
64,0,95
54,0,95
59,64,95
62,64,95
54,0,95
57,0,95
59,0,95
57,0,95
59,0,95
57,0,95
59,0,95
61,0,95
62,0,95
57,0,95
59,0,95
57,0,95
59,0,95
61,0,95
66,0,95
64,0,95
61,0,95
62,0,95
61,0,95
57,0,95
59,0,95
57,0,95
59,0,95
61,0,95
71,0,95
59,0,95
69,0,95
57,0,95
71,0,95
59,0,95
73,0,95
61,0,95
74,0,95
62,0,95
69,0,95
57,0,95
71,0,95
59,0,95
69,0,95
57,0,95
71,0,95
59,0,95
73,0,95
61,0,95
78,0,95
66,0,95
74,0,95
62,0,95
76,0,95
64,0,95
73,0,95
61,0,95
74,0,95
62,0,95
57,0,95
61,0,95
62,0,95
61,0,95
57,0,95
57,480,95
59,0,95
61,0,95
59,0,95
57,0,95
54,0,95
47,0,95
66,0,95
62,0,95
59,0,95
54,0,95
47,0,95
71,240,95
69,0,95
64,0,95
61,0,95
57,0,95
52,0,95
45,0,95
67,0,95
62,0,95
59,0,95
55,0,95
50,0,95
43,0,95
69,0,95
66,0,95
62,0,95
57,0,95
50,0,95
45,0,95
69,0,95
64,0,95
61,0,95
57,0,95
52,0,95
45,0,95
61,5760,95
57,0,95
52,0,95
49,0,95
61,0,95
57,0,95
52,0,95
45,0,95
47,0,95
83,18240,95
83,1920,95
83,1920,95
83,1920,95
83,1920,95
83,1920,95
83,1920,95
83,1920,95
83,1920,95
71,51840,95
59,0,95
69,0,95
57,0,95
71,0,95
59,0,95
73,0,95
61,0,95
74,0,95
62,0,95
69,0,95
57,0,95
71,0,95
59,0,95
69,0,95
57,0,95
71,0,95
59,0,95
73,0,95
61,0,95
78,0,95
66,0,95
74,0,95
62,0,95
76,0,95
64,0,95
73,0,95
61,0,95
74,0,95
62,0,95
57,0,95
61,0,95
62,0,95
61,0,95
57,0,95
57,480,95
59,0,95
61,0,95
59,0,95
57,0,95
54,0,95
47,0,95
