note,length,delay
47,0,57
45,2400,55
47,435,64
49,472,65
50,472,64
45,1912,63
47,97,65
45,2400,61
47,435,61
49,472,59
54,472,64
50,1432,60
52,454,64
49,1432,58
50,454,62
49,472,61
45,3352,66
47,195,65
59,0,78
62,0,78
47,0,68
54,0,62
57,0,61
59,0,68
59,0,67
62,0,67
47,0,81
54,0,57
57,0,61
59,0,67
61,0,60
62,0,60
42,0,77
54,0,59
57,0,68
49,0,83
54,0,87
59,960,52
47,0,70
54,480,52
57,0,69
59,0,63
57,480,54
59,435,65
61,472,69
62,472,62
45,0,74
52,472,54
57,0,64
57,960,59
52,0,52
59,97,66
43,0,76
50,480,53
57,0,65
59,0,63
57,480,66
43,0,77
59,435,64
50,0,80
61,472,66
55,0,84
57,472,65
66,0,65
38,0,55
50,0,55
62,1432,58
55,454,67
64,0,67
40,0,68
52,0,68
61,1432,58
62,454,64
45,0,60
61,472,55
52,0,54
57,0,62
59,0,62
45,0,85
57,169,56
45,0,50
52,480,53
59,472,72
54,0,56
61,0,65
47,0,74
54,480,78
62,472,73
59,0,92
59,0,81
54,0,84
62,0,92
59,0,87
54,472,79
59,472,82
54,472,82
59,0,107
61,0,107
66,0,107
69,0,107
45,0,78
54,480,94
59,472,95
57,472,91
45,26,81
54,480,100
59,472,104
57,472,94
62,0,103
66,0,103
71,0,103
47,0,86
35,0,74
54,480,91
61,472,117
54,472,117
59,472,105
69,472,102
54,0,98
71,435,102
59,0,104
73,472,105
54,0,96
74,26,104
71,0,73
45,0,83
33,0,78
52,472,88
78,472,117
59,0,107
52,461,99
76,472,92
69,0,70
57,0,102
52,442,99
69,472,77
57,0,105
52,461,100
62,26,99
67,0,99
71,0,99
43,0,85
31,0,78
50,480,91
59,472,109
50,472,96
55,472,102
69,0,91
50,0,100
71,0,100
55,0,104
73,0,101
50,0,100
69,0,110
74,0,110
78,0,110
38,0,92
45,0,92
50,480,91
57,480,107
74,0,96
62,0,113
67,0,112
71,0,112
76,0,112
40,0,102
52,0,102
59,480,96
67,480,127
59,472,104
79,472,127
91,0,127
66,0,127
59,472,104
64,472,111
73,0,90
59,0,86
83,0,72
74,0,96
62,0,98
66,0,98
59,0,99
52,49,90
76,0,96
64,0,41
69,0,41
73,0,41
45,0,53
57,0,53
69,0,48
62,0,60
69,0,60
43,0,79
50,480,55
55,0,63
50,0,57
69,0,62
61,0,58
64,0,58
45,0,84
71,0,68
52,0,55
57,0,62
52,0,55
57,0,65
52,0,55
57,0,60
52,0,59
83,0,73
62,0,95
47,0,57
66,90,95
71,90,95
54,300,63
59,472,60
54,472,46
81,472,57
57,0,54
54,442,43
57,472,46
54,472,40
71,26,35
78,0,35
47,0,41
59,0,41
