note,length,delay
40,0,127
40,9,127
40,9,127
39,3,127
40,0,127
40,2,127
40,1,127
40,98,127
39,177,127
40,0,127
42,9,127
42,38,127
44,14,127
40,86,127
40,177,127
40,177,127
41,96,127
41,8,127
41,56,127
41,32,127
41,104,127
41,8,127
41,56,127
41,32,127
41,104,127
60,192,127
65,0,127
63,8,127
68,0,127
65,8,127
70,0,127
65,8,127
70,0,127
63,8,127
68,0,127
60,224,127
65,0,127
63,8,127
68,0,127
65,8,127
70,0,127
65,8,127
70,0,127
63,8,127
68,0,127
60,32,127
65,0,127
58,32,127
63,0,127
60,8,127
65,0,127
65,104,127
70,0,127
63,8,127
68,0,127
60,8,127
65,0,127
58,8,127
63,0,127
60,8,127
65,0,127
