note,length,delay
66,0,64
66,227,0
66,253,64
66,227,0
68,253,64
68,227,0
69,253,64
69,227,0
69,253,64
69,227,0
69,253,64
69,227,0
62,253,64
62,227,0
62,253,64
62,227,0
61,253,64
61,227,0
61,253,64
61,227,0
61,253,64
61,227,0
64,253,64
64,227,0
64,253,64
64,227,0
64,253,64
64,227,0
64,253,64
64,227,0
64,253,64
64,227,0
66,253,64
66,227,0
66,253,64
66,227,0
68,253,64
68,227,0
69,253,64
69,227,0
69,253,64
69,227,0
69,253,64
69,227,0
62,253,64
62,227,0
62,253,64
62,227,0
61,253,64
61,227,0
61,253,64
61,227,0
61,253,64
61,227,0
64,253,64
64,227,0
64,253,64
64,227,0
64,253,64
64,227,0
64,253,64
64,227,0
66,733,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,96
69,0,96
66,239,0
69,0,0
66,1,80
69,0,80
66,227,0
69,0,0
66,13,96
69,0,96
66,239,0
69,0,0
69,1,80
69,227,0
66,13,80
68,0,80
69,0,80
66,227,0
68,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,96
69,0,96
66,239,0
69,0,0
69,1,80
69,227,0
66,13,96
69,0,96
66,239,0
69,0,0
66,1,80
69,0,80
66,227,0
69,0,0
66,13,96
69,0,96
66,239,0
69,0,0
69,1,80
69,227,0
62,13,80
66,0,80
69,0,80
62,227,0
66,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
62,13,80
66,0,80
69,0,80
62,227,0
66,0,0
69,0,0
69,13,80
69,227,0
61,13,80
66,0,80
69,0,80
61,227,0
66,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
61,13,80
66,0,80
69,0,80
61,227,0
66,0,0
69,0,0
69,13,80
69,227,0
61,13,80
66,0,80
69,0,80
61,227,0
66,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
64,13,80
66,0,80
69,0,80
64,227,0
66,0,0
69,0,0
69,13,80
69,227,0
64,13,80
66,0,80
69,0,80
64,227,0
66,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
64,13,80
66,0,80
69,0,80
64,227,0
66,0,0
69,0,0
69,13,80
69,227,0
64,13,80
66,0,80
69,0,80
64,227,0
66,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
64,13,80
66,0,80
69,0,80
64,227,0
66,0,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
68,0,80
69,0,80
66,227,0
68,0,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
66,13,80
69,0,80
66,227,0
69,0,0
69,13,80
69,227,0
66,13,80
69,0,80
66,227,0
69,0,0
