note,length,delay
69,0,61
74,0,71
38,0,68
69,1,56
74,0,70
38,0,63
67,1,56
72,0,70
38,0,63
38,1,64
67,258,44
71,0,58
38,1,66
38,1,51
62,1,64
38,0,51
38,1,52
62,1,56
64,0,70
38,0,51
60,1,56
65,0,70
38,0,51
60,1,56
67,0,70
38,0,51
62,5,61
69,0,75
34,0,67
34,1,50
58,1,56
62,0,70
34,0,50
46,259,65
62,1,56
69,0,70
60,1,59
67,0,73
36,0,53
67,1,56
72,0,70
36,0,50
48,247,64
36,31,63
36,1,62
69,5,61
74,0,75
38,0,68
69,1,56
74,0,70
38,0,63
67,1,56
72,0,70
38,0,63
38,1,64
67,258,44
71,0,58
38,1,66
38,1,51
62,1,64
38,0,51
38,1,52
62,1,56
64,0,70
38,0,51
60,1,56
65,0,70
38,0,51
60,1,56
67,0,70
38,0,51
62,5,61
69,0,75
34,0,67
34,1,50
58,1,56
62,0,70
34,0,50
46,259,65
62,1,56
69,0,70
60,1,59
67,0,73
36,0,53
60,1,56
67,0,66
36,0,50
48,247,64
36,31,63
36,1,62
38,5,68
69,1,56
74,0,70
38,0,51
38,1,51
38,1,64
74,258,56
81,0,70
38,1,63
73,1,59
80,0,73
38,0,66
74,1,56
81,0,70
73,1,56
80,0,70
38,0,51
72,1,56
77,0,70
38,0,51
38,1,52
38,1,51
38,1,51
38,1,51
81,263,69
34,0,67
77,1,56
81,0,70
34,0,62
74,1,56
80,0,70
34,0,62
46,1,65
80,16,64
34,0,62
79,16,64
34,1,50
81,262,67
77,16,64
34,0,50
74,16,56
81,0,70
46,0,64
77,1,56
80,0,70
74,1,65
46,0,65
77,16,56
80,0,70
74,1,56
79,0,70
46,0,64
77,1,64
38,20,68
69,1,56
74,0,70
38,0,51
38,1,51
38,1,64
74,258,56
81,0,70
38,1,63
73,1,59
80,0,73
38,0,66
74,1,56
81,0,70
73,1,56
80,0,70
38,0,51
72,1,56
77,0,70
38,0,51
38,1,52
38,1,51
38,1,51
38,1,51
81,263,69
34,0,67
77,1,56
81,0,70
34,0,62
74,1,56
80,0,70
34,0,62
46,1,65
80,16,64
34,0,62
79,16,64
34,1,50
81,262,67
77,16,64
34,0,50
74,16,56
81,0,70
46,0,52
77,1,56
80,0,70
74,1,65
46,0,53
77,16,56
80,0,70
74,1,56
79,0,70
46,0,52
77,1,64
70,20,61
73,0,75
37,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
77,0,70
65,1,56
74,0,70
70,5,61
73,0,75
40,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
74,0,70
70,5,61
73,0,75
37,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
77,0,70
65,1,56
74,0,70
70,5,61
76,0,75
40,0,68
73,1,56
79,0,70
76,1,56
82,0,70
73,1,59
81,0,73
45,0,67
76,1,56
83,0,70
79,1,56
85,0,70
81,5,61
86,0,75
38,0,56
81,1,56
86,0,70
69,1,56
74,0,70
38,0,51
69,1,56
74,0,66
38,228,63
36,16,62
38,31,66
53,5,49
58,0,63
34,0,55
53,1,44
58,0,58
34,0,50
58,1,57
62,0,71
62,1,56
65,0,70
55,1,47
60,0,61
36,0,53
55,1,44
60,0,58
36,0,50
60,1,57
64,0,71
64,1,56
67,0,70
81,5,61
86,0,75
38,0,56
81,1,56
86,0,70
69,1,56
74,0,70
38,0,51
69,1,56
74,0,66
38,228,63
36,16,62
38,31,66
53,5,49
58,0,63
34,0,55
53,1,44
58,0,58
34,0,50
58,1,57
62,0,71
62,1,56
65,0,70
55,1,59
60,0,73
36,0,53
36,1,50
33,1,62
36,16,62
69,0,61
74,0,71
38,0,68
69,1,56
74,0,70
38,0,63
67,1,56
72,0,70
38,0,63
38,1,64
67,258,44
71,0,58
38,1,66
38,1,51
62,1,64
38,0,51
38,1,52
62,1,56
64,0,70
38,0,51
60,1,56
65,0,70
38,0,51
60,1,56
67,0,70
38,0,51
62,5,61
69,0,75
34,0,67
34,1,50
58,1,56
62,0,70
34,0,50
46,259,65
62,1,56
69,0,70
60,1,59
67,0,73
36,0,53
67,1,56
72,0,70
36,0,50
48,247,64
36,31,63
36,1,62
69,5,61
74,0,75
38,0,68
69,1,56
74,0,70
38,0,63
67,1,56
72,0,70
38,0,63
38,1,64
67,258,44
71,0,58
38,1,66
38,1,51
62,1,64
38,0,51
38,1,52
62,1,56
64,0,70
38,0,51
60,1,56
65,0,70
38,0,51
60,1,56
67,0,70
38,0,51
62,5,61
69,0,75
34,0,67
34,1,50
58,1,56
62,0,70
34,0,50
46,259,65
62,1,56
69,0,70
60,1,59
67,0,73
36,0,53
60,1,56
67,0,66
36,0,50
48,247,64
36,31,63
36,1,62
38,5,68
69,1,56
74,0,70
38,0,51
38,1,51
38,1,64
74,258,56
81,0,70
38,1,63
73,1,59
80,0,73
38,0,66
74,1,56
81,0,70
73,1,56
80,0,70
38,0,51
72,1,56
77,0,70
38,0,51
38,1,52
38,1,51
38,1,51
38,1,51
81,263,69
34,0,67
77,1,56
81,0,70
34,0,62
74,1,56
80,0,70
34,0,62
46,1,65
80,16,64
34,0,62
79,16,64
34,1,50
81,262,67
77,16,64
34,0,50
74,16,56
81,0,70
46,0,64
77,1,56
80,0,70
74,1,65
46,0,65
77,16,56
80,0,70
74,1,56
79,0,70
46,0,64
77,1,64
38,20,68
69,1,56
74,0,70
38,0,51
38,1,51
38,1,64
74,258,56
81,0,70
38,1,63
73,1,59
80,0,73
38,0,66
74,1,56
81,0,70
73,1,56
80,0,70
38,0,51
72,1,56
77,0,70
38,0,51
38,1,52
38,1,51
38,1,51
38,1,51
81,263,69
34,0,67
77,1,56
81,0,70
34,0,62
74,1,56
80,0,70
34,0,62
46,1,65
80,16,64
34,0,62
79,16,64
34,1,50
81,262,67
77,16,64
34,0,50
74,16,56
81,0,70
46,0,52
77,1,56
80,0,70
74,1,65
46,0,53
77,16,56
80,0,70
74,1,56
79,0,70
46,0,52
77,1,64
70,20,61
73,0,75
37,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
77,0,70
65,1,56
74,0,70
70,5,61
73,0,75
40,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
74,0,70
70,5,61
73,0,75
37,0,68
73,1,56
76,0,70
76,1,56
82,0,70
74,1,59
81,0,73
38,0,66
69,1,56
77,0,70
65,1,56
74,0,70
70,5,61
76,0,75
40,0,68
73,1,56
79,0,70
76,1,56
82,0,70
73,1,59
81,0,73
45,0,67
76,1,56
