note,length,delay
66,0,45
85,38,45
78,5,32
59,0,38
66,5,84
35,17,110
54,9,26
66,7,60
47,5,69
87,12,50
63,0,74
82,0,73
75,5,67
54,24,43
58,38,71
70,5,71
47,2,63
75,5,46
68,0,67
56,4,61
70,14,30
59,2,44
54,34,34
58,7,52
77,3,40
70,2,57
82,3,31
46,4,68
34,9,119
57,5,57
68,12,64
75,0,59
56,5,59
53,31,52
82,5,51
70,0,63
58,10,48
74,14,41
62,2,34
58,46,41
70,4,68
58,5,69
82,15,51
74,40,68
71,2,60
85,16,22
78,3,37
90,0,29
66,2,78
94,5,41
27,4,109
34,5,45
65,5,50
82,26,85
63,3,49
75,0,58
87,9,49
46,22,76
82,12,56
75,3,71
63,5,47
61,12,31
39,24,80
58,19,40
55,15,48
56,34,56
70,7,45
82,0,48
58,8,44
80,3,22
75,0,76
68,4,50
55,8,40
58,7,32
58,9,47
70,15,37
74,5,51
69,3,68
75,5,48
68,0,63
56,3,67
70,5,58
77,2,43
82,0,50
58,2,53
68,12,77
56,7,70
75,0,47
46,29,42
70,2,66
82,0,64
58,3,77
89,12,45
92,7,38
51,7,114
63,19,69
70,19,71
73,5,64
90,7,46
66,2,82
