note,length,delay
67,15360,80
70,0,80
74,0,80
65,97,80
69,0,80
74,0,80
62,49,80
65,0,80
70,0,80
67,49,80
70,0,80
74,0,80
65,97,80
69,0,80
74,0,80
62,49,80
65,0,80
70,0,80
67,49,80
70,0,80
74,0,80
65,97,80
69,0,80
74,0,80
62,49,80
65,0,80
70,0,80
67,49,80
70,0,80
74,0,80
65,97,80
69,0,80
74,0,80
62,49,80
65,0,80
70,0,80
79,49,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
74,19,80
79,0,80
82,0,80
74,13,80
79,0,80
82,0,80
74,19,80
79,0,80
82,0,80
69,25,80
74,0,80
77,0,80
69,25,80
74,0,80
77,0,80
74,19,80
77,0,80
82,0,80
74,13,80
77,0,80
82,0,80
74,19,80
77,0,80
82,0,80
69,13,80
74,0,80
77,0,80
79,13,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
74,19,80
79,0,80
82,0,80
74,13,80
79,0,80
82,0,80
74,19,80
79,0,80
82,0,80
69,25,80
74,0,80
77,0,80
69,25,80
74,0,80
77,0,80
74,19,80
77,0,80
82,0,80
74,13,80
77,0,80
82,0,80
74,19,80
77,0,80
82,0,80
69,13,80
74,0,80
77,0,80
79,13,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
74,19,80
79,0,80
82,0,80
74,13,80
79,0,80
82,0,80
74,19,80
79,0,80
82,0,80
69,25,80
74,0,80
77,0,80
69,25,80
74,0,80
77,0,80
74,19,80
77,0,80
82,0,80
74,13,80
77,0,80
82,0,80
74,19,80
77,0,80
82,0,80
69,13,80
74,0,80
77,0,80
79,13,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
82,0,80
86,0,80
79,25,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
76,13,80
72,13,80
76,7,80
72,7,80
79,7,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
76,13,80
72,13,80
76,7,80
72,7,80
79,7,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
76,13,80
72,13,80
76,7,80
72,7,80
79,7,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
76,13,80
72,13,80
76,7,80
72,7,80
79,7,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
76,13,80
72,13,80
76,7,80
72,7,80
79,7,80
86,13,80
82,13,80
86,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
74,7,80
74,13,80
81,7,80
77,13,80
77,13,80
72,7,80
72,13,80
