note,length,delay
45,0,69
47,16,64
48,16,64
50,16,64
52,16,65
53,16,64
55,16,64
57,16,64
59,16,67
60,16,64
62,16,64
64,16,64
65,16,65
67,16,64
69,16,64
71,16,64
72,20,69
74,16,64
76,16,64
77,16,64
79,16,65
81,16,64
83,16,64
84,16,64
86,16,67
88,16,64
89,16,64
91,16,64
93,16,65
95,16,64
96,16,64
98,16,64
72,20,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
77,35,69
41,0,69
77,1,65
41,0,65
77,67,52
41,0,52
79,511,57
43,0,57
79,1,52
43,0,52
79,1,65
43,0,65
77,66,69
41,0,69
77,1,65
41,0,65
77,314,64
79,31,65
77,31,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
82,35,69
48,0,69
82,1,64
79,1,65
46,0,65
82,31,64
41,1,67
43,1,65
79,505,64
82,5,69
48,0,69
82,1,64
79,1,65
51,0,65
82,31,64
53,1,67
54,1,65
79,505,64
86,5,69
55,0,69
86,1,64
82,31,65
84,31,64
43,1,67
86,510,64
84,31,65
82,31,64
79,5,69
43,0,69
45,31,64
79,1,65
48,0,65
50,31,64
79,1,67
43,0,67
82,31,64
45,0,64
48,31,65
50,31,64
86,35,69
55,0,69
86,1,64
82,31,65
84,1,64
43,0,64
86,541,64
84,31,65
82,31,64
84,5,69
43,0,69
45,31,64
84,1,65
48,0,65
50,31,64
91,1,67
43,0,67
90,31,64
45,0,64
89,31,65
48,0,65
87,31,64
50,0,64
86,35,69
55,0,69
86,1,64
82,31,65
84,31,64
43,1,67
86,510,64
84,31,65
82,31,64
79,5,69
43,0,69
45,31,64
79,1,65
48,0,65
50,31,64
79,1,67
43,0,67
82,31,64
45,0,64
48,31,65
50,31,64
86,35,69
55,0,69
86,1,64
82,31,65
84,1,64
43,0,64
86,541,64
84,31,65
82,31,64
84,5,69
43,0,69
45,31,64
84,1,65
48,0,65
50,31,64
91,1,67
43,0,67
90,31,64
45,0,64
89,31,65
48,0,65
87,31,64
50,0,64
72,35,69
48,0,69
72,1,65
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
70,35,69
70,1,65
75,31,64
77,31,67
82,31,64
88,536,64
87,577,64
86,536,64
84,31,67
82,31,64
46,0,64
79,31,65
43,0,65
75,31,64
39,0,63
79,35,69
77,16,64
75,16,64
74,16,64
72,16,65
70,16,64
68,16,64
67,16,64
65,16,67
63,16,64
62,16,64
60,16,64
58,16,65
56,16,64
55,16,64
53,16,64
45,0,69
47,16,64
48,16,64
50,16,64
52,16,65
53,16,64
55,16,64
57,16,64
59,16,67
60,16,64
62,16,64
64,16,64
65,16,65
67,16,64
69,16,64
71,16,64
72,20,69
74,16,64
76,16,64
77,16,64
79,16,65
81,16,64
83,16,64
84,16,64
86,16,67
88,16,64
89,16,64
91,16,64
93,16,65
95,16,64
96,16,64
98,16,64
72,20,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
77,35,69
41,0,69
77,1,65
41,0,65
77,67,52
41,0,52
79,511,57
43,0,57
79,1,52
43,0,52
79,1,65
43,0,65
77,66,69
41,0,69
77,1,65
41,0,65
77,314,64
79,31,65
77,31,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
72,35,69
36,0,67
72,1,65
36,0,63
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
82,35,69
48,0,69
82,1,64
79,1,65
46,0,65
82,31,64
41,1,67
43,1,65
79,505,64
82,5,69
48,0,69
82,1,64
79,1,65
51,0,65
82,31,64
53,1,67
54,1,65
79,505,64
86,5,69
55,0,69
86,1,64
82,31,65
84,31,64
43,1,67
86,510,64
84,31,65
82,31,64
79,5,69
43,0,69
45,31,64
79,1,65
48,0,65
50,31,64
79,1,67
43,0,67
82,31,64
45,0,64
48,31,65
50,31,64
86,35,69
55,0,69
86,1,64
82,31,65
84,1,64
43,0,64
86,541,64
84,31,65
82,31,64
84,5,69
43,0,69
45,31,64
84,1,65
48,0,65
50,31,64
91,1,67
43,0,67
90,31,64
45,0,64
89,31,65
48,0,65
87,31,64
50,0,64
86,35,69
55,0,69
86,1,64
82,31,65
84,31,64
43,1,67
86,510,64
84,31,65
82,31,64
79,5,69
43,0,69
45,31,64
79,1,65
48,0,65
50,31,64
79,1,67
43,0,67
82,31,64
45,0,64
48,31,65
50,31,64
86,35,69
55,0,69
86,1,64
82,31,65
84,1,64
43,0,64
86,541,64
84,31,65
82,31,64
84,5,69
43,0,69
45,31,64
84,1,65
48,0,65
50,31,64
91,1,67
43,0,67
90,31,64
45,0,64
89,31,65
48,0,65
87,31,64
50,0,64
72,35,69
48,0,69
72,1,65
77,31,64
79,1,67
84,31,64
82,536,64
79,577,64
77,536,64
41,0,64
78,31,67
42,0,67
79,31,64
43,0,64
78,31,65
42,0,65
79,31,64
43,0,64
70,35,69
70,1,65
75,31,64
77,31,67
82,31,64
88,536,64
87,577,64
86,536,64
84,31,67
82,31,64
46,0,64
79,31,65
43,0,65
75,31,64
39,0,63
79,35,69
77,16,64
75,16,64
74,16,64
72,16,65
70,16,64
68,16,64
67,16,64
65,16,67
63,16,64
62,16,64
60,16,64
58,16,65
56,16,64
55,16,64
53,16,64
