note,length,delay
80,0,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
57,0,70
49,0,70
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
57,0,70
49,0,70
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
57,0,70
49,0,70
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,40
62,0,50
36,0,100
80,4,40
61,0,50
81,4,25
62,0,50
80,4,40
63,0,50
36,0,100
80,4,40
62,0,50
54,0,100
38,0,100
81,4,25
61,0,50
80,4,40
62,0,50
36,0,100
80,4,40
63,0,50
81,4,25
62,0,50
80,4,40
61,0,50
80,4,40
62,0,50
36,0,100
81,4,25
63,0,50
80,4,40
57,0,70
49,0,70
62,0,50
54,0,100
38,0,100
80,4,40
61,0,50
81,4,25
62,0,50
36,0,100
80,4,40
63,0,50
80,4,70
52,0,100
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
52,0,100
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
62,0,50
36,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
39,0,100
51,0,100
62,0,50
54,0,100
38,0,100
61,4,50
81,4,50
44,0,60
59,0,100
62,0,50
63,4,50
80,4,70
51,0,100
36,0,100
62,0,50
61,4,50
81,4,50
