note,length,delay
74,0,33
81,0,20
62,2,91
50,12,50
81,21,29
86,8,15
74,0,42
41,2,81
62,0,95
51,3,63
39,3,85
72,7,28
60,5,75
38,5,82
37,2,89
62,7,98
74,10,23
51,5,64
86,5,21
36,0,82
65,12,64
35,0,85
77,0,25
34,10,83
62,3,75
76,7,18
33,2,85
64,3,65
51,0,67
67,7,78
32,0,84
62,4,71
31,10,83
62,2,67
81,9,16
69,5,64
57,3,51
30,8,84
50,22,35
29,12,84
28,14,85
57,7,48
27,16,85
70,10,72
82,5,33
26,2,84
57,22,59
91,10,25
72,0,72
84,0,41
25,4,81
83,5,34
90,0,30
71,2,77
56,34,37
79,2,30
86,3,22
67,2,78
69,5,65
72,5,23
88,2,28
81,0,43
57,3,64
69,0,92
56,5,37
88,24,42
57,12,36
76,19,28
86,3,24
67,0,81
79,0,40
69,9,70
57,7,31
88,3,31
81,0,48
69,2,76
57,3,47
90,5,24
71,3,85
83,0,32
72,5,79
84,0,39
91,0,22
69,17,72
57,26,52
90,2,31
83,0,32
71,3,82
79,3,37
86,0,28
91,2,15
67,2,84
55,5,44
62,7,17
55,2,72
69,2,72
88,0,21
81,0,37
57,5,35
79,3,33
69,7,77
81,2,35
55,15,73
67,2,60
86,3,28
43,2,16
91,4,19
79,3,39
67,2,98
88,2,25
81,0,35
69,3,75
55,2,75
67,14,97
43,3,17
79,8,60
91,0,49
86,0,39
81,4,48
88,0,29
69,3,80
55,7,65
67,14,59
95,2,37
55,0,61
90,3,37
83,0,44
71,0,91
67,2,52
67,11,71
81,10,22
62,2,87
69,3,43
74,2,39
86,12,19
50,5,67
71,19,29
62,10,65
50,2,35
67,2,21
81,5,20
62,5,74
74,2,36
69,10,33
50,24,65
79,5,22
72,0,33
60,3,87
50,12,37
81,5,22
62,4,97
74,5,42
69,0,41
38,10,16
50,9,62
77,5,35
84,0,32
65,2,85
62,2,75
76,5,40
50,0,63
83,0,18
64,2,76
62,5,71
69,2,45
86,3,28
79,2,32
67,2,82
62,7,80
50,9,39
88,2,25
81,3,36
69,0,87
57,2,50
62,5,52
50,5,45
57,12,41
62,0,28
88,9,26
88,2,35
81,2,35
57,8,53
57,2,59
79,5,32
67,2,82
86,0,16
69,5,69
81,14,46
88,2,38
93,0,18
69,3,90
57,3,47
84,3,31
72,2,79
81,12,34
67,7,24
