note,length,delay
91,0,97
79,2,74
76,3,68
64,5,58
40,14,102
76,4,88
64,10,64
83,26,72
71,2,77
64,17,82
76,7,73
83,16,79
76,11,85
83,2,86
59,10,91
76,5,73
74,38,78
35,5,103
83,7,46
76,2,71
71,7,85
76,26,62
74,0,83
62,5,67
71,12,88
64,31,43
71,15,77
91,36,88
79,2,68
90,2,82
78,3,64
71,9,72
76,2,68
64,2,58
60,2,73
36,7,104
60,24,87
72,10,78
71,12,54
88,5,71
64,5,76
72,4,83
86,0,81
74,2,83
62,5,95
72,43,75
62,11,98
60,16,95
72,3,75
72,36,73
83,9,85
72,9,84
86,3,45
74,5,73
62,12,49
72,3,87
74,3,92
62,12,78
78,10,86
66,2,96
74,16,76
62,27,105
72,0,40
74,9,97
38,5,104
90,2,59
66,10,93
74,12,90
74,2,87
90,3,65
66,7,108
91,3,84
76,2,73
64,5,92
67,0,101
79,2,52
40,15,104
71,22,97
64,3,96
76,2,86
71,5,106
74,9,68
67,3,98
64,2,100
62,12,46
76,0,77
83,26,86
71,5,106
83,0,100
76,5,85
64,17,74
76,12,73
74,3,105
71,10,87
59,2,48
76,8,71
74,21,123
62,15,65
59,28,60
71,11,58
66,8,48
