note,length,delay
81,0,74
87,0,72
53,12,72
60,2,23
81,0,79
87,0,69
72,10,51
84,0,101
93,0,53
53,5,65
65,3,74
43,9,87
93,3,58
84,0,91
65,4,68
82,3,91
91,3,85
82,2,80
40,5,94
53,2,26
63,2,66
88,5,88
79,0,52
39,3,90
88,2,96
91,0,59
38,9,92
65,3,95
60,2,53
53,5,81
37,5,90
65,0,99
41,5,62
53,5,61
36,0,90
90,17,76
84,0,73
35,5,90
53,2,86
90,3,78
84,0,75
34,3,90
89,2,68
83,0,80
53,7,86
83,5,76
89,5,69
74,2,58
33,0,89
65,12,76
93,2,47
79,2,60
54,2,73
66,3,89
41,0,66
32,4,90
79,2,64
85,0,60
53,0,95
65,3,89
31,7,91
81,3,69
87,0,55
81,2,67
51,3,85
63,2,90
91,3,63
87,0,48
67,5,26
30,2,90
39,2,66
63,2,60
51,2,80
91,3,96
29,7,90
63,2,68
91,0,90
70,9,35
51,2,56
28,3,90
91,7,54
94,5,64
88,3,64
70,4,21
27,2,90
88,3,65
94,0,60
91,2,43
63,2,58
51,5,38
26,10,90
63,16,57
82,2,37
76,2,49
40,9,44
25,0,90
52,3,66
63,7,50
93,2,60
51,2,69
79,3,44
93,2,65
71,3,67
52,9,69
89,4,41
97,0,56
40,12,60
97,3,59
71,0,40
95,7,67
73,12,53
48,5,78
95,2,68
61,2,60
49,3,75
97,5,48
83,4,45
91,3,62
72,5,55
48,3,67
97,2,65
60,2,73
83,8,53
91,2,53
99,2,40
73,2,60
99,10,40
36,7,31
49,0,55
72,5,35
94,4,55
48,4,60
94,2,52
60,0,72
88,2,35
37,2,33
48,0,63
89,5,36
83,2,52
36,12,44
97,3,65
89,9,31
83,0,58
55,8,53
49,2,43
60,2,22
84,2,50
90,0,35
98,2,63
84,0,55
90,0,41
72,17,26
60,2,51
92,4,45
86,0,57
48,3,65
92,0,48
100,0,65
86,7,60
37,2,35
97,5,54
91,0,66
79,2,18
63,5,62
75,3,32
51,2,68
91,0,60
97,3,54
82,2,50
39,3,78
63,5,52
51,14,94
84,5,61
99,0,62
93,0,70
99,2,68
93,0,70
63,5,68
65,7,54
63,9,73
98,8,60
88,0,53
60,9,65
98,3,54
88,0,54
70,5,18
82,7,31
63,12,58
93,2,67
103,0,65
65,7,66
93,2,65
84,7,65
51,2,55
84,0,72
63,5,32
84,7,62
74,9,52
63,0,40
79,4,27
74,4,53
55,5,49
91,2,32
65,10,52
84,5,41
81,2,59
41,5,74
65,3,64
89,7,37
84,0,61
41,3,75
103,2,68
93,0,64
53,3,81
103,2,71
93,0,61
91,5,55
101,0,47
82,0,70
63,5,67
101,3,43
91,0,60
82,7,66
53,5,93
98,5,42
88,10,50
79,2,68
65,0,58
60,5,66
65,9,50
72,12,25
84,3,60
75,7,39
75,9,40
65,7,46
74,10,40
89,5,32
83,2,60
74,3,46
55,2,53
65,7,41
53,3,69
79,5,51
70,0,41
89,0,44
79,10,51
81,5,58
72,2,47
75,2,22
63,14,83
51,5,82
91,7,51
75,10,36
82,3,66
91,0,52
51,5,94
79,2,60
63,12,68
79,2,70
60,12,62
63,14,55
76,3,50
82,2,32
51,3,85
70,10,58
51,5,70
79,2,56
63,2,51
70,0,66
85,2,28
83,0,54
74,2,56
