note,length,delay
29,0,28
53,127,17
68,103,17
65,17,28
72,14,38
68,3,37
68,40,34
84,19,39
65,3,28
87,2,29
68,10,32
87,2,43
87,14,43
84,5,48
87,3,52
65,9,32
68,5,35
65,10,26
65,2,38
68,9,22
84,12,37
72,17,27
87,2,34
77,29,17
65,7,42
84,10,21
77,0,17
77,0,89
87,12,27
60,0,19
48,19,31
40,7,116
65,2,27
39,5,115
68,4,28
60,3,23
38,7,113
84,4,96
77,2,40
41,3,66
37,7,108
48,3,16
36,7,101
65,7,31
35,5,91
42,7,25
65,2,29
34,8,79
91,2,86
33,12,63
65,7,46
32,12,46
31,14,29
92,3,76
65,11,39
60,39,28
41,14,40
42,8,23
94,11,22
75,2,66
63,5,19
46,3,60
92,7,26
39,21,65
65,22,17
82,9,86
65,43,16
67,10,15
82,10,47
92,21,72
65,5,27
39,12,68
92,2,61
51,10,20
91,5,81
65,12,28
91,9,53
67,7,18
51,7,20
73,12,75
49,15,18
44,2,48
37,12,77
92,0,18
49,24,26
80,3,87
73,14,24
80,2,67
49,22,30
89,14,91
89,3,69
80,12,28
49,19,25
87,5,97
89,7,32
37,12,80
87,2,63
89,15,38
87,3,54
49,19,24
80,8,79
80,9,43
