note,length,delay
83,0,33
76,0,77
64,5,56
71,7,57
67,3,70
40,11,67
71,12,87
83,8,83
79,21,93
91,7,53
71,7,87
83,5,38
91,0,43
76,12,83
88,2,66
83,16,23
79,16,32
81,9,68
74,0,80
50,7,59
38,4,48
69,5,54
81,0,74
81,5,77
88,3,31
69,7,82
88,7,77
78,10,83
97,2,30
81,5,35
90,10,36
81,28,24
86,3,61
74,2,80
90,10,24
78,2,35
88,12,28
78,3,53
71,14,69
66,2,54
62,3,46
78,3,56
74,21,33
90,2,26
85,2,37
83,2,86
86,5,66
95,7,24
74,10,76
78,3,82
90,0,64
59,7,44
62,2,44
83,26,38
84,5,58
72,2,47
67,5,36
79,2,29
78,4,61
84,9,26
67,0,59
84,12,25
79,12,50
86,2,41
74,24,17
84,21,16
79,15,36
95,16,32
88,2,60
76,3,93
100,50,15
64,89,57
83,3,59
67,7,72
71,5,54
83,12,83
71,2,87
90,7,37
76,21,15
71,5,51
98,0,28
79,2,97
91,8,28
91,9,34
95,5,32
88,0,63
76,0,79
74,10,74
66,4,16
88,12,20
69,3,77
88,16,57
69,5,81
50,5,34
93,0,42
93,16,18
90,10,53
78,21,93
74,7,24
81,2,26
