note,length,delay
62,31200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,0,70
57,480,95
59,0,70
62,0,95
59,0,95
62,62640,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
62,1200,95
59,0,95
57,720,95
59,0,70
62,0,95
59,0,95
