note,length,delay
33,0,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
35,0,100
35,3840,0
36,0,100
36,7680,0
36,11520,100
36,7680,0
36,7680,100
36,7680,0
36,7680,100
36,7680,0
38,0,100
38,3840,0
40,0,100
40,7680,0
40,11520,100
40,7680,0
40,7680,100
40,7680,0
40,7680,100
40,7680,0
42,7680,100
42,3840,0
40,3840,100
40,3840,0
38,3840,100
38,3840,0
35,3840,100
35,3840,0
35,3840,100
35,3840,0
33,3840,100
33,3840,0
31,3840,100
31,15360,0
33,0,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
35,0,100
35,3840,0
36,0,100
36,7680,0
36,11520,100
36,7680,0
36,7680,100
36,7680,0
36,7680,100
36,7680,0
38,0,100
38,3840,0
40,0,100
40,7680,0
40,11520,100
40,7680,0
40,7680,100
40,7680,0
40,7680,100
40,7680,0
42,7680,100
42,3840,0
40,3840,100
40,3840,0
38,3840,100
38,3840,0
35,3840,100
35,3840,0
35,3840,100
35,3840,0
33,3840,100
33,3840,0
31,3840,100
31,15360,0
33,0,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
33,7680,100
33,7680,0
35,0,100
35,3840,0
36,0,100
36,7680,0
36,11520,100
36,7680,0
36,7680,100
36,7680,0
36,7680,100
36,7680,0
38,0,100
38,3840,0
40,0,100
40,7680,0
40,11520,100
40,7680,0
40,7680,100
40,7680,0
40,7680,100
40,7680,0
42,7680,100
42,3840,0
40,3840,100
40,3840,0
38,3840,100
38,3840,0
35,3840,100
35,3840,0
35,3840,100
35,3840,0
33,3840,100
33,3840,0
31,3840,100
31,15360,0
62,53760,100
62,3840,0
64,0,100
64,3840,0
72,7680,100
72,3840,0
72,3840,100
72,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
71,0,100
71,3840,0
64,53760,100
64,3840,0
64,0,100
64,3840,0
64,0,100
76,0,100
76,3840,0
64,0,0
74,3840,100
74,3840,0
71,3840,100
71,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
64,0,100
64,3840,0
62,53760,100
62,3840,0
64,0,100
64,3840,0
64,3840,100
64,3840,0
72,0,100
72,3840,0
72,3840,100
72,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
71,0,100
71,3840,0
64,53760,100
64,3840,0
64,0,100
64,3840,0
64,0,100
76,0,100
76,3840,0
64,0,0
74,3840,100
74,3840,0
71,3840,100
71,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
64,0,100
64,3840,0
62,53760,100
62,3840,0
64,0,100
64,3840,0
64,3840,100
64,3840,0
72,0,100
72,3840,0
72,3840,100
72,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
71,0,100
71,3840,0
64,53760,100
64,3840,0
64,0,100
64,3840,0
64,0,100
76,0,100
76,3840,0
64,0,0
74,3840,100
74,3840,0
71,3840,100
71,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
67,3840,100
67,3840,0
69,3840,100
69,3840,0
64,0,100
64,3840,0
67,23040,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
67,7680,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
67,7680,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
67,7680,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
67,7680,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
67,7680,100
67,7680,0
66,0,100
66,7680,0
67,0,100
67,7680,0
67,0,100
67,7680,0
69,0,100
69,15360,0
67,0,100
67,15360,0
66,0,100
66,15360,0
67,0,100
67,15360,0
71,0,100
71,15360,0
67,0,100
67,7680,0
