note,length,delay
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,0,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,30,0
42,0,100
42,30,0
42,480,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,0,100
42,15,0
42,0,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,0,100
42,15,0
42,0,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,0,100
42,15,0
42,0,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
42,0,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
42,15,0
42,45,100
36,0,100
28,0,100
39,0,100
39,15,0
42,0,0
36,0,0
28,0,0
42,45,100
42,15,0
42,15,100
42,15,0
42,15,100
42,15,0
42,45,100
42,15,0
36,45,100
28,0,100
42,0,100
39,0,100
39,15,0
36,0,0
28,0,0
