note,length,delay
58,0,100
62,0,100
65,0,100
57,0,100
60,0,100
65,0,100
55,0,100
58,0,100
65,0,100
55,0,100
58,0,100
62,0,100
53,0,100
57,0,100
60,0,100
51,0,100
55,0,100
58,0,100
58,0,100
62,0,100
65,0,100
57,0,100
60,0,100
65,0,100
55,0,100
58,0,100
65,0,100
55,0,100
58,0,100
62,0,100
53,0,100
57,0,100
60,0,100
51,0,100
55,0,100
58,0,100
46,0,64
65,0,100
62,0,100
45,0,64
65,0,100
62,0,100
43,0,64
60,0,100
62,0,100
60,0,100
58,6,100
55,6,100
55,6,100
43,0,64
65,0,100
62,0,100
41,0,64
65,0,100
62,0,100
39,0,64
60,0,100
58,0,100
55,0,100
63,6,100
62,6,100
58,6,100
55,6,100
46,0,64
65,0,100
62,0,100
45,0,64
65,0,100
62,0,100
43,0,64
60,0,100
62,0,100
60,0,100
58,6,100
55,6,100
55,6,100
43,0,64
65,0,100
62,0,100
41,0,64
65,0,100
62,0,100
39,0,64
60,0,100
58,0,100
55,0,100
63,6,100
62,6,100
58,6,100
55,6,100
46,0,64
65,0,100
62,0,100
45,0,64
65,0,100
62,0,100
43,0,64
60,0,100
62,0,100
60,0,100
58,6,100
55,6,100
55,6,100
43,0,64
65,0,100
62,0,100
41,0,64
65,0,100
62,0,100
39,0,64
60,0,100
58,0,100
55,0,100
63,6,100
62,6,100
58,6,100
55,6,100
46,0,64
65,0,100
62,0,100
45,0,64
65,0,100
62,0,100
43,0,64
60,0,100
62,0,100
60,0,100
58,6,100
55,6,100
55,6,100
43,0,64
65,0,100
62,0,100
41,0,64
65,0,100
62,0,100
39,0,64
60,0,100
58,0,100
55,0,100
63,6,100
62,6,100
58,6,100
55,6,100
58,3072,100
57,0,100
55,0,100
55,0,100
53,0,100
51,0,100
58,0,100
57,0,100
55,0,100
55,0,100
53,0,100
51,0,100
58,0,100
57,0,100
55,0,100
55,0,100
53,0,100
51,0,100
58,0,100
57,0,100
55,0,100
55,0,100
53,0,100
51,0,100
79,6144,100
74,0,100
81,0,100
77,0,100
82,0,100
82,0,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
79,24,100
74,0,100
81,0,100
77,0,100
82,0,100
82,0,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
79,24,100
74,0,100
81,0,100
77,0,100
82,0,100
82,0,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
79,24,100
74,0,100
81,0,100
77,0,100
82,0,100
82,0,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
82,24,100
34,3072,100
34,24,100
33,24,100
33,24,100
33,24,100
33,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
29,24,100
29,24,100
29,24,100
29,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
34,24,100
34,24,100
33,24,100
33,24,100
33,24,100
33,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
29,24,100
29,24,100
29,24,100
29,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
34,24,100
34,24,100
33,24,100
33,24,100
33,24,100
33,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
29,24,100
29,24,100
29,24,100
29,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
34,24,100
34,24,100
33,24,100
33,24,100
33,24,100
33,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
31,24,100
29,24,100
29,24,100
29,24,100
29,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
27,24,100
70,3072,100
69,0,100
67,0,100
67,0,100
65,0,100
63,0,100
70,0,100
69,0,100
67,0,100
67,0,100
65,0,100
63,0,100
70,0,100
69,0,100
67,0,100
67,0,100
65,0,100
63,0,100
70,0,100
69,0,100
67,0,100
67,0,100
65,0,100
63,0,100
58,3072,100
70,0,100
57,0,100
69,0,100
57,0,100
69,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
53,0,100
69,0,100
53,0,100
69,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
58,0,100
70,0,100
57,0,100
69,0,100
57,0,100
69,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
53,0,100
69,0,100
53,0,100
69,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
58,0,100
70,0,100
57,0,100
69,0,100
57,0,100
69,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
53,0,100
69,0,100
53,0,100
69,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
58,0,100
70,0,100
57,0,100
69,0,100
57,0,100
69,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
55,0,100
67,0,100
53,0,100
69,0,100
53,0,100
69,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
51,0,100
67,0,100
36,3072,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
36,72,100
84,6144,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
84,12,64
