note,length,delay
66,0,43
59,10,42
42,5,70
62,5,48
47,7,67
51,2,18
35,22,63
66,10,61
59,0,59
47,5,100
71,5,34
66,12,51
54,12,72
32,19,77
29,12,38
71,0,41
95,7,46
90,5,37
59,5,82
54,2,69
52,0,70
66,15,38
62,0,44
47,9,84
41,5,38
32,8,81
97,5,47
59,10,66
69,12,35
54,7,64
56,0,50
59,0,32
36,7,86
47,0,99
62,3,31
32,2,55
71,4,57
59,3,73
62,4,61
66,5,65
47,15,52
50,12,64
69,10,49
39,14,68
37,3,65
32,7,70
62,0,48
62,3,50
66,10,59
62,2,70
57,0,43
74,15,29
57,0,72
62,7,52
45,5,43
47,0,28
39,2,47
32,15,73
69,4,32
50,4,22
81,0,28
85,5,20
62,7,22
57,3,58
39,5,102
78,5,34
66,5,43
50,2,63
57,5,36
38,5,88
32,0,78
34,5,47
66,5,48
62,14,61
50,5,53
61,11,50
50,15,62
47,0,41
38,3,90
61,12,29
32,2,71
57,5,38
90,3,39
62,5,38
73,5,17
61,10,36
69,0,36
66,5,31
42,5,82
73,4,47
54,3,51
32,14,69
61,12,30
61,12,77
73,2,49
54,7,70
42,3,92
66,17,48
32,2,72
61,12,30
64,3,30
66,5,55
61,2,56
34,3,81
43,2,88
97,7,32
78,3,27
41,5,47
43,5,42
54,10,64
32,4,71
34,5,53
30,3,39
76,4,32
61,3,71
54,2,101
42,7,116
56,7,51
45,3,34
54,0,46
66,12,57
32,0,72
42,2,36
69,10,62
97,3,52
54,9,84
57,3,59
36,3,63
41,5,74
71,3,38
64,10,63
59,2,47
52,5,95
40,19,86
32,7,76
30,0,47
39,11,33
59,9,57
40,7,46
56,3,54
90,7,27
71,0,52
64,10,67
59,2,62
52,14,74
56,0,34
32,15,72
40,5,53
95,9,16
29,0,23
59,0,53
64,0,65
68,5,25
56,0,29
68,9,34
43,17,31
59,12,43
76,17,51
95,3,21
106,0,30
40,2,31
64,5,71
52,7,37
40,2,31
71,2,28
68,2,35
56,2,30
64,0,30
56,12,59
68,0,15
62,4,62
32,7,71
64,3,62
68,2,42
59,3,38
34,2,53
64,2,70
71,0,58
59,2,80
88,2,20
39,5,96
41,0,94
59,12,41
47,19,87
35,5,91
30,7,68
32,0,71
59,2,61
74,5,55
62,16,43
57,9,26
62,12,62
59,10,44
47,7,62
66,0,48
35,2,89
54,7,62
32,3,72
59,2,35
66,10,51
81,0,17
71,2,44
95,0,37
59,3,69
47,7,97
35,5,104
66,5,41
59,2,44
45,5,33
43,0,18
59,9,68
81,4,22
