note,length,delay
31,0,95
31,432,0
31,0,95
31,480,0
31,0,95
31,480,0
31,0,95
31,480,0
50,0,95
66,0,95
62,0,95
59,0,95
35,0,95
35,0,95
49,0,95
35,0,95
50,25,0
50,95,95
50,25,0
35,95,0
49,0,0
66,0,47
62,0,95
57,0,95
62,0,95
57,0,95
42,0,95
57,120,0
62,0,0
66,0,0
50,0,95
50,25,0
57,95,0
62,0,0
35,0,0
42,0,0
35,0,0
54,0,95
35,0,95
35,0,95
42,0,95
39,0,95
40,0,95
54,120,0
66,0,47
62,0,95
57,0,95
57,120,0
35,0,0
62,0,0
40,0,0
39,0,0
35,0,0
66,0,0
42,0,0
50,0,95
62,0,95
57,0,95
42,0,95
50,25,0
62,95,95
59,0,95
34,90,95
34,0,95
34,30,0
34,0,0
62,0,0
62,0,0
42,0,0
59,0,0
57,0,0
66,0,95
62,0,95
59,0,95
35,0,95
35,0,95
42,0,95
35,0,95
59,120,0
66,0,0
62,0,0
50,0,95
50,25,0
42,95,0
35,0,0
35,0,0
35,0,0
62,0,95
59,0,95
62,0,95
57,0,95
42,0,95
59,120,0
62,0,0
66,0,95
62,0,95
59,0,95
59,120,0
42,0,0
62,0,0
57,0,0
66,0,0
62,0,0
50,0,95
35,0,95
35,0,95
42,0,95
39,0,95
40,0,95
50,25,0
50,95,95
62,0,95
57,0,95
50,25,0
35,95,0
57,0,0
40,0,0
39,0,0
35,0,0
62,0,0
42,0,0
66,0,95
62,0,95
59,0,95
62,0,95
57,0,95
42,0,95
42,120,0
59,0,0
66,0,0
62,0,0
66,0,95
62,0,95
59,0,95
42,0,95
42,120,0
59,0,0
57,0,0
62,0,0
62,0,0
66,0,0
62,0,0
66,0,0
59,0,0
50,0,95
74,0,95
69,0,95
66,0,95
38,0,95
38,0,95
42,0,95
35,0,95
50,25,0
50,95,95
50,25,0
35,95,0
42,0,0
66,0,95
62,0,95
57,0,95
64,0,95
62,0,95
57,0,95
42,0,95
57,120,0
62,0,0
66,0,0
50,0,95
50,25,0
57,95,0
38,0,0
64,0,0
38,0,0
42,0,0
62,0,0
50,0,95
38,0,95
38,0,95
42,0,95
39,0,95
40,0,95
50,25,0
66,95,95
62,0,95
57,0,95
57,120,0
38,0,0
62,0,0
40,0,0
39,0,0
38,0,0
66,0,0
42,0,0
50,0,95
64,0,47
62,0,95
57,0,95
42,0,95
50,25,0
62,95,95
50,0,95
50,25,0
37,65,95
37,0,95
37,30,0
37,0,0
62,0,0
42,0,0
62,0,0
64,0,0
57,0,0
66,0,47
62,0,95
57,0,95
38,0,95
38,0,95
42,0,95
35,0,95
57,120,0
66,0,0
62,0,0
50,0,95
50,25,0
42,95,0
38,0,0
35,0,0
38,0,0
62,0,95
50,0,95
64,0,47
62,0,95
57,0,95
42,0,95
50,25,0
62,95,0
66,0,47
62,0,95
57,0,95
57,120,0
62,0,0
57,0,0
42,0,0
64,0,0
66,0,0
62,0,0
61,0,95
50,0,95
38,0,95
38,0,95
42,0,95
39,0,95
40,0,95
50,25,0
64,95,47
62,0,95
57,0,95
57,120,0
64,0,0
42,0,0
39,0,0
61,0,0
40,0,0
38,0,0
38,0,0
62,0,0
66,0,95
62,0,95
57,0,95
64,0,47
62,0,95
57,0,95
42,0,95
42,120,0
57,0,0
66,0,0
