note,length,delay
88,0,24
71,766,42
83,5,81
90,0,102
75,2,42
87,3,78
78,2,70
90,15,112
83,0,107
75,9,46
78,0,87
87,5,100
85,5,90
76,0,69
88,5,89
71,65,46
83,2,92
90,0,116
75,10,43
87,0,79
78,2,80
83,2,110
90,17,115
75,7,48
78,0,86
87,7,104
76,5,70
85,2,89
88,3,98
71,65,46
90,0,117
83,0,94
87,7,104
75,5,43
78,0,82
83,2,108
90,15,113
78,7,85
75,2,47
87,5,104
76,2,69
85,3,85
88,2,89
71,57,45
83,10,92
90,0,117
87,7,104
75,0,41
78,5,81
83,14,108
90,0,116
78,10,84
75,0,47
87,7,102
76,4,70
85,3,87
88,2,95
75,12,38
87,5,50
97,5,20
