note,length,delay
67,0,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
40,30,0
36,0,0
35,0,0
39,0,0
38,2,75
42,0,30
42,46,0
71,2,0
67,0,0
74,0,0
42,0,30
42,46,0
38,0,0
67,2,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
40,30,0
36,0,0
35,0,0
39,0,0
38,2,75
42,0,30
42,46,0
71,2,0
67,0,0
74,0,0
42,0,30
42,46,0
38,0,0
67,2,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
40,30,0
36,0,0
35,0,0
39,0,0
38,2,75
42,0,30
42,46,0
42,2,30
42,46,0
38,0,0
40,2,75
35,0,30
71,32,0
67,0,0
74,0,0
40,62,0
35,0,0
66,2,60
69,0,60
73,0,60
76,0,60
33,0,75
42,0,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
40,94,0
39,0,0
36,0,0
35,0,0
42,2,30
42,46,0
42,2,30
33,16,0
42,30,0
73,2,0
76,0,0
69,0,0
66,0,0
67,0,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
40,30,0
36,0,0
35,0,0
39,0,0
38,2,75
42,0,30
42,46,0
71,2,0
67,0,0
74,0,0
42,0,30
42,46,0
38,0,0
67,2,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
40,30,0
36,0,0
35,0,0
39,0,0
38,2,75
42,0,30
42,46,0
71,2,0
67,0,0
74,0,0
42,0,30
42,46,0
38,0,0
67,2,60
71,0,60
74,0,60
43,0,75
35,0,30
35,94,0
42,2,30
42,46,0
42,2,30
42,46,0
35,2,30
36,0,30
39,0,30
40,0,30
43,64,0
