note,length,delay
58,768,80
60,42,80
61,50,80
58,10,80
60,12,80
61,13,80
58,11,80
60,8,80
65,11,80
61,11,80
63,11,80
60,12,80
61,10,80
58,11,80
60,11,80
56,12,80
58,13,80
60,11,80
61,9,80
58,12,80
60,12,80
61,10,80
58,11,80
60,11,80
65,11,80
61,13,80
63,10,80
60,11,80
61,13,80
58,12,80
60,13,80
56,10,80
60,11,80
61,48,80
58,13,80
60,10,80
61,11,80
58,11,80
60,10,80
65,13,80
61,10,80
63,9,80
60,13,80
61,10,80
58,9,80
60,11,80
56,11,80
54,11,80
60,10,80
61,8,80
58,11,80
60,13,80
61,12,80
58,14,80
60,9,80
53,9,80
61,10,80
63,11,80
60,13,80
61,8,80
58,10,80
60,12,80
56,9,80
58,13,80
60,10,80
61,10,80
58,10,80
60,10,80
61,11,80
58,11,80
60,10,80
65,10,80
61,11,80
63,11,80
60,10,80
61,12,80
58,10,80
60,13,80
56,11,80
58,11,80
60,10,80
61,10,80
58,10,80
60,9,80
61,11,80
58,12,80
60,10,80
65,9,80
61,8,80
63,13,80
60,13,80
61,11,80
58,9,80
60,11,80
56,11,80
60,11,80
61,48,80
58,11,80
60,13,80
61,12,80
58,11,80
60,11,80
65,10,80
61,10,80
63,9,80
60,11,80
61,12,80
58,10,80
60,10,80
56,11,80
54,13,80
60,12,80
61,10,80
58,10,80
60,11,80
61,11,80
58,10,80
60,10,80
53,9,96
61,306,96
58,9,96
58,12,96
58,12,96
58,11,96
65,146,96
58,11,96
58,9,96
58,8,96
58,9,96
63,148,96
58,11,96
58,11,96
58,12,96
58,11,96
61,147,96
58,9,96
58,11,96
53,146,96
54,26,96
56,11,96
60,58,96
61,61,96
63,59,96
58,13,96
58,10,96
58,10,96
58,11,96
65,147,96
58,11,96
58,9,96
58,13,96
58,13,96
63,146,96
58,13,96
58,11,96
58,10,96
58,11,96
61,146,96
58,13,96
58,10,96
68,149,96
67,26,96
58,304,96
65,10,96
63,109,96
61,48,96
65,11,96
58,111,96
61,50,96
63,8,96
65,13,96
61,10,96
58,13,96
63,259,96
61,306,96
63,9,96
65,12,96
61,59,96
63,10,96
65,10,96
61,11,96
58,11,96
65,452,96
63,182,96
61,50,96
61,11,96
65,50,96
58,59,96
61,50,96
63,11,96
65,11,96
63,10,96
61,50,96
58,11,96
61,12,96
63,256,96
61,207,96
63,10,96
65,13,96
61,60,96
63,13,96
65,10,96
61,13,96
58,10,96
65,453,96
63,180,96
61,50,96
61,61,96
65,50,96
58,11,96
61,48,96
63,11,96
65,10,96
63,13,96
61,48,96
58,11,96
61,11,96
63,258,96
61,210,96
63,11,96
65,11,96
61,59,96
63,13,96
65,10,96
61,13,96
58,11,96
63,158,96
65,11,96
66,10,96
65,59,96
63,59,96
66,11,96
65,59,96
63,59,96
65,11,96
63,59,96
61,61,96
63,10,96
61,13,96
58,48,96
65,63,96
66,10,96
65,59,96
63,58,96
66,11,96
65,58,96
63,61,96
68,8,96
56,405,96
61,85,96
63,13,96
65,10,96
63,63,96
61,61,96
68,11,96
66,454,96
65,57,96
61,13,96
63,59,96
65,155,96
66,61,96
65,60,96
63,13,96
65,60,96
63,63,96
65,12,96
63,63,96
61,59,96
65,404,96
63,59,96
61,59,96
63,157,96
65,160,96
63,59,96
61,59,96
68,13,96
65,59,96
66,162,96
63,453,96
61,59,96
68,10,96
61,402,96
65,84,96
68,8,96
70,11,96
68,455,96
63,57,96
65,11,96
68,11,96
61,355,96
63,109,96
61,207,96
65,10,96
63,61,96
61,58,96
65,13,96
61,402,96
65,62,96
68,11,96
70,14,96
68,450,96
63,61,96
65,13,96
68,9,96
63,62,96
65,11,96
58,109,96
61,8,96
63,11,96
61,208,96
63,12,96
65,11,96
63,12,96
68,10,96
70,13,96
56,2331,80
56,3049,80
53,1188,96
53,11,104
61,247,96
61,117,96
58,17,96
61,24,96
61,109,96
61,109,96
58,18,96
65,180,96
65,131,96
58,25,96
65,25,96
65,126,96
65,126,96
58,27,96
63,176,96
63,125,96
58,28,96
63,25,96
63,124,96
63,125,96
58,29,96
61,179,96
61,129,96
58,28,96
58,104,96
54,21,96
56,27,96
58,18,96
56,25,96
58,26,96
60,1,96
58,25,96
60,0,96
61,1,96
61,23,96
61,98,96
61,120,96
58,25,96
61,18,96
61,124,96
61,116,96
58,17,96
65,164,96
65,116,96
58,20,96
65,19,96
65,114,96
65,117,96
58,20,96
63,151,96
63,107,96
58,10,96
63,13,96
63,109,96
63,111,96
58,13,96
61,155,96
61,109,96
58,13,96
68,109,96
67,9,96
68,9,96
67,11,96
68,12,96
67,11,96
68,13,96
67,13,96
68,11,96
67,13,96
68,11,96
67,9,96
65,207,96
63,158,96
63,501,96
63,600,96
63,10,96
63,11,96
63,257,96
63,356,96
65,748,96
63,109,96
61,1043,96
63,109,96
63,308,96
63,352,96
65,746,96
63,107,96
63,10,96
61,943,96
63,61,96
63,11,96
63,308,96
61,160,96
63,108,96
66,698,96
66,305,96
65,306,96
66,698,96
66,305,96
61,2267,96
65,306,96
63,306,96
61,600,96
65,405,96
61,207,96
65,402,96
66,697,96
66,59,96
66,13,96
66,13,96
70,1288,96
70,10,96
65,455,96
61,501,96
63,160,96
70,1678,96
70,10,96
65,501,96
63,646,96
63,11,96
68,12967,96
67,25,96
65,112,96
65,3049,96
63,1481,96
65,1579,96
68,6730,96
68,9,96
68,11,96
66,3886,96
70,4818,96
