note,length,delay
74,0,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,96
69,2,103
72,2,103
74,2,96
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,96
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,96
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,96
72,2,103
74,2,103
72,2,96
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,96
74,2,103
72,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,96
76,2,103
74,2,103
72,2,103
69,2,103
72,2,96
74,2,103
72,2,103
77,2,103
76,2,103
62,2,103
64,2,103
65,2,96
64,2,103
67,2,103
65,2,103
69,2,103
67,2,103
65,2,96
64,2,103
62,2,103
64,2,103
65,2,103
64,2,96
67,2,103
65,2,103
69,2,103
67,2,103
65,2,96
64,2,103
62,2,103
64,2,103
65,2,103
64,2,103
67,2,103
65,2,103
69,2,103
67,2,103
65,2,96
64,2,103
74,2,103
76,2,103
77,2,103
76,2,103
79,2,103
77,2,103
81,2,103
79,2,103
77,2,103
76,2,103
62,2,103
69,2,103
69,2,103
60,2,103
67,2,103
60,2,103
65,2,103
64,2,103
62,2,103
64,2,103
62,2,103
69,2,103
72,2,103
72,2,103
60,2,103
69,2,103
65,2,103
67,2,103
60,2,103
65,2,103
64,2,103
62,2,103
64,2,103
62,2,103
64,2,103
65,2,96
64,2,103
67,2,103
65,2,103
69,2,103
67,2,103
65,2,96
64,2,103
74,2,103
76,2,103
77,2,103
76,2,103
79,2,103
77,2,103
81,2,103
79,2,103
77,2,96
76,2,103
62,2,103
69,2,103
69,2,103
60,2,103
67,2,103
60,2,103
65,2,103
64,2,103
62,2,103
64,2,103
62,2,103
69,2,103
72,2,103
72,2,103
60,2,103
69,2,103
65,2,103
67,2,103
60,2,103
65,2,103
64,2,103
62,2,103
60,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,96
69,2,103
72,2,103
74,2,103
72,2,96
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,96
74,2,103
72,2,96
69,2,103
72,2,103
74,2,96
72,2,103
77,2,103
76,2,103
62,2,103
64,2,103
65,2,103
64,2,103
62,2,103
60,2,103
69,2,103
67,2,103
65,2,103
67,2,103
69,2,103
67,2,103
65,2,103
64,2,103
62,2,103
64,2,103
62,2,103
64,2,103
65,2,103
64,2,103
62,2,103
60,2,103
57,2,103
72,2,103
69,2,103
67,2,103
65,2,103
67,2,103
69,2,103
67,2,103
65,2,103
64,2,103
62,2,103
64,2,103
65,2,103
64,2,103
60,2,103
74,2,103
62,0,103
76,2,103
64,0,103
77,2,103
65,0,103
76,2,103
64,0,103
74,2,103
62,0,103
72,2,103
60,0,103
81,2,103
69,0,103
79,2,103
67,0,103
77,2,103
65,0,103
79,2,103
67,0,103
81,2,103
69,0,103
79,2,103
67,0,103
77,2,103
65,0,103
76,2,103
64,0,103
74,2,103
62,0,103
76,2,103
64,0,103
74,2,103
62,0,103
76,2,103
64,0,103
77,2,103
65,0,103
76,2,103
64,0,103
74,2,103
62,0,103
72,2,103
60,0,103
69,2,103
57,0,103
84,2,103
72,0,103
81,2,103
69,0,103
79,2,103
67,0,103
77,2,103
65,0,103
79,2,103
67,0,103
81,2,103
69,0,103
79,2,103
67,0,103
77,2,103
65,0,103
76,2,103
64,0,103
74,2,103
62,0,103
76,2,103
64,0,103
77,2,96
65,0,96
76,2,103
64,0,103
72,2,103
60,0,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,96
74,2,103
72,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,96
76,2,103
74,2,103
72,2,96
69,2,103
72,2,103
74,2,96
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,96
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,96
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
67,2,103
69,2,103
72,2,103
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
76,2,103
74,2,103
72,2,103
69,2,103
72,2,96
74,2,103
72,2,103
77,2,103
76,2,103
74,2,103
69,0,103
74,2,103
62,0,103
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
46,0,84
34,0,84
48,0,84
36,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
46,0,84
34,0,84
48,0,84
36,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
50,0,84
38,0,84
50,0,84
38,0,84
38,0,84
50,0,84
38,0,84
50,0,84
34,0,84
46,0,84
34,0,84
46,0,84
50,0,84
38,0,84
53,0,84
41,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
34,0,84
46,0,84
36,0,84
48,0,84
38,0,84
50,0,84
38,0,84
50,0,84
34,0,84
46,0,84
34,0,84
46,0,84
38,0,84
50,0,84
38,0,84
50,0,84
41,0,84
53,0,84
41,0,84
53,0,84
36,0,84
48,0,84
36,0,84
48,0,84
34,0,84
46,0,84
36,0,84
48,0,84
38,0,84
50,0,84
38,0,84
50,0,84
41,0,84
53,0,84
41,0,84
53,0,84
36,0,84
48,0,84
36,0,84
48,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
46,0,84
34,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
53,0,84
41,0,84
53,0,84
41,0,84
48,0,84
36,0,84
48,0,84
36,0,84
50,0,84
38,0,84
50,0,84
38,0,84
50,0,84
38,0,84
