note,length,delay
72,0,100
72,471,0
77,1,100
77,239,0
79,1,100
72,0,100
69,0,100
79,479,0
72,0,0
69,0,0
77,1,100
77,479,0
72,1,100
72,479,0
77,1,100
77,239,0
79,1,100
72,0,100
69,0,100
79,479,0
72,0,0
69,0,0
81,1,100
76,0,100
81,239,0
76,0,0
81,1,100
76,0,100
81,719,0
76,0,0
72,1,100
72,239,0
72,1,100
72,239,0
77,1,100
77,239,0
79,1,100
74,0,100
79,479,0
74,0,0
77,1,100
77,479,0
72,1,100
72,479,0
77,1,100
77,239,0
79,1,100
79,479,0
84,1,100
84,239,0
81,1,100
81,479,0
77,241,100
77,239,0
77,1,100
77,239,0
84,1,100
81,0,100
77,0,100
84,959,0
81,0,0
77,0,0
84,1,100
84,239,0
82,1,100
77,0,100
82,719,0
77,0,0
82,1,100
77,0,100
82,239,0
77,0,0
81,1,100
81,479,0
82,1,100
82,239,0
84,1,100
84,479,0
77,1,100
77,479,0
77,1,100
77,239,0
81,1,100
77,0,100
81,479,0
77,0,0
79,1,100
79,239,0
79,1,100
79,479,0
74,1,100
74,479,0
81,1,100
76,0,100
69,0,100
81,719,0
76,0,0
69,0,0
62,1,90
62,239,0
61,1,80
61,479,0
77,1,100
77,239,0
79,1,100
79,239,0
81,1,100
81,239,0
86,1,100
77,0,100
86,479,0
77,0,0
84,1,100
77,0,100
84,479,0
77,0,0
81,1,100
77,0,100
81,239,0
77,0,0
79,1,100
79,239,0
77,1,100
77,239,0
79,1,100
79,479,0
84,1,100
84,239,0
81,1,100
81,479,0
77,241,100
77,239,0
79,1,100
79,239,0
81,1,100
81,239,0
86,1,100
77,0,100
86,479,0
77,0,0
84,1,100
77,0,100
84,479,0
77,0,0
81,1,100
81,239,0
79,1,100
79,239,0
77,1,100
77,239,0
79,1,100
79,479,0
81,1,100
81,239,0
77,1,100
77,479,0
74,241,100
74,239,0
74,1,100
74,239,0
77,1,100
77,239,0
82,1,100
74,0,100
82,479,0
74,0,0
81,1,100
81,239,0
82,1,100
82,479,0
81,1,100
81,479,0
82,1,100
76,0,100
82,479,0
76,0,0
84,1,100
84,479,0
81,1,100
81,239,0
79,1,100
79,239,0
77,1,100
77,239,0
79,1,100
79,239,0
77,1,100
77,959,0
82,1681,100
76,0,100
82,479,0
76,0,0
81,1,100
81,239,0
77,1,100
77,239,0
79,1,100
79,479,0
81,1,100
77,0,100
81,479,0
77,0,0
65,1,100
65,239,0
65,1,100
65,239,0
65,1,100
65,479,0
65,1,100
65,239,0
65,1,100
65,479,0
64,1,100
64,479,0
62,1,100
62,479,0
64,1,100
64,479,0
60,1,100
60,719,0
77,1,100
77,239,0
77,1,100
77,239,0
77,1,100
77,479,0
77,1,100
77,239,0
77,1,100
77,479,0
76,1,100
76,479,0
74,1,100
74,479,0
76,1,100
76,479,0
72,1,100
72,719,0
