note,length,delay
60,0,55
48,5,68
55,12,24
60,59,56
48,5,66
55,15,24
60,63,55
48,2,68
55,14,24
60,63,54
48,5,68
55,12,24
60,50,68
67,3,33
48,14,74
50,5,38
44,2,90
36,10,86
48,20,82
55,2,52
48,3,95
60,4,92
72,3,62
56,0,69
91,0,76
88,9,57
36,2,77
70,12,61
88,5,61
72,0,68
37,2,60
35,3,59
48,7,95
36,2,74
71,2,73
59,2,71
72,2,67
60,4,86
91,8,52
40,7,52
48,7,91
36,7,90
60,62,45
82,4,29
67,7,30
56,3,73
60,0,60
55,5,51
55,3,76
83,12,60
87,2,48
93,2,34
44,24,112
60,0,62
88,0,53
72,2,67
40,2,35
84,0,23
48,5,100
36,0,86
44,2,75
60,19,62
55,0,54
91,7,56
88,2,67
60,5,97
88,2,67
56,2,69
72,3,51
48,9,93
70,7,62
82,12,30
72,2,74
88,2,62
79,5,30
60,2,87
55,2,37
48,2,91
84,4,64
72,3,72
79,2,38
35,7,58
40,0,56
60,12,64
48,4,92
36,7,81
55,19,44
90,14,88
86,3,62
67,2,18
72,3,17
56,2,78
48,12,53
60,2,74
36,12,85
55,10,37
88,0,55
48,7,90
89,17,59
60,0,58
84,0,94
65,3,56
93,5,53
55,0,40
70,0,31
62,8,67
91,2,63
67,2,80
79,0,63
51,7,73
39,2,102
67,48,37
62,10,86
67,10,25
56,0,73
51,2,35
58,3,23
68,8,32
51,17,48
62,3,78
82,19,36
43,3,99
51,4,67
68,3,32
39,12,100
58,5,27
68,7,33
82,5,37
62,5,77
56,2,71
67,3,31
51,2,63
58,12,45
39,3,87
62,19,61
79,3,79
91,2,100
63,7,72
82,5,33
70,14,30
51,3,82
86,2,75
39,3,103
86,36,76
62,7,62
79,0,46
67,2,85
56,0,74
79,9,76
86,0,26
91,0,80
51,2,62
39,3,85
82,20,33
70,4,37
89,7,80
51,0,59
63,10,40
39,4,85
