note,length,delay
54,0,100
56,0,100
30,0,100
69,0,100
42,0,100
30,1,100
42,25,100
80,1,100
30,0,100
42,1,100
81,1,100
30,0,100
42,1,100
30,1,100
81,1,100
42,24,100
80,1,100
30,0,100
42,1,100
30,1,100
54,1,100
56,0,100
30,0,100
69,0,100
42,0,100
30,1,100
42,25,100
80,1,100
30,0,100
42,1,100
81,1,100
30,0,100
42,1,100
30,1,100
81,1,100
42,24,100
80,1,100
30,0,100
42,1,100
30,1,100
50,1,100
26,0,100
52,0,100
71,0,100
38,0,100
26,1,100
38,25,100
76,1,100
26,0,100
38,1,100
78,1,100
26,0,100
38,1,100
26,1,100
78,1,100
38,24,100
76,1,100
26,0,100
38,1,100
26,1,100
50,1,100
26,0,100
52,0,100
71,0,100
38,0,100
26,1,100
38,25,100
76,1,100
26,0,100
38,1,100
78,1,100
26,0,100
38,1,100
26,1,100
78,1,100
38,24,100
76,1,100
26,0,100
38,1,100
26,1,100
47,1,100
50,0,100
23,0,100
74,0,100
35,0,100
23,1,100
35,25,100
74,1,100
23,0,100
35,1,100
76,1,100
23,0,100
35,1,100
23,1,100
76,1,100
35,24,100
74,1,100
23,0,100
35,1,100
23,1,100
47,1,100
50,0,100
23,0,100
74,0,100
35,0,100
23,1,100
35,25,100
74,1,100
23,0,100
35,1,100
76,1,100
23,0,100
35,1,100
23,1,100
76,1,100
35,24,100
74,1,100
23,0,100
35,1,100
23,1,100
54,1,100
56,0,100
30,0,100
73,0,100
42,0,100
30,1,100
42,25,100
80,1,100
30,0,100
42,1,100
81,1,100
30,0,100
42,1,100
30,1,100
81,1,100
42,24,100
80,1,100
30,0,100
42,1,100
30,1,100
54,1,100
56,0,100
30,0,100
73,0,100
42,0,100
30,1,100
42,25,100
80,1,100
30,0,100
42,1,100
81,1,100
30,0,100
42,1,100
30,1,100
81,1,100
42,24,100
80,1,100
30,0,100
42,1,100
30,1,100
