note,length,delay
65,5,57
62,536,52
57,478,53
62,475,52
65,480,55
62,480,52
57,475,53
62,475,52
65,481,57
60,516,52
57,478,53
60,475,52
65,480,55
60,480,52
57,475,53
60,475,52
64,481,52
61,516,53
57,478,55
61,475,56
64,480,58
61,480,60
57,475,61
61,475,63
64,481,65
61,516,66
57,478,68
61,475,69
64,480,71
61,480,73
64,475,86
61,16,87
61,1,89
57,20,56
62,0,70
57,1,57
64,0,71
57,5,56
65,0,70
60,5,61
69,0,75
60,1,56
67,0,70
60,1,57
69,0,71
60,5,64
58,5,56
62,0,70
58,1,57
64,0,71
58,5,61
65,0,75
58,1,59
64,0,73
60,5,61
67,0,75
60,1,59
69,0,73
61,5,61
67,0,75
61,1,59
65,0,73
57,1055,68
62,0,68
65,0,63
57,1,59
62,0,59
65,0,69
57,1,57
62,0,57
65,0,71
57,5,61
62,0,61
69,0,75
57,1,57
62,0,57
69,0,71
57,1,59
62,0,59
67,0,73
57,1,57
62,0,57
65,0,71
60,1055,57
65,0,57
69,0,71
60,1,59
65,0,59
69,0,69
60,1,57
65,0,57
69,0,71
60,5,61
67,0,75
60,1,57
69,0,71
60,1,59
67,0,73
60,1,57
65,0,71
58,1055,68
62,0,68
65,0,63
58,1,59
62,0,59
65,0,69
58,1,57
62,0,57
65,0,71
58,5,61
62,0,61
69,0,75
58,1,57
62,0,57
69,0,71
58,1,59
62,0,59
67,0,73
58,1,57
62,0,57
65,0,71
60,1055,57
64,0,57
69,0,71
60,1,59
64,0,59
69,0,69
60,1,57
64,0,57
69,0,71
64,1055,57
69,0,57
73,0,71
64,1,59
69,0,59
73,0,69
64,1,57
69,0,57
73,0,71
57,1055,57
62,0,57
65,0,71
57,1,59
62,0,59
65,0,69
57,1,57
62,0,57
65,0,71
57,5,61
62,0,61
69,0,75
57,1,57
62,0,57
69,0,71
57,1,59
62,0,59
67,0,73
57,1,57
62,0,57
65,0,71
62,1055,57
65,0,57
70,0,71
62,1,59
65,0,59
70,0,69
62,1,57
65,0,57
70,0,71
60,5,61
64,0,61
67,0,75
64,1016,59
67,0,59
72,0,73
61,1017,61
64,0,61
69,0,75
64,1016,59
69,0,59
73,0,73
69,1017,49
77,0,63
74,1,52
69,478,45
77,0,59
74,1,52
69,480,55
73,480,52
76,475,53
73,475,52
69,481,61
74,0,75
86,1630,59
98,0,73
33,12287,56
45,0,73
33,1,51
45,0,64
33,1,52
45,0,65
33,1,51
45,0,64
33,1,54
45,0,67
33,1,51
45,0,64
33,1,52
45,0,65
33,1,51
45,0,64
38,5,92
45,31,88
50,31,89
45,31,88
38,31,90
45,31,88
50,31,89
45,31,88
38,35,92
45,31,88
50,31,89
45,31,88
38,31,90
45,31,88
50,31,89
45,31,88
41,35,93
48,31,88
53,31,89
48,31,88
41,31,91
48,31,88
53,31,89
48,31,88
41,35,93
48,31,88
53,31,89
48,31,88
41,31,83
53,0,97
40,1,80
52,0,95
34,5,79
41,542,76
46,478,77
41,475,76
34,480,77
41,480,76
46,475,77
41,475,76
34,481,79
41,516,76
46,478,77
41,475,76
34,480,77
41,480,76
46,475,77
41,475,76
36,481,79
43,516,76
48,478,77
43,475,76
36,480,77
43,480,76
48,475,77
43,475,76
33,481,78
40,516,75
45,478,77
40,475,75
33,480,76
40,480,75
45,475,77
40,475,75
38,481,80
45,516,76
50,478,77
45,475,76
38,480,78
45,480,76
50,475,77
45,475,76
38,481,80
45,516,76
50,478,77
45,475,76
38,480,78
45,480,76
50,475,77
41,481,81
48,542,76
53,478,77
48,475,76
41,480,79
48,480,76
53,475,77
48,475,76
41,481,81
48,516,76
53,478,77
48,475,76
41,480,79
48,480,76
53,475,77
34,481,79
41,542,76
46,478,77
41,475,76
34,480,77
41,480,76
46,475,77
41,475,76
34,481,79
41,516,76
46,478,77
41,475,76
34,480,77
41,480,76
46,475,77
36,481,79
43,542,76
48,478,77
43,475,76
36,480,77
43,480,76
48,475,77
33,481,78
40,542,75
45,478,77
40,475,75
33,480,76
40,480,75
45,475,77
38,481,80
45,542,76
50,478,77
45,475,76
38,480,78
45,480,76
50,475,77
45,475,76
41,481,81
48,516,76
53,478,77
48,475,76
41,480,79
48,480,76
41,475,69
53,0,83
48,1,76
34,481,79
41,516,76
46,478,77
41,475,76
34,480,77
41,480,76
46,475,77
41,475,76
36,481,79
43,516,76
48,478,77
43,475,76
36,480,77
43,480,76
48,475,77
43,475,76
33,481,78
40,516,75
45,478,77
40,475,75
33,480,76
40,480,75
45,475,77
40,475,75
38,481,80
45,516,76
50,478,77
45,475,76
38,480,78
38,1491,92
26,1630,78
38,0,96
