note,length,delay
77,0,80
77,96,0
74,0,80
74,95,0
69,0,80
69,97,0
74,0,80
74,95,0
77,0,80
77,97,0
74,0,80
74,95,0
69,0,80
69,97,0
74,0,80
74,95,0
77,0,80
77,97,0
72,0,80
72,95,0
69,0,80
69,97,0
72,0,80
72,95,0
77,0,80
77,97,0
72,0,80
72,95,0
69,0,80
69,97,0
72,0,80
72,95,0
76,0,80
76,97,0
73,0,80
73,95,0
69,0,80
69,97,0
73,0,80
73,95,0
76,0,80
76,97,0
73,0,80
73,95,0
69,0,80
69,97,0
73,0,80
73,95,0
76,0,80
76,97,0
73,0,80
73,95,0
69,0,80
69,97,0
73,0,80
73,95,0
76,0,80
76,193,0
81,0,80
81,192,0
62,0,80
74,0,80
62,576,0
74,0,0
64,0,80
76,0,80
64,192,0
76,0,0
65,0,80
69,0,80
77,0,80
65,768,0
69,0,0
77,0,0
69,0,80
72,0,80
81,0,80
69,288,0
72,0,0
81,0,0
67,0,80
79,0,80
67,288,0
79,0,0
69,0,80
81,0,80
69,192,0
81,0,0
60,0,80
72,0,80
60,768,0
72,0,0
62,0,80
74,0,80
62,384,0
74,0,0
64,192,80
76,0,80
64,192,0
76,0,0
65,0,80
77,0,80
65,384,0
77,0,0
76,0,80
76,384,0
67,0,80
72,0,80
79,0,80
67,384,0
72,0,0
79,0,0
69,0,80
81,0,80
69,384,0
81,0,0
67,0,80
79,0,80
67,384,0
79,0,0
65,0,80
77,0,80
65,384,0
77,0,0
65,192,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
69,0,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,192,0
79,0,0
65,0,80
77,0,80
65,192,0
77,0,0
69,192,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,192,0
79,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,192,0
79,0,0
65,0,80
77,0,80
65,192,0
77,0,0
65,192,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
69,0,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,192,0
79,0,0
65,0,80
77,0,80
65,192,0
77,0,0
69,192,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
73,192,80
85,0,80
73,192,0
85,0,0
73,0,80
85,0,80
73,192,0
85,0,0
73,0,80
85,0,80
73,192,0
85,0,0
65,192,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
69,0,80
81,0,80
69,192,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,192,0
79,0,0
65,0,80
77,0,80
65,192,0
77,0,0
70,192,80
82,0,80
70,192,0
82,0,0
70,0,80
82,0,80
70,192,0
82,0,0
70,0,80
82,0,80
70,192,0
82,0,0
67,0,80
79,0,80
67,384,0
79,0,0
72,0,80
84,0,80
72,384,0
84,0,0
69,0,80
73,0,80
81,0,80
69,384,0
73,0,0
81,0,0
73,0,80
76,0,80
85,0,80
73,384,0
76,0,0
85,0,0
69,0,80
77,0,80
69,96,0
77,0,0
74,0,80
74,95,0
77,0,80
77,97,0
81,0,80
81,95,0
76,0,80
76,97,0
73,0,80
73,95,0
81,0,80
81,97,0
85,0,80
85,95,0
74,0,80
86,0,80
74,761,0
86,0,0
77,0,80
77,96,0
74,0,80
74,95,0
69,0,80
69,97,0
74,0,80
74,95,0
77,0,80
77,97,0
74,0,80
74,95,0
69,0,80
69,97,0
74,0,80
74,95,0
77,0,80
77,97,0
72,0,80
72,95,0
69,0,80
69,97,0
72,0,80
72,95,0
77,0,80
77,97,0
72,0,80
72,95,0
69,0,80
69,97,0
72,0,80
72,95,0
76,0,80
76,97,0
73,0,80
73,95,0
69,0,80
69,97,0
73,0,80
73,95,0
75,0,80
75,97,0
72,0,80
72,95,0
68,0,80
68,97,0
72,0,80
72,95,0
74,0,80
74,97,0
71,0,80
71,95,0
68,0,80
68,97,0
71,0,80
71,95,0
73,0,80
73,97,0
70,0,80
70,95,0
67,0,80
67,97,0
70,0,80
70,95,0
62,0,80
74,0,80
62,577,0
74,0,0
64,0,80
76,0,80
64,192,0
76,0,0
65,0,80
69,0,80
77,0,80
65,768,0
69,0,0
77,0,0
69,0,80
72,0,80
81,0,80
69,288,0
72,0,0
81,0,0
67,0,80
79,0,80
67,288,0
79,0,0
69,0,80
81,0,80
69,192,0
81,0,0
60,0,80
72,0,80
60,96,0
72,0,0
81,0,80
81,192,0
79,0,80
79,288,0
81,0,80
81,192,0
62,0,80
74,0,80
62,384,0
74,0,0
64,192,80
76,0,80
64,192,0
76,0,0
65,0,80
77,0,80
65,384,0
77,0,0
76,0,80
76,384,0
67,0,80
72,0,80
79,0,80
67,384,0
72,0,0
79,0,0
69,0,80
81,0,80
69,384,0
81,0,0
67,0,80
79,0,80
67,384,0
79,0,0
65,0,80
77,0,80
65,384,0
77,0,0
65,192,80
77,0,80
65,384,0
77,0,0
72,0,80
72,96,0
77,0,80
77,95,0
69,0,80
81,0,80
69,193,0
81,0,0
69,0,80
81,0,80
69,192,0
81,0,0
77,0,80
77,96,0
76,0,80
76,95,0
75,0,80
75,97,0
74,0,80
74,96,0
69,192,80
81,0,80
69,192,0
81,0,0
68,0,80
80,0,80
68,192,0
80,0,0
69,0,80
81,0,80
69,192,0
81,0,0
67,0,80
79,0,80
67,96,0
79,0,0
67,0,80
79,0,80
67,95,0
79,0,0
67,0,80
79,0,80
67,97,0
79,0,0
65,0,80
77,0,80
65,95,0
77,0,0
63,0,80
75,0,80
63,97,0
75,0,0
67,0,80
79,0,80
67,95,0
79,0,0
65,0,80
77,0,80
65,385,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
65,0,80
77,0,80
65,192,0
77,0,0
72,0,80
72,192,0
69,0,80
81,0,80
69,192,0
81,0,0
81,0,80
81,96,0
80,0,80
80,95,0
79,0,80
79,193,0
77,0,80
77,192,0
65,0,80
77,0,80
65,192,0
77,0,0
69,0,80
69,96,0
70,0,80
70,95,0
71,0,80
71,97,0
72,0,80
72,95,0
69,0,80
81,0,80
69,385,0
81,0,0
73,0,80
85,0,80
73,192,0
85,0,0
73,0,80
85,0,80
73,192,0
85,0,0
65,0,80
77,0,80
65,192,0
77,0,0
70,192,80
82,0,80
70,192,0
82,0,0
72,0,80
84,0,80
72,192,0
84,0,0
74,0,80
86,0,80
74,192,0
86,0,0
76,0,80
88,0,80
76,192,0
88,0,0
79,0,80
79,96,0
78,0,80
78,95,0
77,0,80
77,97,0
76,0,80
76,95,0
73,0,80
85,0,80
73,193,0
85,0,0
69,0,80
76,0,80
81,0,80
69,96,0
76,0,0
81,0,0
73,0,80
73,95,0
81,0,80
81,97,0
76,0,80
76,95,0
73,0,80
85,0,80
73,97,0
85,0,0
73,0,80
85,0,80
73,95,0
85,0,0
73,0,80
85,0,80
73,97,0
85,0,0
76,0,80
88,0,80
76,95,0
88,0,0
74,0,80
86,0,80
74,193,0
86,0,0
73,0,80
73,64,0
65,0,80
65,64,0
61,0,80
61,64,0
72,0,80
72,64,0
65,0,80
65,64,0
60,0,80
60,64,0
71,0,80
71,64,0
64,0,80
64,64,0
59,0,80
59,64,0
74,384,80
86,0,80
74,192,0
86,0,0
38,0,80
50,0,80
38,416,0
50,0,0
41,0,80
53,0,80
41,768,0
53,0,0
45,0,80
57,0,80
45,768,0
57,0,0
45,0,80
57,0,80
45,384,0
57,0,0
45,0,80
57,0,80
45,384,0
57,0,0
38,0,80
38,96,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
53,0,80
53,97,0
50,0,80
50,95,0
45,0,80
45,97,0
50,0,80
50,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
53,0,80
53,97,0
50,0,80
50,95,0
45,0,80
45,97,0
50,0,80
50,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
57,0,80
57,97,0
53,0,80
53,95,0
48,0,80
48,97,0
53,0,80
53,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
57,0,80
57,97,0
53,0,80
53,95,0
48,0,80
48,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
62,0,80
62,97,0
58,0,80
58,95,0
53,0,80
53,97,0
58,0,80
58,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
62,0,80
62,97,0
58,0,80
58,95,0
53,0,80
53,97,0
58,0,80
58,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
64,0,80
64,97,0
60,0,80
60,95,0
55,0,80
55,97,0
48,0,80
48,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
61,0,80
61,97,0
57,0,80
57,95,0
52,0,80
52,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
40,0,80
40,97,0
45,0,80
45,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
48,0,80
48,97,0
55,0,80
55,95,0
46,0,80
46,97,0
55,0,80
55,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
40,0,80
40,97,0
45,0,80
45,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,193,0
50,0,80
57,0,80
62,0,80
50,768,0
57,0,0
62,0,0
38,384,80
50,0,80
38,376,0
50,0,0
38,0,80
50,0,80
38,192,0
50,0,0
38,0,80
50,0,80
38,128,0
50,0,0
38,95,80
50,0,80
38,97,0
50,0,0
40,0,80
52,0,80
40,95,0
52,0,0
41,0,80
53,0,80
41,193,0
53,0,0
41,96,80
53,0,80
41,192,0
53,0,0
41,95,80
53,0,80
41,97,0
53,0,0
43,0,80
55,0,80
43,95,0
55,0,0
45,0,80
57,0,80
45,1537,0
57,0,0
38,0,80
38,96,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
53,0,80
53,97,0
50,0,80
50,95,0
45,0,80
45,97,0
50,0,80
50,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
53,0,80
53,97,0
50,0,80
50,95,0
45,0,80
45,97,0
50,0,80
50,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
57,0,80
57,97,0
53,0,80
53,95,0
48,0,80
48,97,0
53,0,80
53,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
57,0,80
57,97,0
53,0,80
53,95,0
48,0,80
48,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
62,0,80
62,97,0
58,0,80
58,95,0
53,0,80
53,97,0
58,0,80
58,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
62,0,80
62,97,0
58,0,80
58,95,0
53,0,80
53,97,0
46,0,80
46,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
64,0,80
64,97,0
60,0,80
60,95,0
55,0,80
55,97,0
48,0,80
48,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
61,0,80
61,97,0
57,0,80
57,95,0
52,0,80
52,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
38,0,80
38,97,0
45,0,80
45,95,0
50,0,80
50,97,0
45,0,80
45,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
41,0,80
41,97,0
48,0,80
48,95,0
53,0,80
53,97,0
48,0,80
48,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
46,0,80
46,97,0
53,0,80
53,95,0
58,0,80
58,97,0
53,0,80
53,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
48,0,80
48,97,0
55,0,80
55,95,0
60,0,80
60,97,0
55,0,80
55,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
45,0,80
45,97,0
52,0,80
52,95,0
57,0,80
57,97,0
52,0,80
52,95,0
50,0,80
57,0,80
62,0,80
50,385,0
57,0,0
62,0,0
38,384,80
50,0,80
38,384,0
50,0,0
