note,length,delay
62,0,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,94,0
62,2,110
62,94,0
62,2,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,94,0
62,2,110
62,94,0
62,2,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,160,0
62,32,110
62,94,0
62,2,110
62,94,0
57,2,110
57,94,0
60,2,110
60,94,0
53,0,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
53,32,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
53,32,110
57,0,110
62,0,110
53,94,0
57,0,0
62,0,0
57,2,110
60,0,110
64,0,110
57,94,0
60,0,0
64,0,0
58,0,110
62,0,110
65,0,110
58,160,0
62,0,0
65,0,0
58,32,110
62,0,110
65,0,110
58,160,0
62,0,0
65,0,0
58,32,110
62,0,110
65,0,110
58,94,0
62,0,0
65,0,0
62,2,110
67,0,110
62,94,0
67,0,0
57,0,110
60,0,110
64,0,110
57,160,0
60,0,0
64,0,0
57,32,110
60,0,110
64,0,110
57,160,0
60,0,0
64,0,0
57,32,110
62,0,110
57,94,0
62,0,0
55,2,110
60,0,110
55,94,0
60,0,0
57,0,110
60,0,110
57,94,0
60,0,0
57,2,110
62,0,110
57,160,0
62,0,0
57,128,110
57,94,0
60,2,110
60,94,0
53,0,110
58,0,110
62,0,110
53,160,0
58,0,0
62,0,0
53,32,110
58,0,110
62,0,110
53,160,0
58,0,0
62,0,0
58,32,110
62,0,110
58,94,0
62,0,0
58,2,110
64,0,110
58,94,0
64,0,0
57,0,110
60,0,110
65,0,110
57,160,0
60,0,0
65,0,0
57,32,110
60,0,110
65,0,110
57,160,0
60,0,0
65,0,0
60,32,110
65,0,110
60,94,0
65,0,0
60,2,110
67,0,110
60,94,0
67,0,0
60,0,110
64,0,110
60,160,0
64,0,0
60,32,110
64,0,110
60,160,0
64,0,0
57,32,110
62,0,110
57,94,0
62,0,0
60,2,110
60,94,0
53,0,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
57,224,110
57,94,0
60,2,110
60,94,0
53,0,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
53,32,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
57,32,110
62,0,110
57,94,0
62,0,0
57,2,110
65,0,110
57,94,0
65,0,0
58,0,110
62,0,110
67,0,110
58,160,0
62,0,0
67,0,0
58,32,110
62,0,110
67,0,110
58,160,0
62,0,0
67,0,0
62,32,110
67,0,110
62,94,0
67,0,0
62,2,110
69,0,110
62,94,0
69,0,0
62,0,110
67,0,110
70,0,110
62,160,0
67,0,0
70,0,0
62,32,110
67,0,110
70,0,110
62,160,0
67,0,0
70,0,0
65,32,110
69,0,110
65,94,0
69,0,0
64,2,110
67,0,110
64,94,0
67,0,0
65,0,110
69,0,110
65,94,0
69,0,0
62,2,110
62,160,0
62,128,110
62,94,0
64,2,110
64,94,0
58,0,110
62,0,110
65,0,110
58,160,0
62,0,0
65,0,0
58,32,110
62,0,110
65,0,110
58,160,0
62,0,0
65,0,0
58,32,110
62,0,110
67,0,110
58,160,0
62,0,0
67,0,0
65,0,110
69,0,110
65,94,0
69,0,0
62,2,110
62,160,0
62,128,110
62,94,0
65,2,110
65,94,0
57,0,110
61,0,110
64,0,110
57,160,0
61,0,0
64,0,0
57,32,110
61,0,110
64,0,110
57,160,0
61,0,0
64,0,0
62,32,110
65,0,110
62,94,0
65,0,0
59,2,110
62,0,110
59,94,0
62,0,0
57,0,110
61,0,110
64,0,110
57,94,0
61,0,0
64,0,0
69,96,110
69,94,0
72,2,110
72,94,0
65,0,110
69,0,110
74,0,110
65,160,0
69,0,0
74,0,0
65,32,110
69,0,110
74,0,110
65,160,0
69,0,0
74,0,0
65,32,110
69,0,110
74,0,110
65,94,0
69,0,0
74,0,0
69,2,110
72,0,110
76,0,110
69,94,0
72,0,0
76,0,0
70,0,110
74,0,110
77,0,110
70,160,0
74,0,0
77,0,0
70,32,110
74,0,110
77,0,110
70,160,0
74,0,0
77,0,0
70,32,110
74,0,110
77,0,110
70,94,0
74,0,0
77,0,0
74,2,110
79,0,110
74,94,0
79,0,0
69,0,110
72,0,110
76,0,110
69,160,0
72,0,0
76,0,0
69,32,110
72,0,110
76,0,110
69,160,0
72,0,0
76,0,0
69,32,110
74,0,110
69,94,0
74,0,0
67,2,110
72,0,110
67,94,0
72,0,0
69,0,110
72,0,110
69,94,0
72,0,0
69,2,110
74,0,110
69,160,0
74,0,0
69,128,110
69,94,0
72,2,110
72,94,0
65,0,110
70,0,110
74,0,110
65,160,0
70,0,0
74,0,0
65,32,110
70,0,110
74,0,110
65,160,0
70,0,0
74,0,0
70,32,110
74,0,110
70,94,0
74,0,0
70,2,110
76,0,110
70,94,0
76,0,0
69,0,110
72,0,110
77,0,110
69,160,0
72,0,0
77,0,0
69,32,110
72,0,110
77,0,110
69,160,0
72,0,0
77,0,0
72,32,110
77,0,110
72,94,0
77,0,0
72,2,110
79,0,110
72,94,0
79,0,0
72,0,110
76,0,110
72,160,0
76,0,0
72,32,110
76,0,110
72,160,0
76,0,0
69,32,110
74,0,110
69,94,0
74,0,0
72,2,110
72,94,0
65,0,110
69,0,110
74,0,110
65,160,0
69,0,0
74,0,0
69,224,110
69,94,0
72,2,110
72,94,0
65,0,110
69,0,110
74,0,110
65,160,0
69,0,0
74,0,0
65,32,110
69,0,110
74,0,110
65,160,0
69,0,0
74,0,0
69,32,110
74,0,110
69,94,0
74,0,0
69,2,110
77,0,110
69,94,0
77,0,0
70,0,110
74,0,110
79,0,110
70,160,0
74,0,0
79,0,0
70,32,110
74,0,110
79,0,110
70,160,0
74,0,0
79,0,0
74,32,110
79,0,110
74,94,0
79,0,0
74,2,110
81,0,110
74,94,0
81,0,0
74,0,110
79,0,110
82,0,110
74,160,0
79,0,0
82,0,0
74,32,110
79,0,110
82,0,110
74,160,0
79,0,0
82,0,0
77,32,110
81,0,110
77,94,0
81,0,0
76,2,110
79,0,110
76,94,0
79,0,0
77,0,110
81,0,110
77,94,0
81,0,0
74,2,110
74,160,0
74,128,110
74,94,0
76,2,110
76,94,0
70,0,110
74,0,110
77,0,110
70,160,0
74,0,0
77,0,0
70,32,110
74,0,110
77,0,110
70,160,0
74,0,0
77,0,0
70,32,110
74,0,110
79,0,110
70,160,0
74,0,0
79,0,0
77,0,110
81,0,110
77,94,0
81,0,0
74,2,110
74,160,0
74,128,110
74,94,0
77,2,110
77,94,0
69,0,110
73,0,110
76,0,110
69,160,0
73,0,0
76,0,0
69,32,110
73,0,110
76,0,110
69,160,0
73,0,0
76,0,0
74,32,110
74,94,0
73,2,110
73,94,0
69,0,110
74,0,110
69,160,0
74,0,0
69,32,110
74,0,110
69,160,0
74,0,0
69,0,110
72,0,110
76,0,110
69,160,0
72,0,0
76,0,0
72,0,110
74,0,110
77,0,110
72,160,0
74,0,0
77,0,0
77,32,110
77,94,0
77,2,110
77,94,0
70,0,110
74,0,110
79,0,110
70,160,0
74,0,0
79,0,0
74,0,110
81,0,110
74,94,0
81,0,0
77,2,110
77,94,0
69,194,110
77,0,110
69,94,0
77,0,0
69,2,110
74,0,110
69,94,0
74,0,0
69,2,110
69,94,0
74,0,110
79,0,110
82,0,110
74,94,0
79,0,0
82,0,0
70,290,110
79,0,110
70,94,0
79,0,0
70,2,110
74,0,110
70,94,0
74,0,0
70,2,110
70,94,0
61,0,110
64,0,110
61,94,0
64,0,0
61,2,110
64,0,110
61,160,0
64,0,0
55,32,110
62,0,110
55,256,0
62,0,0
57,0,110
61,0,110
65,0,110
57,256,0
61,0,0
65,0,0
65,128,110
65,94,0
67,2,110
67,94,0
62,0,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
70,0,110
62,94,0
65,0,0
70,0,0
62,0,110
65,0,110
69,0,110
62,94,0
65,0,0
69,0,0
60,0,110
64,0,110
67,0,110
60,160,0
64,0,0
67,0,0
60,32,110
64,0,110
67,0,110
60,160,0
64,0,0
67,0,0
60,32,110
64,0,110
67,0,110
60,160,0
64,0,0
67,0,0
60,32,110
64,0,110
67,0,110
60,94,0
64,0,0
67,0,0
60,0,110
65,0,110
69,0,110
60,94,0
65,0,0
69,0,0
62,0,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
69,0,110
62,160,0
65,0,0
69,0,0
62,32,110
65,0,110
70,0,110
62,94,0
65,0,0
70,0,0
62,0,110
65,0,110
69,0,110
62,94,0
65,0,0
69,0,0
61,0,110
64,0,110
67,0,110
61,160,0
64,0,0
67,0,0
61,32,110
65,0,110
61,160,0
65,0,0
57,32,110
64,0,110
57,160,0
64,0,0
53,0,110
57,0,110
62,0,110
53,160,0
57,0,0
62,0,0
62,224,110
62,94,0
64,2,110
64,94,0
57,0,110
62,0,110
65,0,110
57,336,0
62,0,0
65,0,0
67,48,110
67,94,0
69,2,110
69,94,0
60,0,110
67,0,110
60,160,0
67,0,0
60,32,110
65,0,110
60,160,0
65,0,0
60,32,110
64,0,110
60,160,0
64,0,0
57,0,110
60,0,110
65,0,110
57,160,0
60,0,0
65,0,0
57,32,110
60,0,110
67,0,110
57,160,0
60,0,0
67,0,0
57,32,110
60,0,110
69,0,110
57,160,0
60,0,0
69,0,0
60,0,110
64,0,110
67,0,110
60,160,0
64,0,0
67,0,0
65,224,110
