note,length,delay
38,0,50
38,0,50
62,0,50
58,0,50
64,32,50
57,0,50
65,35,50
58,0,50
45,0,50
67,32,50
57,0,50
69,32,50
50,0,50
58,0,50
57,35,50
67,0,50
69,4,50
58,0,50
52,0,50
57,33,50
67,0,50
53,34,50
58,0,50
65,0,50
57,32,50
67,0,50
55,33,50
58,0,50
64,0,50
62,34,50
57,0,50
38,32,50
38,0,50
58,0,50
62,0,50
57,34,50
64,0,50
46,33,50
58,0,50
65,0,50
67,32,50
57,0,50
69,34,50
58,0,50
50,0,50
57,33,50
67,0,50
69,33,50
58,0,50
52,0,50
57,33,50
67,0,50
53,33,50
65,0,50
58,0,50
69,33,50
57,0,50
67,0,50
58,33,50
64,0,50
55,0,50
62,33,50
57,0,50
38,2,50
58,0,50
81,0,50
38,0,50
62,0,50
57,33,50
64,0,50
45,33,50
65,0,50
58,0,50
57,33,50
67,0,50
79,0,50
50,33,50
58,0,50
69,0,50
77,2,50
67,34,50
57,0,50
76,0,50
52,6,50
58,0,50
69,0,50
67,33,50
57,0,50
53,34,50
58,0,50
65,0,50
67,33,50
57,0,50
74,0,50
64,32,50
55,0,50
58,0,50
62,34,50
57,0,50
81,2,50
38,0,50
38,0,50
58,0,50
62,0,50
64,32,50
57,0,50
65,34,50
58,0,50
46,0,50
65,0,50
57,33,50
67,0,50
58,33,50
50,0,50
69,0,50
82,4,50
57,35,50
67,0,50
58,2,50
84,0,50
69,0,50
52,0,50
67,33,50
57,0,50
58,33,50
65,0,50
53,0,50
67,33,50
57,0,50
55,33,50
58,0,50
64,0,50
82,5,50
57,35,50
62,0,50
38,2,50
62,0,50
38,0,50
58,0,50
57,32,50
64,0,50
64,0,50
58,34,50
45,0,50
65,0,50
57,33,50
67,0,50
58,32,50
69,0,50
50,0,50
69,0,50
60,35,50
60,0,50
65,0,50
60,0,50
57,36,50
67,0,50
58,7,50
52,0,50
69,0,50
72,38,50
57,33,50
67,0,50
53,35,50
65,0,50
58,0,50
57,32,50
57,0,50
67,0,50
57,0,50
55,32,50
58,0,50
57,36,50
62,0,50
62,32,50
58,0,50
38,0,50
77,0,50
38,0,50
64,33,50
81,0,50
81,0,50
64,0,50
64,0,50
57,0,50
65,34,50
58,0,50
76,0,50
84,0,50
46,0,50
57,32,50
67,0,50
69,34,50
58,0,50
50,0,50
67,33,50
57,0,50
67,0,50
67,0,50
58,32,50
52,0,50
69,0,50
67,34,50
57,0,50
58,33,50
65,0,50
53,0,50
57,32,50
69,0,50
67,0,50
67,0,50
64,34,50
58,0,50
55,0,50
62,33,50
57,0,50
62,3,50
81,0,50
38,0,50
38,0,50
58,0,50
64,33,50
57,0,50
45,33,50
58,0,50
65,0,50
64,2,50
57,33,50
67,0,50
79,0,50
50,33,50
58,0,50
69,0,50
65,2,50
77,2,50
67,33,50
57,0,50
76,0,50
52,6,50
58,0,50
69,0,50
57,35,50
67,0,50
58,34,50
65,0,50
53,0,50
57,33,50
67,0,50
74,0,50
64,32,50
58,0,50
55,0,50
57,34,50
62,0,50
38,2,50
58,0,50
81,0,50
38,0,50
62,0,50
64,32,50
57,0,50
58,34,50
65,0,50
46,0,50
67,33,50
57,0,50
58,33,50
69,0,50
50,0,50
82,4,50
57,35,50
67,0,50
52,2,50
84,0,50
69,0,50
58,0,50
67,33,50
57,0,50
53,33,50
58,0,50
65,0,50
67,33,50
57,0,50
67,0,50
64,33,50
58,0,50
55,0,50
82,5,50
62,35,50
57,0,50
81,2,50
38,0,50
62,0,50
58,0,50
38,0,50
57,32,50
64,0,50
65,34,50
58,0,50
45,0,50
67,33,50
57,0,50
50,32,50
69,0,50
58,0,50
67,34,50
57,0,50
69,0,50
69,0,50
58,0,50
52,0,50
69,0,50
67,32,50
57,0,50
58,35,50
53,0,50
65,0,50
65,0,50
65,0,50
67,0,50
67,0,50
