note,length,delay
58,480,87
58,0,117
39,0,112
66,0,127
35,0,122
65,0,1
61,0,1
58,0,1
39,53,0
66,11,0
35,9,0
58,162,0
61,85,81
58,17,0
58,143,78
65,0,102
39,0,112
61,31,0
39,19,0
58,239,0
65,5,0
61,26,88
61,149,0
58,11,87
63,0,117
39,0,102
40,0,127
39,53,0
40,15,0
63,208,0
58,37,0
61,7,94
58,160,88
63,0,112
39,0,107
66,0,117
61,18,0
39,26,0
66,7,0
66,109,112
66,54,0
61,74,102
58,7,0
63,25,0
61,0,85
66,0,112
35,0,122
35,42,0
66,14,0
61,18,0
58,86,96
63,0,117
39,0,112
35,0,117
66,0,127
61,11,0
39,46,0
66,13,0
35,2,0
63,172,0
58,65,0
61,11,90
58,160,94
63,0,112
39,0,112
61,11,0
39,39,0
65,238,112
58,14,0
63,7,0
61,11,90
65,139,0
58,21,94
63,0,112
39,0,122
40,0,117
61,25,0
39,33,0
40,18,0
61,212,117
63,16,0
58,10,0
61,6,83
61,151,0
58,9,90
58,0,112
39,0,112
66,0,127
61,32,0
39,23,0
66,9,0
66,96,117
66,57,0
58,14,0
56,57,117
58,22,0
61,10,87
66,0,122
35,0,122
35,43,0
66,16,0
61,81,0
58,20,0
65,0,0
61,0,0
54,0,88
58,0,112
39,0,112
66,0,127
35,0,122
61,0,1
58,0,1
54,0,1
56,14,0
39,39,0
66,11,0
35,9,0
58,194,0
61,53,94
54,13,0
54,147,94
65,0,117
39,0,112
61,28,0
39,22,0
65,221,0
61,49,94
54,16,0
54,144,81
63,0,112
39,0,102
40,0,127
61,47,0
39,6,0
40,15,0
63,190,0
54,44,0
61,18,94
54,160,88
63,0,112
39,0,107
66,0,117
61,29,0
39,15,0
66,7,0
66,109,112
66,54,0
61,74,107
63,7,0
54,25,0
61,0,96
66,0,112
35,0,122
35,42,0
66,14,0
61,28,0
61,76,0
54,0,0
58,0,0
57,0,85
63,0,112
39,0,112
35,0,117
66,0,127
60,0,1
57,0,1
53,0,1
61,13,0
39,44,0
66,13,0
35,2,0
63,180,0
57,56,0
60,12,87
57,160,83
63,0,102
39,0,112
60,27,0
39,23,0
63,197,0
65,41,96
60,32,83
57,13,0
57,147,81
63,0,107
39,0,122
40,0,117
65,25,0
60,0,0
39,33,0
40,18,0
63,139,0
61,73,127
57,22,0
60,10,81
61,132,0
57,28,88
58,0,102
39,0,112
60,31,0
39,24,0
58,110,0
56,123,107
60,32,85
57,22,0
60,126,0
56,10,0
53,2,0
60,0,0
57,0,0
58,0,87
58,0,112
39,0,112
66,0,127
35,0,122
65,0,1
61,0,1
58,0,1
39,53,0
66,11,0
35,9,0
61,247,81
58,17,0
58,143,78
61,0,117
39,0,112
61,31,0
58,14,0
39,5,0
61,228,0
58,11,0
61,31,88
61,149,0
58,11,87
70,0,117
39,0,102
40,0,127
39,53,0
40,15,0
58,245,0
61,7,94
58,160,88
39,0,107
66,0,117
61,18,0
39,26,0
66,7,0
66,109,112
66,54,0
58,81,0
61,25,85
66,0,112
35,0,122
35,42,0
66,14,0
58,104,96
65,0,94
39,0,112
35,0,117
66,0,127
61,11,0
70,3,0
39,43,0
66,13,0
35,2,0
58,237,0
61,11,90
58,160,94
39,0,112
61,11,0
65,2,0
39,37,0
65,238,94
58,14,0
61,18,90
58,160,94
63,0,102
39,0,122
40,0,117
61,25,0
65,2,0
39,31,0
40,18,0
61,212,94
63,20,0
58,6,0
61,6,83
58,160,90
58,0,102
39,0,112
66,0,127
61,9,0
61,23,0
39,23,0
66,9,0
66,96,117
66,57,0
58,56,0
56,15,102
58,22,0
61,10,87
66,0,122
35,0,122
35,43,0
66,16,0
61,81,0
56,1,0
61,19,0
58,0,0
65,0,0
54,0,88
58,0,112
39,0,112
66,0,127
35,0,122
61,0,1
58,0,1
54,0,1
39,53,0
66,11,0
35,9,0
58,247,0
61,0,94
54,13,0
54,147,94
61,0,122
39,0,112
61,28,0
39,22,0
61,218,0
61,52,94
54,16,0
54,144,81
70,0,117
39,0,102
40,0,127
61,47,0
39,6,0
40,15,0
54,234,0
61,18,94
54,160,88
39,0,107
66,0,117
61,29,0
39,15,0
66,7,0
66,109,112
66,54,0
54,106,0
61,0,96
66,0,112
35,0,122
35,42,0
66,14,0
58,104,0
54,0,0
61,0,0
57,0,85
69,0,112
39,0,112
35,0,117
66,0,127
60,0,1
57,0,1
53,0,1
61,13,0
70,35,0
39,9,0
66,13,0
35,2,0
57,236,0
60,12,87
57,160,83
39,0,112
60,27,0
39,23,0
69,195,0
60,75,83
57,13,0
57,147,81
39,0,122
40,0,117
60,25,0
39,33,0
40,18,0
57,234,0
60,10,81
57,160,88
39,0,112
60,31,0
39,24,0
60,265,85
57,22,0
60,126,0
60,12,0
53,0,0
57,0,0
22,0,117
58,0,87
58,0,107
22,0,117
39,0,112
66,0,127
35,0,122
65,0,1
61,0,1
58,0,1
39,53,0
66,11,0
35,9,0
58,11,0
58,204,102
61,2,81
58,9,0
58,8,0
58,0,78
65,0,112
39,0,112
61,3,0
39,4,0
65,30,0
58,15,0
61,31,88
61,149,0
58,11,87
63,0,112
39,0,102
40,0,127
39,53,0
40,15,0
63,27,0
63,193,107
22,15,0
22,0,0
58,10,0
61,7,94
63,58,0
58,3,88
63,0,117
39,0,107
66,0,117
61,3,0
39,17,0
66,7,0
66,109,112
66,54,0
63,53,0
61,21,107
58,7,0
61,25,85
66,0,112
35,0,122
35,42,0
66,14,0
61,28,0
58,76,96
63,0,122
39,0,112
35,0,117
66,0,127
61,11,0
39,46,0
66,13,0
35,2,0
63,106,0
63,110,112
58,21,0
61,11,90
63,80,0
58,80,94
63,0,102
39,0,112
61,11,0
39,39,0
63,128,0
65,110,102
58,14,0
61,18,90
65,76,0
58,84,94
63,0,102
39,0,122
40,0,117
61,25,0
39,33,0
40,18,0
63,140,0
61,72,117
58,26,0
61,6,83
58,160,90
58,0,117
39,0,112
66,0,127
61,19,0
61,13,0
39,23,0
66,9,0
66,96,117
66,57,0
58,17,0
56,54,102
58,22,0
61,10,87
66,0,122
35,0,122
35,43,0
66,16,0
56,69,0
61,12,0
65,20,0
61,0,0
58,0,0
54,0,88
58,0,117
39,0,112
66,0,127
35,0,122
61,0,1
58,0,1
54,0,1
39,53,0
66,11,0
35,9,0
58,194,0
61,53,94
54,13,0
54,147,94
65,0,107
39,0,112
61,28,0
39,22,0
65,131,0
65,107,90
61,32,94
54,16,0
65,69,0
54,75,81
63,0,107
39,0,102
40,0,127
61,47,0
39,6,0
40,15,0
63,189,0
54,45,0
61,18,94
54,160,88
63,0,117
39,0,107
66,0,117
61,29,0
39,15,0
66,7,0
66,109,112
63,25,0
66,29,0
61,74,107
54,32,0
61,0,96
66,0,112
35,0,122
61,25,0
35,17,0
66,14,0
58,104,0
61,0,0
54,0,0
57,0,85
63,0,117
39,0,112
35,0,117
66,0,127
60,0,1
57,0,1
53,0,1
61,13,0
39,44,0
66,13,0
35,2,0
57,236,0
60,12,87
63,8,0
57,152,83
63,0,102
39,0,112
60,27,0
39,23,0
63,205,0
65,33,90
60,32,83
57,13,0
57,147,81
63,0,107
39,0,122
40,0,117
65,24,0
60,1,0
39,33,0
40,18,0
63,177,0
61,35,102
57,22,0
60,10,81
61,153,0
57,7,88
58,0,102
39,0,112
60,31,0
39,24,0
56,233,94
58,4,0
60,28,85
57,22,0
60,126,0
53,12,0
60,0,0
57,0,0
22,0,117
58,0,87
58,0,112
22,0,117
39,0,112
66,0,127
35,0,122
65,0,1
61,0,1
58,0,1
56,1,0
39,52,0
66,11,0
35,9,0
61,2,81
58,9,0
58,6,0
58,0,78
61,0,117
39,0,112
61,3,0
39,4,0
61,34,0
58,11,0
61,31,88
61,149,0
58,11,87
70,0,117
39,0,102
40,0,127
39,53,0
40,15,0
22,235,0
22,0,0
58,10,0
61,7,94
58,3,88
39,0,107
66,0,117
61,3,0
39,17,0
66,7,0
66,109,112
66,54,0
58,81,0
61,25,85
66,0,112
35,0,122
35,42,0
66,14,0
58,104,96
65,0,94
39,0,112
35,0,117
66,0,127
61,11,0
70,3,0
39,43,0
66,13,0
35,2,0
58,237,0
61,11,90
58,160,94
39,0,112
61,11,0
