note,length,delay
36,0,100
48,144,100
43,96,100
46,0,100
48,0,100
41,288,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
36,48,100
48,144,100
43,96,100
46,0,100
48,0,100
41,288,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
51,48,100
51,24,100
46,0,100
46,24,100
48,0,100
48,24,100
41,480,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
51,48,100
51,24,100
46,0,100
46,24,100
48,0,100
48,24,100
41,480,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
29,48,100
29,24,100
32,0,100
32,24,100
36,0,100
36,24,100
39,480,100
39,24,100
34,0,100
34,24,100
36,0,100
36,24,100
29,480,100
29,24,100
32,0,100
32,24,100
36,0,100
36,24,100
39,480,100
39,24,100
34,0,100
34,24,100
36,0,100
36,24,100
44,480,100
44,18,100
43,0,100
43,18,100
41,0,100
41,18,100
39,480,100
39,18,100
38,0,100
38,18,100
36,0,100
36,18,100
44,480,100
44,18,100
43,0,100
43,18,100
41,0,100
41,18,100
39,480,100
39,18,100
38,0,100
38,18,100
36,0,100
36,18,100
36,480,100
48,144,100
43,96,100
46,0,100
48,0,100
41,288,100
41,144,100
43,288,100
40,0,100
38,0,100
36,0,100
36,48,100
48,144,100
43,96,100
46,0,100
48,0,100
41,288,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
51,48,100
51,24,100
46,0,100
46,24,100
48,0,100
48,24,100
41,480,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
51,48,100
51,24,100
46,0,100
46,24,100
48,0,100
48,24,100
41,480,100
41,144,100
43,288,100
39,0,100
38,0,100
36,0,100
29,48,100
29,24,100
32,0,100
32,24,100
36,0,100
36,24,100
39,480,100
39,24,100
34,0,100
34,24,100
36,0,100
36,24,100
29,480,100
29,24,100
32,0,100
32,24,100
36,0,100
36,24,100
39,480,100
39,24,100
34,0,100
34,24,100
36,0,100
36,24,100
44,480,100
44,18,100
43,0,100
43,18,100
41,0,100
41,18,100
39,480,100
39,18,100
38,0,100
38,18,100
36,0,100
36,18,100
44,480,100
44,18,100
43,0,100
43,18,100
41,0,100
41,18,100
39,480,100
39,18,100
38,0,100
38,18,100
36,0,100
36,18,100
67,96,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
67,120,100
79,0,49
60,0,100
79,24,49
60,0,100
67,0,100
67,120,100
60,0,100
79,0,49
67,24,100
60,0,100
79,0,49
67,120,100
60,0,100
79,0,49
67,24,100
60,0,100
79,0,49
65,120,100
77,0,49
60,0,100
65,24,100
77,0,49
60,0,100
65,120,100
60,0,100
77,0,49
65,24,100
60,0,100
77,0,49
65,120,100
77,0,49
60,0,100
60,24,100
77,0,49
65,0,100
75,120,49
60,0,100
63,0,100
63,24,100
75,0,49
60,0,100
67,120,100
60,0,100
79,0,49
67,24,100
79,0,49
60,0,100
67,120,100
79,0,49
60,0,100
60,24,100
79,0,49
67,0,100
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
65,120,100
77,0,49
60,0,100
65,24,100
77,0,49
60,0,100
65,120,100
60,0,100
77,0,49
65,24,100
60,0,100
77,0,49
65,120,100
77,0,49
60,0,100
60,24,100
77,0,49
65,0,100
60,120,100
75,0,49
63,0,100
63,24,100
60,0,100
75,0,49
79,120,49
60,0,100
67,0,100
60,24,100
79,0,49
67,0,100
67,120,100
60,0,100
79,0,49
67,24,100
60,0,100
79,0,49
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
65,120,100
77,0,49
60,0,100
65,24,100
60,0,100
77,0,49
65,120,100
77,0,49
60,0,100
65,24,100
60,0,100
77,0,49
65,120,100
77,0,49
60,0,100
60,24,100
77,0,49
65,0,100
60,120,100
75,0,49
63,0,100
63,24,100
60,0,100
75,0,49
60,120,100
79,0,49
67,0,100
79,24,49
60,0,100
67,0,100
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
67,120,100
60,0,100
79,0,49
67,24,100
79,0,49
60,0,100
67,120,100
79,0,49
60,0,100
67,24,100
60,0,100
79,0,49
65,120,100
60,0,100
77,0,49
65,24,100
77,0,49
60,0,100
65,120,100
60,0,100
77,0,49
65,24,100
60,0,100
77,0,49
65,120,100
77,0,49
60,0,100
60,24,100
77,0,49
65,0,100
63,120,100
60,0,100
60,24,100
63,0,100
72,24,46
60,0,100
60,24,100
72,0,46
60,24,100
65,0,100
77,0,46
60,24,100
65,0,100
77,0,46
60,24,100
68,0,100
80,0,46
60,24,100
68,0,100
80,0,46
77,24,46
65,0,100
60,0,100
77,24,46
65,0,100
60,0,100
77,120,46
65,0,100
60,0,100
60,24,100
65,0,100
77,0,46
77,120,46
65,0,100
60,0,100
60,24,100
77,0,46
65,0,100
79,24,46
67,0,100
58,0,100
58,24,100
67,0,100
79,0,46
53,24,100
62,0,100
74,0,46
53,24,100
62,0,100
74,0,46
55,24,100
63,0,100
75,0,46
55,24,100
63,0,100
75,0,46
55,24,100
60,0,100
72,0,46
60,24,100
72,0,46
55,0,100
55,120,100
72,0,46
60,0,100
60,24,100
72,0,46
55,0,100
