note,length,delay
87,0,23
75,0,40
91,0,44
72,5,54
79,5,54
60,4,50
86,5,22
67,2,60
60,17,24
82,5,40
48,0,27
77,4,21
70,2,45
58,3,46
82,2,30
75,17,44
63,9,44
91,2,32
72,5,53
79,2,25
60,8,50
79,2,43
75,36,60
87,2,41
82,8,21
63,7,53
74,3,61
81,4,21
62,5,53
72,7,42
79,5,17
60,5,43
67,9,16
60,7,34
48,5,35
79,2,35
67,4,35
82,2,51
94,0,31
72,7,55
79,3,22
82,2,51
60,5,50
84,5,24
82,24,61
94,0,36
89,12,17
70,2,66
63,24,47
51,12,35
87,7,37
75,0,53
86,5,52
93,0,15
74,2,67
67,34,39
55,2,42
87,2,25
75,4,41
91,0,45
72,5,54
79,5,55
60,5,50
86,4,24
67,5,62
67,10,18
60,7,25
48,5,27
82,0,38
77,4,22
70,3,48
58,0,47
82,9,31
70,7,43
75,22,44
63,2,44
91,12,32
72,2,54
79,3,32
60,7,51
79,2,42
63,21,18
75,13,58
87,0,39
82,5,23
63,4,52
74,2,60
81,4,21
62,5,52
72,2,41
60,10,42
86,5,52
98,0,26
79,34,30
91,0,16
67,14,35
94,2,27
82,2,47
72,8,54
79,2,20
82,2,47
60,3,51
84,12,40
72,2,53
82,2,57
89,5,15
70,2,66
63,7,48
51,12,36
86,22,42
74,2,56
94,20,43
82,5,65
87,43,28
75,7,41
91,2,44
72,5,55
79,3,56
60,7,49
86,2,17
67,5,60
48,33,26
82,0,39
89,5,17
77,7,22
70,5,48
58,0,47
70,3,46
82,0,30
75,27,42
63,9,43
91,2,33
72,3,52
79,5,42
60,4,50
63,24,19
75,11,58
82,5,24
63,4,53
74,0,60
81,4,21
62,5,53
72,12,40
79,5,18
60,5,42
