note,length,delay
36,264,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,64
36,552,72
48,0,72
47,0,72
46,0,72
45,0,72
33,48,56
45,1464,64
45,24,64
44,24,64
44,24,64
44,24,64
43,48,64
43,24,64
42,24,64
42,24,64
42,24,64
41,48,64
41,24,64
40,24,64
40,24,64
40,24,64
39,48,64
39,24,64
40,24,64
40,24,64
40,24,64
45,48,64
45,24,64
44,24,64
44,24,64
44,24,64
43,48,64
43,24,64
42,24,64
42,24,64
42,24,64
41,48,64
41,24,64
40,24,64
40,24,64
40,24,64
39,48,64
39,24,64
40,24,64
40,24,64
40,24,64
36,1464,64
48,0,64
47,0,64
46,0,64
45,0,64
33,48,64
36,552,64
48,0,64
47,0,64
46,0,64
45,0,64
33,48,64
36,552,64
48,0,64
47,0,64
46,0,64
45,0,64
33,48,64
36,552,64
48,0,64
47,0,64
46,0,64
45,0,64
33,48,64
36,552,64
48,0,64
47,0,64
46,0,64
45,0,64
76,480,32
76,336,32
76,336,32
76,288,32
76,336,32
76,336,32
76,336,32
76,288,32
69,3456,56
72,0,56
64,0,56
64,48,56
69,0,52
72,0,55
64,48,56
69,0,56
71,0,56
64,48,55
69,0,55
71,0,56
64,48,56
69,0,56
64,48,56
69,0,54
64,48,56
68,0,56
71,0,56
64,48,55
68,0,56
71,0,56
69,48,56
72,0,56
64,0,56
64,48,56
69,0,54
72,0,53
64,48,56
69,0,56
71,0,56
64,48,55
69,0,55
71,0,55
64,48,56
69,0,56
64,48,56
69,0,55
64,48,56
68,0,56
71,0,56
64,48,55
68,0,53
71,0,55
69,48,56
