note,length,delay
60,0,66
53,0,66
79,0,72
80,0,76
72,0,61
79,0,87
80,0,85
56,0,72
49,0,72
79,0,57
80,0,63
72,0,48
80,0,74
79,0,64
70,0,47
75,0,65
58,0,78
51,0,78
77,0,65
79,0,65
70,0,45
77,0,70
79,0,66
70,0,48
53,0,72
46,0,72
75,0,68
73,0,60
60,0,93
53,0,93
79,0,71
80,0,65
72,0,52
79,0,71
80,0,65
56,0,74
49,0,74
80,0,66
79,0,56
72,0,53
80,0,74
79,0,59
70,0,50
75,0,67
58,0,75
51,0,75
77,0,67
79,0,63
70,0,50
77,0,69
79,0,61
70,0,53
53,0,73
46,0,73
75,0,68
74,0,56
70,0,56
58,96,55
41,0,63
60,0,61
53,0,61
48,0,82
60,0,68
53,0,79
60,0,61
60,0,61
60,0,60
37,0,66
60,0,63
56,0,63
44,0,83
58,0,62
56,0,56
49,0,83
56,0,62
56,0,57
39,0,72
58,0,66
55,0,66
58,0,57
46,0,85
51,0,78
56,96,52
55,0,56
53,0,59
34,0,67
63,0,76
41,0,84
46,0,82
61,0,54
41,0,75
58,96,69
41,0,75
60,0,56
53,0,56
60,0,62
48,0,85
60,0,60
60,0,58
53,0,81
63,0,63
63,0,61
37,0,66
60,0,54
44,0,84
49,0,82
56,192,52
56,0,60
39,0,67
58,0,64
55,0,64
60,0,67
46,0,79
51,0,81
58,96,59
46,0,73
56,0,60
58,0,64
34,0,61
63,0,70
41,0,84
46,0,85
62,0,57
58,0,57
41,0,70
53,0,85
48,0,85
41,0,85
48,0,72
60,0,52
60,0,61
53,0,78
63,0,69
48,0,76
65,0,66
60,0,66
37,0,67
63,0,53
44,0,81
60,0,56
49,0,83
63,0,64
44,0,69
55,0,59
58,36,59
63,36,59
39,0,70
63,0,57
46,0,84
61,0,56
51,0,81
60,0,55
46,0,75
60,0,65
61,0,65
53,0,65
34,0,62
60,0,63
41,0,79
46,0,78
41,0,71
53,0,86
48,0,86
41,0,86
60,192,50
60,0,63
58,0,60
56,0,55
51,0,72
46,0,72
58,0,64
55,0,64
58,0,61
60,0,65
58,0,60
56,0,60
50,0,67
46,0,67
41,0,67
65,0,72
62,0,72
53,0,68
82,0,81
82,0,64
89,0,74
94,0,72
46,0,71
58,0,65
63,18,65
39,0,69
27,0,69
67,0,65
65,0,65
63,0,65
58,0,65
58,0,57
58,0,59
51,0,88
46,0,88
63,0,68
58,0,68
39,0,69
63,0,61
58,0,61
39,0,77
27,0,77
58,0,58
58,0,58
51,0,88
46,0,88
65,0,70
39,0,67
65,0,63
63,0,63
61,0,63
56,0,63
37,0,71
25,0,71
65,0,69
56,0,69
63,0,59
49,0,89
44,0,89
65,0,62
56,0,62
65,0,62
37,0,68
63,0,54
37,0,73
25,0,73
65,0,68
63,0,68
56,0,68
67,0,63
68,0,61
61,0,61
49,0,84
44,0,84
67,0,62
61,0,62
37,0,69
67,0,60
65,0,60
63,0,60
58,0,60
39,0,76
27,0,76
58,0,55
58,0,66
51,0,84
46,0,84
63,0,68
39,0,66
63,0,61
58,0,61
39,0,77
27,0,77
58,0,59
58,0,59
51,0,86
46,0,86
65,0,72
39,0,70
65,0,65
63,0,65
61,0,65
56,0,65
37,0,79
25,0,79
49,0,85
44,0,85
37,0,85
61,0,68
56,0,68
53,0,67
49,0,74
44,0,74
37,0,74
61,0,87
56,0,87
53,0,73
49,0,76
44,0,76
37,0,76
61,0,90
56,0,90
53,0,72
37,0,64
25,0,64
61,0,57
56,0,57
53,0,49
49,0,90
44,0,90
37,0,90
61,0,69
56,0,69
53,0,57
49,0,82
44,0,82
37,0,82
61,0,73
56,0,73
53,0,62
49,0,75
44,0,75
37,0,75
63,0,75
61,0,75
65,0,67
61,0,67
37,0,69
25,0,69
67,0,64
63,0,64
61,0,64
49,0,86
44,0,86
37,0,86
68,0,62
65,0,62
