note,length,delay
79,0,72
79,239,0
80,1,76
80,239,0
72,1,61
72,239,0
79,1,87
79,479,0
80,1,85
80,719,0
79,1,57
79,239,0
80,1,63
80,239,0
72,1,48
72,239,0
80,1,74
80,479,0
79,1,64
79,479,0
70,1,47
70,179,0
75,1,65
75,59,0
77,1,65
77,239,0
79,1,65
79,239,0
70,1,45
70,239,0
77,1,70
77,479,0
79,1,66
79,479,0
70,1,48
70,239,0
75,1,68
75,959,0
73,1,60
73,959,0
79,1,71
79,239,0
80,1,65
80,239,0
72,1,52
72,239,0
79,1,71
79,479,0
80,1,65
80,719,0
80,1,66
80,239,0
79,1,56
79,239,0
72,1,53
72,239,0
80,1,74
80,479,0
79,1,59
79,479,0
70,1,50
70,179,0
75,1,67
75,59,0
77,1,67
77,239,0
79,1,63
79,239,0
70,1,50
70,239,0
77,1,69
77,479,0
79,1,61
79,479,0
70,1,53
70,239,0
75,1,68
75,959,0
74,1,56
74,479,0
58,241,55
58,239,0
60,1,61
60,479,0
60,1,68
60,479,0
60,1,61
60,479,0
60,1,61
60,239,0
60,1,60
60,239,0
56,1,63
60,0,63
56,479,0
60,0,0
58,1,62
58,239,0
56,1,56
49,240,83
56,479,0
49,480,0
55,1,66
58,0,66
55,239,0
58,0,0
63,1681,76
41,480,84
63,479,0
41,0,0
61,1,54
61,479,0
41,1,75
58,240,69
41,239,0
58,0,0
60,1,56
60,239,0
60,1,62
60,239,0
60,1,60
60,239,0
60,1,58
53,240,81
60,479,0
53,480,0
55,1921,64
58,0,64
55,239,0
58,0,0
56,1201,60
56,239,0
58,1,64
63,240,70
58,959,0
63,0,0
58,1,57
62,0,57
58,959,0
62,0,0
48,1,85
53,0,85
48,479,0
53,0,0
60,1,52
60,239,0
60,1,61
53,240,78
60,239,0
63,1,69
53,239,0
48,1,76
63,119,0
65,121,66
48,239,0
65,240,0
58,1521,59
63,160,59
39,60,70
58,179,0
63,0,0
63,1,57
39,239,0
46,1,84
63,239,0
61,1,56
46,239,0
51,1,81
61,239,0
60,1,55
51,239,0
46,1,75
60,119,0
60,61,65
60,59,0
61,1,65
46,239,0
61,0,0
60,1,63
41,480,79
41,479,0
46,1,78
46,479,0
41,1,71
60,479,0
41,0,0
53,1,86
60,480,50
60,239,0
60,1,63
60,239,0
58,1,60
58,239,0
56,1,55
56,479,0
58,1,64
53,239,0
58,480,0
58,1,61
58,239,0
60,1,65
60,239,0
58,1,60
58,479,0
56,1,60
62,480,72
65,0,72
56,479,0
53,1,68
62,479,0
65,0,0
82,1,81
82,479,0
82,1,64
53,479,0
82,0,0
89,1,74
89,959,0
94,1,72
46,480,71
58,360,65
94,119,0
46,0,0
58,0,0
58,1,65
63,0,65
65,0,65
67,0,65
58,479,0
63,0,0
65,0,0
67,0,0
58,1,57
58,239,0
58,1,59
51,240,88
58,239,0
63,1,68
51,239,0
39,1,69
63,239,0
63,1,61
39,239,0
39,1,77
63,239,0
58,1,58
58,359,0
58,121,58
39,239,0
