note,length,delay
70,0,20
70,8,36
86,28,40
70,0,46
86,3,44
82,12,18
94,38,19
70,2,47
74,0,36
86,5,58
91,7,38
70,0,66
82,55,27
63,10,28
82,17,76
74,0,29
58,12,29
94,3,67
74,14,74
38,5,76
67,2,33
50,5,28
48,0,31
35,2,61
98,2,67
39,4,60
29,3,55
84,11,117
72,3,73
100,7,55
62,22,31
70,4,78
74,2,41
82,3,115
67,5,34
74,7,62
70,2,54
94,3,77
89,0,38
29,2,36
70,10,42
78,2,100
86,3,38
58,2,16
63,10,34
28,2,50
86,0,62
67,3,51
82,2,45
105,2,48
27,7,16
82,2,111
67,3,40
82,7,107
62,7,25
70,0,92
94,3,72
89,2,54
58,3,23
78,0,105
86,4,55
82,5,104
101,8,77
89,0,75
70,2,87
28,5,30
65,2,49
70,5,55
27,7,16
73,3,126
97,2,56
28,5,23
92,10,61
73,2,124
65,7,34
73,7,119
92,0,57
73,10,65
98,5,63
101,0,66
89,0,89
82,0,115
84,9,110
72,3,79
82,9,98
82,14,109
70,0,27
78,0,116
70,5,22
74,9,42
82,14,104
70,12,31
94,3,69
82,12,108
89,12,41
70,3,49
78,10,116
58,48,25
69,10,19
89,5,92
98,2,60
82,0,116
101,3,63
70,2,87
84,10,111
72,2,81
58,10,24
94,0,56
70,10,90
84,2,25
74,2,27
98,12,65
89,3,85
82,0,116
70,2,85
84,10,109
72,2,75
72,9,77
82,7,100
94,15,66
82,12,112
70,15,47
58,4,17
65,2,23
65,33,20
82,5,103
94,12,67
82,2,108
70,12,45
78,17,114
89,22,72
82,2,76
74,21,54
65,0,48
70,0,64
86,3,29
96,5,62
72,3,122
73,7,123
97,0,52
