note,length,delay
83,0,39
80,2,37
68,0,61
76,3,17
52,5,64
59,2,31
41,7,28
68,3,37
68,2,66
83,4,38
80,3,37
76,2,20
59,2,38
52,3,69
44,24,17
41,14,25
83,34,34
80,7,37
76,0,22
68,0,54
52,10,64
59,0,29
44,22,15
41,17,25
68,2,62
83,0,38
80,4,36
76,3,18
52,2,65
59,10,25
41,8,21
76,5,45
69,4,31
61,8,42
54,2,66
42,5,63
73,2,27
54,12,28
76,19,49
95,7,21
69,5,33
54,3,70
61,2,47
73,7,31
42,3,63
54,10,31
76,21,49
69,12,32
66,0,19
54,2,71
61,2,46
42,10,63
38,9,34
54,9,30
76,19,42
83,2,24
69,10,32
54,4,65
61,3,42
42,9,60
38,9,36
54,10,18
92,9,52
80,2,42
85,5,39
56,2,48
49,10,50
44,5,31
38,2,41
92,10,49
76,2,29
80,0,46
85,7,42
56,3,53
49,9,52
92,3,57
80,9,46
56,5,46
76,0,30
85,2,42
49,13,51
38,2,41
92,7,43
80,3,41
73,5,27
85,2,40
56,5,46
49,7,48
38,2,40
92,10,47
80,2,46
76,2,28
56,3,48
85,2,43
49,12,52
38,8,43
92,9,50
80,3,45
56,4,52
85,3,46
61,0,19
49,12,51
38,7,41
92,2,53
80,10,45
76,5,30
56,2,53
85,0,45
49,12,52
38,3,41
92,7,56
80,2,43
85,5,43
56,5,43
49,7,49
38,10,42
80,2,39
83,4,32
76,5,19
68,0,60
59,5,33
52,3,63
38,15,30
44,7,27
68,7,36
80,2,38
68,3,65
83,5,36
76,4,20
59,0,39
52,8,67
44,21,20
41,7,26
83,3,39
80,0,37
76,10,18
