note,length,delay
50,8,106
71,0,111
50,80,103
70,0,108
50,100,109
69,0,110
48,80,103
68,0,107
47,80,107
67,0,106
45,4,111
66,0,108
45,80,110
65,0,110
43,4,111
64,0,106
41,80,101
63,0,108
42,80,82
36,0,105
27,0,106
61,0,87
58,0,92
65,0,92
73,0,96
46,104,90
27,0,106
27,8,107
42,8,81
38,0,101
39,0,86
36,0,106
42,8,85
34,0,109
56,0,91
63,0,93
60,0,87
75,0,98
42,8,83
42,92,84
36,0,104
32,0,109
46,104,91
32,0,110
42,48,80
38,0,108
39,0,82
68,0,99
46,188,92
29,0,110
32,0,106
42,8,82
36,0,102
29,0,106
60,0,88
56,0,93
63,0,88
75,0,94
46,104,87
29,0,108
29,8,110
42,8,85
38,0,101
39,0,87
36,0,106
46,8,90
34,0,110
61,0,92
65,0,90
58,0,88
77,0,99
42,104,81
36,0,103
46,188,92
34,0,107
34,8,107
42,8,81
38,0,105
39,0,85
34,0,106
80,0,98
36,8,111
78,0,97
46,8,87
77,0,97
34,0,108
73,0,98
42,8,81
36,0,101
27,0,107
61,0,91
58,0,92
65,0,91
46,104,87
27,0,111
27,8,110
42,8,82
38,0,107
39,0,81
36,0,110
42,8,82
34,0,110
56,0,89
63,0,93
60,0,86
75,0,96
42,8,81
42,92,82
36,0,109
32,0,108
46,104,87
32,0,110
42,48,85
38,0,107
39,0,85
68,0,96
46,188,89
32,0,110
32,0,111
42,8,82
36,0,105
29,0,109
56,0,91
60,0,90
63,0,89
46,104,88
29,0,108
29,8,110
42,8,80
38,0,104
39,0,86
36,0,111
46,8,90
34,0,111
58,0,87
61,0,86
65,0,88
42,104,82
36,0,107
46,48,89
32,0,111
42,104,82
38,0,103
39,0,85
32,0,107
58,0,95
70,0,113
80,0,94
32,8,106
61,0,89
73,0,113
78,0,97
46,8,91
58,0,89
70,0,117
77,0,95
37,0,111
61,0,91
73,0,118
73,0,98
42,8,84
36,0,101
27,0,107
61,0,89
58,0,93
65,0,90
68,0,81
46,104,87
27,0,107
27,8,110
42,0,84
38,0,104
39,0,83
36,92,110
42,8,85
34,0,111
56,0,93
63,0,87
60,0,93
75,0,94
42,8,82
42,92,82
36,0,104
32,0,107
46,104,89
32,0,106
42,48,85
38,0,103
39,0,86
68,0,98
66,16,79
46,8,92
29,0,109
65,0,76
32,0,111
63,0,80
42,8,82
36,0,108
29,0,111
56,0,88
60,0,87
63,0,93
75,0,96
65,0,82
46,104,91
29,0,109
29,8,110
42,0,85
38,0,105
39,0,85
36,92,107
46,8,90
34,0,111
61,0,91
58,0,89
65,0,90
77,0,95
42,104,82
36,0,102
46,188,88
34,0,108
34,8,107
42,8,82
38,0,105
39,0,82
34,0,108
80,0,98
36,8,107
78,0,95
46,8,90
77,0,97
34,0,110
73,0,94
42,8,81
36,0,103
27,0,109
61,0,89
58,0,87
65,0,87
46,104,91
27,0,109
27,8,111
42,0,82
38,0,106
39,0,81
36,92,106
42,8,82
34,0,108
56,0,90
60,0,91
63,0,91
75,0,95
42,8,84
42,92,84
36,0,105
32,0,107
46,104,92
32,0,109
42,48,83
38,0,109
39,0,86
68,0,98
46,188,90
32,0,107
32,0,111
42,8,85
36,0,106
29,0,110
46,104,92
29,0,108
58,0,89
61,0,90
65,0,91
29,0,109
42,8,85
38,0,106
39,0,82
58,0,93
61,0,89
65,0,86
36,92,106
46,8,87
34,0,107
42,104,83
36,0,101
45,0,80
39,0,82
45,92,82
39,0,85
46,92,90
43,0,81
32,0,107
73,0,85
85,0,105
43,8,86
73,0,87
85,0,103
42,32,85
38,0,104
45,0,83
39,0,81
32,0,110
73,0,87
85,0,102
45,8,80
39,0,81
32,0,107
73,0,85
85,0,104
46,8,90
43,0,85
43,0,82
