note,length,delay
79,0,99
98,0,85
86,0,99
95,0,52
67,5,39
65,5,30
41,4,58
104,0,67
68,0,100
79,12,33
53,2,48
77,8,36
39,4,29
47,3,26
68,9,92
53,17,38
41,7,61
95,22,75
67,5,102
86,0,85
79,0,76
99,2,45
80,3,116
95,0,93
86,3,55
98,2,48
79,0,85
67,3,118
51,4,54
68,5,99
106,2,66
104,3,60
39,2,57
80,0,48
99,10,68
103,39,58
67,2,71
79,5,88
51,3,56
39,3,59
87,2,84
82,0,90
63,2,57
91,8,94
67,12,20
61,31,29
67,5,106
105,2,26
79,0,56
49,2,67
95,10,53
86,2,102
79,3,79
73,0,36
104,4,42
68,3,79
80,2,37
61,5,20
86,10,30
68,0,110
61,2,20
68,3,53
49,7,77
68,0,42
101,5,31
67,0,98
86,7,94
95,2,89
79,3,82
70,10,30
86,14,76
95,0,72
67,3,125
79,2,68
91,0,36
51,5,52
75,0,38
80,3,40
104,0,48
68,2,101
106,0,52
39,5,51
80,8,63
87,2,25
96,5,35
103,2,46
79,0,44
67,3,91
105,4,52
39,12,55
82,3,95
75,0,82
87,0,62
63,5,56
91,2,68
67,3,40
79,9,70
67,5,112
91,0,22
82,5,19
77,2,34
46,3,62
53,7,74
67,4,47
86,0,98
79,3,63
95,2,60
46,19,65
41,8,74
80,2,42
104,5,54
68,3,97
77,7,56
86,12,24
80,2,38
68,2,99
46,5,67
41,0,49
65,20,36
77,0,34
68,0,40
77,15,20
46,14,66
41,7,73
67,5,98
95,2,94
79,3,94
86,0,58
103,31,29
75,7,29
79,2,54
46,10,66
86,12,65
95,0,78
79,2,85
67,3,99
75,12,35
79,17,46
46,17,65
51,2,97
102,3,52
80,2,56
104,0,47
68,2,92
39,5,54
80,7,66
87,9,17
46,10,63
67,3,86
51,0,42
98,2,26
63,5,18
103,0,49
82,14,90
87,0,55
63,7,73
94,0,68
51,5,62
46,12,60
39,12,72
61,21,38
46,3,63
103,2,22
79,0,59
67,2,104
105,5,28
49,3,63
77,2,33
80,2,82
86,3,92
95,2,59
79,0,90
67,5,47
46,10,64
61,0,81
49,3,45
104,7,47
68,2,94
106,10,37
46,14,67
49,7,73
77,8,33
73,2,37
73,24,27
61,5,75
46,2,65
79,17,82
86,2,72
95,5,85
67,12,103
46,2,59
98,10,59
79,7,79
86,2,69
95,3,83
67,12,95
