note,length,delay
80,0,16
70,7,33
86,0,21
78,19,18
73,3,42
66,2,27
85,10,20
90,2,15
80,5,19
76,3,54
95,0,25
88,0,22
50,15,18
75,0,43
52,2,54
66,5,19
73,0,21
90,9,33
83,2,19
85,5,29
92,0,42
78,0,20
73,2,45
66,0,45
73,9,53
78,0,22
66,3,30
85,9,26
90,5,22
82,0,24
80,12,24
76,2,55
88,0,26
75,16,43
50,0,20
52,3,55
66,7,17
73,0,22
83,2,24
90,3,34
85,3,27
92,2,45
73,3,46
66,0,48
82,0,20
64,17,16
73,7,53
85,5,34
78,0,24
90,2,21
92,0,17
82,3,28
83,2,35
81,3,26
76,0,57
73,2,29
69,0,17
64,2,47
95,5,31
88,0,24
50,14,16
75,0,43
52,2,53
54,3,16
81,0,24
83,2,25
64,4,39
73,3,27
90,2,33
92,2,44
78,3,23
85,0,29
73,2,52
66,3,45
73,15,54
85,5,28
90,2,26
78,0,21
92,0,19
82,2,28
83,3,32
81,0,29
76,2,56
69,2,22
64,3,46
73,0,15
88,3,27
95,0,28
50,15,19
75,0,44
52,2,53
54,2,18
81,2,23
83,3,25
64,2,39
73,2,24
90,3,34
92,5,44
85,0,29
78,2,23
73,3,48
66,2,46
78,12,36
85,0,30
66,7,20
90,12,27
73,2,55
82,0,28
83,0,32
66,2,51
76,4,60
95,3,28
88,0,26
75,15,51
52,2,55
83,17,21
78,2,33
85,3,22
66,0,44
90,2,38
71,5,17
66,19,49
92,2,46
85,0,24
82,2,25
73,0,45
78,15,39
85,0,30
66,7,22
90,12,27
73,2,53
82,0,29
83,3,29
66,2,52
76,2,60
95,2,28
88,0,27
75,14,51
52,3,53
54,2,17
83,14,21
78,3,33
85,2,24
66,0,45
90,5,33
71,3,17
66,19,50
92,3,46
78,2,26
85,0,24
73,3,44
90,16,25
92,15,17
78,2,15
73,0,51
85,0,25
82,3,28
86,2,26
74,2,37
69,0,38
88,5,26
95,0,27
76,0,59
50,14,15
75,0,47
52,2,54
54,3,18
90,14,34
69,3,29
74,0,33
88,7,17
85,4,26
78,3,23
92,0,47
73,2,43
66,0,44
75,36,76
80,2,18
83,2,23
71,3,24
64,14,65
104,5,23
75,2,18
76,12,37
50,2,29
52,5,52
79,5,21
77,3,26
75,2,75
87,0,42
68,3,47
80,0,20
84,2,21
88,4,25
76,0,60
85,3,21
73,19,44
90,2,17
85,12,21
78,3,20
66,2,30
82,0,20
80,7,24
88,5,26
85,2,27
95,0,26
76,0,60
50,12,27
75,2,45
52,3,53
73,5,22
66,2,18
90,5,33
83,2,20
71,3,15
92,2,47
85,0,26
78,3,22
73,0,46
66,2,49
73,10,54
90,0,20
78,0,19
85,14,28
82,3,23
66,2,30
80,12,23
88,0,26
76,2,57
85,0,21
95,0,23
50,12,26
75,2,46
52,3,51
73,5,21
66,2,15
80,0,15
90,5,32
83,2,23
92,3,47
78,0,24
85,0,24
73,2,47
66,2,47
