note,length,delay
86,0,85
70,0,57
82,10,56
62,0,56
77,5,56
89,4,73
98,7,36
70,3,45
74,10,73
86,2,62
82,0,38
93,7,57
89,3,46
77,2,47
86,2,65
70,5,57
89,0,82
77,9,57
70,0,59
86,5,84
77,2,73
74,7,54
62,3,43
89,7,79
82,31,29
77,3,58
74,2,63
89,2,85
86,0,72
93,8,67
98,7,54
46,7,31
86,21,43
77,7,56
89,3,84
81,2,65
84,2,69
69,8,57
65,9,58
91,5,52
84,15,28
91,4,31
89,5,71
84,7,60
72,2,58
93,10,27
84,0,60
53,19,15
60,5,22
89,0,86
65,4,47
72,3,63
103,0,54
81,2,55
84,2,64
65,3,58
84,7,81
77,5,59
96,0,62
91,5,63
89,14,77
81,19,68
100,7,46
74,0,68
86,5,70
57,5,30
69,5,40
88,7,56
72,5,39
88,0,18
93,2,48
81,7,76
88,0,55
74,0,38
57,3,20
66,5,19
81,7,91
93,2,60
65,12,30
69,0,68
84,4,25
86,5,30
62,4,65
69,0,61
86,3,71
57,2,26
81,0,70
74,15,54
93,3,37
88,3,21
78,10,23
81,3,68
74,2,66
93,4,52
88,5,60
78,12,23
72,3,18
69,2,49
88,0,28
86,5,78
72,0,71
55,0,53
76,0,75
79,4,75
91,7,54
64,2,17
88,0,30
76,8,64
67,2,47
79,2,73
72,2,49
36,7,62
72,3,59
79,9,88
60,2,44
95,3,51
67,4,30
86,7,64
88,5,69
67,2,60
48,0,64
64,8,34
79,7,67
79,5,84
72,8,70
76,2,66
70,7,25
74,2,56
86,0,77
89,7,65
62,0,56
77,10,56
84,5,38
74,5,34
82,2,29
89,0,23
86,3,26
77,0,33
93,10,56
86,0,77
105,2,42
77,2,62
89,3,76
62,2,39
70,5,25
65,0,34
86,0,68
98,2,51
74,7,52
77,3,62
62,4,41
89,0,38
98,7,64
102,2,51
74,0,63
89,5,80
86,0,76
77,5,50
84,9,60
89,0,84
77,10,63
98,2,65
86,17,76
70,2,60
93,0,67
93,3,60
84,2,77
91,3,73
77,5,74
72,0,53
96,0,51
81,2,61
91,3,25
89,0,22
84,4,59
77,3,58
65,10,31
81,2,63
69,2,21
96,7,60
89,4,57
65,5,60
93,9,37
96,2,66
65,3,50
89,0,78
77,5,69
81,2,52
84,10,45
91,2,59
89,15,19
96,16,51
77,9,59
84,7,57
91,0,70
69,0,47
81,5,23
84,10,23
81,5,91
93,0,47
79,10,70
74,2,82
97,0,49
69,0,75
66,3,47
76,4,83
95,10,46
57,9,20
69,3,59
88,3,74
62,10,30
69,0,60
93,7,50
81,5,55
95,3,48
88,29,53
