note,length,delay
57,0,126
56,0,126
57,0,126
52,0,126
51,0,126
52,0,126
53,0,126
55,0,126
53,0,126
52,0,126
50,0,126
48,0,126
47,0,126
46,0,126
47,0,126
52,0,126
50,0,126
49,0,126
47,0,126
49,0,126
50,0,126
49,0,126
47,0,126
49,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
45,0,126
40,0,126
76,0,126
40,0,126
81,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
81,0,126
45,0,126
80,0,126
40,0,126
80,0,126
40,0,126
76,0,126
45,0,126
76,0,126
45,0,126
78,0,126
40,0,126
78,0,126
40,0,126
73,0,126
45,0,126
45,0,126
73,0,126
40,0,126
40,0,126
45,0,126
73,0,126
45,0,126
71,0,126
40,0,126
69,0,126
40,0,126
69,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
73,0,126
45,0,126
71,0,126
40,0,126
69,0,126
40,0,126
69,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
45,0,126
40,0,126
42,0,126
76,0,126
44,0,126
81,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
81,0,126
45,0,126
80,0,126
40,0,126
80,0,126
40,0,126
76,0,126
45,0,126
76,0,126
45,0,126
78,0,126
40,0,126
78,0,126
40,0,126
73,0,126
45,0,126
45,0,126
73,0,126
40,0,126
40,0,126
45,0,126
73,0,126
45,0,126
71,0,126
40,0,126
69,0,126
40,0,126
69,0,126
45,0,126
45,0,126
40,0,126
40,0,126
45,0,126
73,0,126
45,0,126
71,0,126
40,0,126
69,0,126
40,0,126
69,0,126
45,0,126
45,0,126
40,0,126
42,0,126
44,0,126
45,0,126
45,0,126
40,0,126
73,0,126
40,0,126
73,0,126
49,0,126
49,0,126
44,0,126
44,0,126
49,0,126
73,0,126
49,0,126
75,0,126
44,0,126
75,0,126
44,0,126
73,0,126
49,0,126
49,0,126
68,0,126
44,0,126
44,0,126
49,0,126
68,0,126
49,0,126
68,0,126
44,0,126
68,0,126
44,0,126
68,0,126
49,0,126
49,0,126
44,0,126
44,0,126
49,0,126
49,0,126
44,0,126
76,0,126
44,0,126
76,0,126
40,0,126
40,0,126
47,0,126
47,0,126
40,0,126
76,0,126
40,0,126
78,0,126
47,0,126
80,0,126
78,0,126
47,0,126
76,0,126
40,0,126
76,0,126
40,0,126
78,0,126
47,0,126
80,0,126
78,0,126
47,0,126
76,0,126
40,0,126
40,0,126
71,0,126
47,0,126
47,0,126
40,0,126
71,0,126
40,0,126
71,0,126
47,0,126
71,0,126
47,0,126
71,0,126
40,0,126
40,0,126
47,0,126
47,0,126
40,0,126
40,0,126
47,0,126
47,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
80,480,126
40,0,126
78,0,126
47,0,126
35,0,126
81,480,126
40,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
81,0,126
47,0,126
35,0,126
80,0,126
40,0,126
40,0,126
47,0,126
49,0,126
47,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
80,480,126
40,0,126
78,0,126
47,0,126
35,0,126
81,480,126
40,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
81,0,126
35,0,126
47,0,126
76,0,126
45,0,126
73,0,126
57,0,126
73,0,126
57,0,126
73,0,126
57,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
53,0,126
73,0,126
53,0,126
73,0,126
49,0,126
73,0,126
49,0,126
81,0,126
42,0,126
83,0,126
38,0,126
81,0,126
38,0,126
78,0,126
39,0,126
81,0,126
39,0,126
76,0,126
40,0,126
73,0,126
40,0,126
73,0,126
42,0,126
74,0,126
42,0,126
76,0,126
40,0,126
74,0,126
40,0,126
73,0,126
42,0,126
71,0,126
44,0,126
69,0,126
45,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
80,480,126
40,0,126
78,0,126
47,0,126
35,0,126
81,480,126
40,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
81,0,126
47,0,126
35,0,126
80,0,126
40,0,126
40,0,126
47,0,126
49,0,126
47,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
80,480,126
40,0,126
78,0,126
47,0,126
35,0,126
81,480,126
40,0,126
80,0,126
40,0,126
78,0,126
47,0,126
35,0,126
81,0,126
47,0,126
35,0,126
76,0,126
45,0,126
73,0,126
57,0,126
73,0,126
57,0,126
73,0,126
57,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
56,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
54,0,126
73,0,126
53,0,126
73,0,126
53,0,126
73,0,126
49,0,126
73,0,126
49,0,126
81,0,126
42,0,126
83,0,126
38,0,126
81,0,126
38,0,126
78,0,126
39,0,126
81,0,126
39,0,126
76,0,126
40,0,126
73,0,126
40,0,126
73,0,126
42,0,126
74,0,126
42,0,126
76,0,126
40,0,126
74,0,126
40,0,126
73,0,126
42,0,126
71,0,126
44,0,126
69,0,126
81,0,126
45,0,126
57,0,126
45,0,126
49,0,126
52,0,126
57,0,126
52,0,126
57,0,126
61,0,126
57,0,126
61,0,126
64,0,126
61,0,126
64,0,126
69,0,126
73,0,126
76,0,126
73,0,126
76,0,126
81,0,126
69,0,126
57,0,126
45,0,126
33,0,126
