note,length,delay
55,0,31
70,60,69
67,10,29
55,5,39
82,19,23
70,7,72
67,67,66
62,19,32
50,5,18
62,10,28
69,16,31
65,5,67
69,19,22
50,19,51
65,29,39
82,27,43
70,9,79
67,65,72
82,15,17
82,4,61
67,12,24
70,0,65
82,12,24
65,15,46
60,4,26
50,2,58
65,9,21
77,31,21
62,7,27
50,15,64
62,17,30
69,60,32
83,7,50
71,0,89
78,2,37
59,0,107
65,5,68
77,7,42
98,2,19
67,2,55
71,9,92
59,3,86
55,9,28
93,5,32
71,5,89
67,21,25
59,2,55
82,12,59
70,0,95
87,2,48
59,5,45
67,27,37
74,21,56
62,3,82
67,12,28
55,0,23
62,0,71
82,10,54
71,7,85
59,3,88
70,7,68
69,5,97
57,4,73
69,10,81
57,10,57
65,2,30
55,5,52
68,4,88
75,5,32
56,0,71
65,41,21
69,2,77
57,3,76
68,5,63
56,5,60
69,5,59
57,5,60
