note,length,delay
74,0,39
62,5,52
81,44,29
74,2,46
62,2,66
63,4,56
75,5,33
87,27,31
74,2,19
62,2,62
75,58,61
63,2,47
76,5,32
83,0,27
64,4,43
65,146,23
58,7,48
67,151,60
63,36,53
87,52,78
94,0,58
75,5,75
60,5,36
67,29,26
87,3,83
60,3,44
67,28,47
87,70,60
87,14,90
79,10,33
94,24,55
72,12,18
79,2,30
87,4,71
67,7,46
79,33,20
72,15,15
82,12,82
94,0,81
101,3,40
79,19,69
79,4,76
91,3,83
98,2,43
94,5,81
82,5,74
101,5,41
98,10,56
82,2,38
94,5,46
96,0,44
77,2,64
89,0,74
91,10,52
87,12,82
94,7,69
87,9,84
87,3,97
72,17,33
79,5,23
79,43,32
