note,length,delay
24,12672,50
24,60,50
24,192,50
24,96,50
24,228,50
24,60,50
24,192,50
24,96,50
24,193,50
24,35,50
24,228,50
24,61,50
24,193,50
24,95,50
24,228,50
24,61,50
24,192,50
24,96,50
24,191,50
24,97,50
24,228,50
24,60,50
24,191,50
24,96,50
24,228,50
24,60,50
24,227,50
24,60,50
24,192,50
24,96,50
24,228,50
24,60,50
24,192,50
24,96,50
24,193,50
24,35,50
24,228,50
24,61,50
24,193,50
24,95,50
24,228,50
24,61,50
24,228,50
24,60,50
24,191,50
24,97,50
24,228,50
24,60,50
24,191,50
24,96,50
24,192,50
24,36,50
24,227,50
24,60,50
24,192,50
24,96,50
24,228,50
24,60,50
24,228,50
24,60,50
24,193,50
24,95,50
24,228,50
24,61,50
24,193,50
36,0,50
36,35,50
24,0,50
24,192,50
36,0,50
24,91,50
36,0,50
36,191,50
24,0,50
36,92,50
24,0,50
24,192,50
36,0,50
36,91,50
24,0,50
24,192,50
36,0,50
36,96,50
24,0,50
24,192,50
36,0,50
36,91,50
24,0,50
36,192,50
24,0,50
36,91,50
24,0,50
36,193,50
24,0,50
36,91,50
24,0,50
36,247,50
24,0,50
36,36,50
24,0,50
24,193,50
36,0,50
24,91,50
36,0,50
24,192,50
36,0,50
36,91,50
24,0,50
24,192,50
36,0,50
36,91,50
24,0,50
36,192,50
24,0,50
36,91,50
24,0,50
24,191,50
36,0,50
36,92,50
24,0,50
24,192,50
36,0,50
24,91,50
36,0,50
24,191,50
36,0,50
36,92,50
24,0,50
24,247,50
36,0,50
36,36,50
24,0,50
36,192,50
24,0,50
36,91,50
24,0,50
24,192,50
36,0,50
24,91,50
36,0,50
24,192,50
36,0,50
36,91,50
24,0,50
36,193,50
24,0,50
36,91,50
24,0,50
36,247,50
24,0,50
24,36,50
36,0,50
24,193,50
36,0,50
24,91,50
36,0,50
36,192,50
24,0,50
36,91,50
24,0,50
36,248,50
24,0,50
24,35,50
36,0,50
24,192,50
36,0,50
24,96,50
36,0,50
24,191,50
36,0,50
36,92,50
24,0,50
24,192,50
36,0,50
24,91,50
36,0,50
24,191,50
36,0,50
24,92,50
36,0,50
36,247,50
24,0,50
24,36,50
36,0,50
36,192,50
24,0,50
24,91,50
36,0,50
36,192,50
24,0,50
36,91,50
24,0,50
36,12753,50
24,0,50
24,95,50
36,0,50
36,181,50
24,0,50
24,97,50
36,0,50
36,182,50
24,0,50
36,95,50
24,0,50
36,218,50
24,0,50
36,96,50
24,0,50
24,182,50
36,0,50
36,95,50
24,0,50
36,182,50
24,0,50
36,96,50
24,0,50
24,182,50
36,0,50
24,96,50
36,0,50
36,182,50
24,0,50
36,96,50
24,0,50
36,182,50
24,0,50
24,96,50
36,0,50
36,182,50
24,0,50
36,96,50
24,0,50
24,181,50
36,0,50
36,97,50
24,0,50
24,218,50
36,0,50
36,96,50
24,0,50
24,181,50
36,0,50
36,97,50
24,0,50
24,182,50
36,0,50
36,95,50
24,0,50
24,181,50
36,0,50
36,97,50
24,0,50
24,182,50
36,0,50
24,95,50
36,0,50
36,182,50
24,0,50
24,96,50
36,0,50
36,182,50
24,0,50
36,95,50
24,0,50
24,182,50
36,0,50
36,96,50
24,0,50
36,218,50
24,0,50
36,96,50
24,0,50
24,182,50
36,0,50
36,96,50
24,0,50
24,182,50
36,0,50
24,96,50
36,0,50
36,182,50
24,0,50
36,96,50
24,0,50
36,181,50
24,0,50
24,97,50
36,0,50
24,182,50
36,0,50
24,96,50
36,0,50
36,181,50
24,0,50
36,97,50
24,0,50
36,182,50
24,0,50
36,95,50
24,0,50
24,216,50
36,0,50
24,97,50
36,0,50
36,182,50
24,0,50
24,95,50
36,0,50
24,182,50
36,0,50
24,96,50
36,0,50
36,182,50
24,0,50
24,95,50
36,0,50
36,182,50
24,0,50
24,96,50
36,0,50
48,12445,50
72,95,50
60,132,50
63,60,50
70,96,50
60,95,50
63,96,50
67,132,50
67,0,50
63,60,50
65,96,50
67,97,50
63,95,50
55,96,50
48,96,50
72,96,50
60,97,50
62,35,50
63,156,50
70,96,50
58,132,50
62,61,50
63,95,50
63,193,50
65,95,50
67,96,50
48,156,50
72,96,50
60,96,50
63,96,50
70,97,50
60,96,50
63,95,50
67,132,50
67,0,50
63,60,50
65,97,50
67,95,50
63,96,50
55,96,50
48,96,50
