note,length,delay
44,0,66
37,12,46
50,14,30
40,2,44
33,7,41
31,0,52
43,3,52
49,9,30
37,57,44
34,3,57
31,17,67
34,20,75
40,22,60
38,35,52
34,17,37
43,0,28
45,3,15
31,2,41
53,4,44
40,4,50
47,3,39
35,4,78
38,5,46
57,0,22
38,10,43
31,5,42
47,2,39
45,5,34
36,2,72
50,7,42
40,5,40
38,2,41
31,53,33
54,24,23
40,3,43
52,0,30
59,0,62
38,4,44
50,2,26
31,5,34
59,2,46
66,22,52
40,5,37
54,0,21
38,2,16
59,2,25
31,3,15
59,31,33
40,5,38
38,5,38
32,7,64
31,4,31
57,20,58
50,9,59
40,10,71
44,2,57
32,5,78
57,3,44
65,7,20
40,2,39
43,2,70
32,5,72
42,24,52
40,2,41
32,10,81
35,2,74
37,0,76
42,15,71
40,9,66
38,5,65
43,2,65
46,4,59
49,0,59
51,3,44
32,5,81
40,3,67
50,7,40
32,2,82
46,3,41
39,0,52
37,5,69
32,10,83
46,4,39
42,3,50
65,0,30
38,12,49
35,3,69
32,12,80
45,0,41
38,2,45
51,7,53
41,14,90
32,0,63
52,15,48
33,17,91
54,57,28
27,8,18
41,2,83
57,12,58
54,5,22
35,0,99
27,7,16
41,3,82
27,10,19
41,0,82
30,4,43
27,8,22
30,5,50
27,7,23
37,2,69
37,26,82
27,14,26
63,12,24
39,2,45
68,5,32
80,7,31
68,10,26
56,4,68
44,12,31
39,14,49
31,5,78
63,19,62
103,3,25
44,4,54
56,15,62
32,2,93
27,12,44
31,10,55
64,0,17
40,5,48
33,7,88
35,5,68
69,7,59
57,9,70
45,2,60
95,16,61
83,0,37
102,10,45
83,2,63
38,14,57
40,0,43
35,8,72
44,10,32
33,9,65
43,3,16
81,2,28
69,2,60
105,0,23
100,5,36
69,12,41
74,17,28
62,7,50
40,0,42
