note,length,delay
56,0,15
63,120,16
53,5,18
46,7,38
53,12,25
61,10,34
46,14,22
61,7,24
63,0,34
58,3,24
46,9,20
63,12,22
63,60,19
60,2,17
56,2,29
60,9,30
63,0,37
56,2,34
41,20,28
56,12,16
60,9,48
67,0,16
63,16,15
60,3,34
56,2,26
41,17,29
60,10,32
63,0,29
65,2,17
67,0,28
56,2,35
41,15,39
60,12,58
63,0,17
60,12,37
56,0,51
63,7,42
60,2,41
56,0,49
53,9,19
41,7,26
60,10,35
63,0,22
67,0,39
65,0,23
60,10,43
63,0,33
56,2,24
67,7,41
63,5,17
56,0,40
58,0,27
39,21,18
67,9,35
58,3,50
63,0,15
56,7,37
39,14,27
56,8,38
68,2,49
67,15,35
58,4,57
51,2,23
56,2,43
58,12,47
56,7,16
39,12,17
65,12,21
61,0,38
63,0,43
49,7,19
63,9,32
60,0,54
56,3,29
53,0,26
49,2,15
63,7,35
63,12,37
56,2,32
61,0,16
63,12,61
56,0,33
60,0,56
53,4,39
63,11,38
53,5,39
63,12,49
53,5,31
60,0,32
49,7,16
63,10,20
56,2,68
49,5,28
53,0,22
63,5,59
61,2,32
58,3,35
65,0,33
53,2,38
46,7,37
65,2,35
61,2,50
70,0,19
58,3,18
