note,length,delay
72,0,44
65,0,52
53,5,59
63,2,39
56,3,41
68,2,35
72,34,22
72,14,16
72,36,25
60,55,24
68,14,16
68,5,29
84,17,15
84,0,15
60,22,24
72,62,19
80,46,19
65,7,48
53,5,56
46,5,32
49,10,22
56,3,25
77,26,32
60,79,25
84,7,20
70,36,25
53,5,35
53,7,40
84,14,21
63,10,59
51,7,36
60,0,39
72,2,48
65,19,37
84,36,33
79,12,27
75,7,23
84,9,40
71,2,44
72,3,51
79,0,40
65,5,37
84,7,40
77,4,29
70,7,56
77,7,51
84,7,20
72,5,56
75,5,36
79,2,28
75,12,32
77,12,37
84,2,43
75,7,35
77,15,43
72,0,41
75,12,42
70,17,23
72,31,41
88,5,22
75,19,27
72,14,34
79,2,15
84,2,15
84,3,30
60,29,26
72,7,34
84,2,42
79,17,24
72,2,45
77,5,36
63,5,61
70,0,71
56,2,37
84,5,39
68,4,35
58,7,20
56,12,34
56,17,34
67,15,32
72,17,25
70,5,23
79,3,34
84,0,47
70,7,18
72,2,20
70,29,15
