note,length,delay
60,0,42
74,87,24
55,7,42
86,33,19
67,0,41
60,24,45
60,48,54
48,12,24
74,19,28
62,10,20
74,5,40
72,2,39
60,7,25
74,84,15
67,3,28
55,7,43
86,7,15
60,5,55
48,7,25
67,53,22
60,5,38
48,9,26
67,10,23
60,7,29
72,9,37
60,15,18
53,7,17
72,3,15
57,2,40
79,38,24
86,7,15
53,8,33
74,146,21
74,9,40
53,17,25
72,17,16
53,12,17
72,2,23
60,17,17
72,3,25
57,16,25
65,5,40
79,26,15
67,15,29
50,15,48
60,14,20
45,5,65
60,12,54
64,0,22
48,3,87
55,4,61
37,10,25
72,8,39
36,9,39
72,5,58
45,2,81
52,10,55
64,2,19
47,2,47
