note,length,delay
81,0,21
74,2,16
79,4,22
67,3,18
86,12,22
74,19,19
86,24,22
79,2,22
67,5,16
86,2,25
81,31,22
79,7,24
67,2,23
86,10,20
81,29,19
86,14,18
79,5,28
67,2,29
86,5,19
81,31,28
79,8,23
74,12,34
86,0,18
81,29,24
86,14,22
79,5,31
67,3,19
86,2,22
74,32,16
86,12,19
79,5,32
67,4,17
86,5,23
86,43,17
79,10,22
67,2,23
86,3,21
81,31,32
86,14,26
79,4,26
86,2,22
81,31,18
74,0,22
86,12,17
79,2,31
86,2,17
86,46,22
79,7,27
67,2,23
86,2,18
81,31,15
79,5,30
67,2,28
86,10,21
74,17,17
81,12,28
86,11,26
79,3,27
86,2,18
74,0,33
81,31,27
86,15,18
79,5,29
67,2,18
86,3,20
81,29,17
86,14,23
79,4,30
67,3,27
86,5,22
74,31,16
86,12,19
79,2,32
67,5,23
86,2,23
74,17,25
81,14,31
79,7,17
74,5,42
66,14,19
79,20,34
67,4,18
74,40,22
81,3,15
79,2,27
67,70,29
74,29,38
81,17,26
79,3,26
74,118,18
81,12,26
67,5,27
74,2,39
81,27,22
81,146,21
67,89,24
74,46,32
67,7,22
74,4,45
74,14,17
