note,length,delay
85,0,71
82,0,61
73,2,15
66,0,41
54,27,79
85,12,62
66,3,25
52,9,26
85,12,54
89,3,52
49,0,39
73,2,23
82,3,70
42,7,55
58,17,75
98,3,51
106,0,28
106,7,78
99,2,47
58,3,71
82,4,86
70,0,65
104,3,53
99,31,28
55,5,32
99,2,26
48,3,74
68,7,73
75,0,72
80,5,60
49,0,67
56,2,36
106,5,48
99,0,48
77,5,29
104,2,51
66,3,72
54,4,58
106,2,30
66,4,78
52,0,39
99,7,53
101,2,51
54,5,72
106,0,52
96,2,23
51,26,54
39,19,41
83,12,70
71,0,69
78,0,47
87,8,44
44,17,76
94,5,43
70,0,51
58,3,52
106,38,71
99,3,53
75,2,34
70,7,78
58,3,25
82,2,69
87,5,58
75,2,34
68,2,76
56,0,39
53,5,44
46,7,72
69,3,54
76,2,64
54,7,32
47,0,75
84,2,50
75,4,55
68,0,61
80,3,54
106,2,56
99,3,68
55,2,50
66,12,72
54,3,47
106,31,63
99,3,57
75,2,33
56,5,22
49,3,67
104,7,43
97,2,33
73,0,50
61,5,69
49,5,39
42,5,66
99,4,40
70,7,35
58,2,74
94,2,37
106,15,69
85,2,33
73,5,41
82,5,90
89,2,25
77,14,33
99,3,32
86,0,46
68,7,75
48,9,69
55,20,23
49,15,69
68,12,62
80,2,67
56,3,70
99,17,60
77,2,15
73,2,25
66,3,84
94,4,29
54,2,44
99,5,47
53,0,26
106,2,40
101,3,51
73,2,58
90,2,42
66,5,51
99,0,34
51,12,55
73,12,69
39,3,34
61,2,24
68,3,25
49,12,26
75,5,62
70,0,34
63,2,26
51,12,58
44,7,77
62,7,21
73,24,50
68,2,22
61,5,37
49,3,46
68,5,33
73,0,41
49,10,48
106,2,62
99,2,66
75,3,21
66,7,41
48,3,40
99,3,37
73,21,19
78,5,40
53,2,39
46,7,68
47,4,69
54,5,34
106,3,76
99,2,56
75,2,23
101,10,34
