note,length,delay
31,0,102
31,13,0
35,0,102
35,4320,0
38,0,102
38,47,0
43,0,102
43,15,0
35,0,102
35,4320,0
38,0,102
38,47,0
31,0,102
31,13,0
35,0,102
35,4320,0
38,0,102
38,47,0
43,0,102
43,15,0
35,0,102
35,4320,0
38,0,102
38,47,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
35,240,102
35,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,48,0
35,0,102
35,480,0
35,240,102
35,240,0
35,0,102
35,480,0
40,240,102
40,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,48,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
35,240,102
35,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,48,0
35,0,102
35,480,0
45,0,102
45,240,0
35,240,102
35,240,0
47,0,102
47,240,0
35,0,102
35,240,0
45,0,102
45,240,0
35,0,102
35,240,0
47,240,102
47,240,0
35,0,102
35,240,0
45,0,102
45,15,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
35,240,102
35,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,48,0
35,0,102
35,480,0
35,240,102
35,240,0
35,0,102
35,480,0
40,240,102
40,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,48,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
35,240,102
35,240,0
45,0,102
45,240,0
47,0,102
47,240,0
35,0,102
35,240,0
47,0,102
47,240,0
35,240,102
35,240,0
45,0,102
45,240,0
35,0,102
35,240,0
35,0,102
35,480,0
50,0,102
50,240,0
45,0,102
45,240,0
35,0,102
35,240,0
45,0,102
45,240,0
45,0,102
45,240,0
47,0,102
47,240,0
50,0,102
50,240,0
52,0,102
52,240,0
50,240,102
50,240,0
35,0,102
35,240,0
45,0,102
45,240,0
38,0,102
38,240,0
35,0,102
35,240,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
31,240,102
31,240,0
43,0,102
43,208,0
43,240,102
43,240,0
31,240,102
31,240,0
38,0,102
38,48,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
31,240,102
31,240,0
43,0,102
43,208,0
43,240,102
43,240,0
31,240,102
31,240,0
38,0,102
38,48,0
30,0,102
30,480,0
30,240,102
30,240,0
30,0,102
30,480,0
30,240,102
30,240,0
42,0,102
42,176,0
42,240,102
42,240,0
30,240,102
30,240,0
37,0,102
37,48,0
30,0,102
30,480,0
45,240,102
45,240,0
45,240,102
45,240,0
45,0,102
45,240,0
46,0,102
46,240,0
47,0,102
47,240,0
47,240,102
47,240,0
45,240,102
45,15,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
31,240,102
31,240,0
43,0,102
43,208,0
43,240,102
43,240,0
31,240,102
31,240,0
38,0,102
38,48,0
31,0,102
31,480,0
31,240,102
31,240,0
31,0,102
31,480,0
31,240,102
31,240,0
43,0,102
43,208,0
43,240,102
43,240,0
31,240,102
31,240,0
38,0,102
38,48,0
30,0,102
30,480,0
30,240,102
30,240,0
30,0,102
30,480,0
30,240,102
30,240,0
42,0,102
42,176,0
42,240,102
42,240,0
30,240,102
30,240,0
37,0,102
37,48,0
30,0,102
30,480,0
45,0,102
45,240,0
45,0,102
45,240,0
45,240,102
45,240,0
47,0,102
47,240,0
50,0,102
50,240,0
52,0,102
52,240,0
50,240,102
50,240,0
49,0,102
49,240,0
45,0,102
45,240,0
38,0,102
38,48,0
26,0,102
26,840,0
38,120,102
38,840,0
49,0,102
49,208,0
47,240,102
47,240,0
50,240,102
50,600,0
49,120,102
49,240,0
49,240,102
49,240,0
47,240,102
47,240,0
47,240,102
47,240,0
42,240,102
42,240,0
42,240,102
42,240,0
38,0,102
38,240,0
42,0,102
42,240,0
