note,length,delay
64,0,40
57,7,71
90,13,43
95,26,43
88,3,67
83,5,81
64,2,40
80,3,64
64,19,61
83,5,19
78,3,60
68,7,54
80,2,63
83,5,86
83,24,15
83,81,29
83,5,91
71,7,23
61,7,89
80,12,71
83,24,24
78,2,68
80,3,71
83,3,96
88,4,84
83,22,38
90,2,69
66,8,67
88,3,92
59,5,54
92,16,34
78,31,72
80,2,72
83,15,40
90,22,77
88,2,86
64,7,80
57,2,84
90,5,77
88,2,15
95,0,84
83,3,23
88,9,85
95,24,27
83,7,89
88,12,36
80,7,70
78,2,66
83,0,16
68,5,35
71,0,31
80,2,70
83,2,98
83,12,17
90,2,75
61,9,58
68,0,32
88,5,80
88,31,28
83,0,91
85,5,92
88,5,82
83,0,35
85,2,90
71,5,40
66,3,63
83,7,89
83,14,23
92,5,72
59,21,31
90,28,73
64,10,40
57,5,86
90,14,72
95,26,76
88,2,81
95,22,21
83,5,92
80,5,73
83,19,20
78,5,71
68,5,51
64,4,48
80,5,72
83,3,92
83,48,52
83,21,95
80,31,78
94,21,17
78,0,72
80,2,81
83,3,97
