note,length,delay
62,0,16
81,19,27
62,15,118
74,5,119
62,7,60
69,7,119
74,19,27
69,8,54
68,10,120
67,9,121
65,19,120
65,26,121
67,7,119
69,5,115
60,5,112
69,14,30
74,5,118
69,24,15
69,3,119
74,26,27
69,0,41
68,7,120
67,12,122
67,22,26
65,14,120
65,26,122
67,8,119
69,7,115
59,7,109
69,12,32
74,5,119
59,2,60
69,22,54
69,2,119
69,26,45
74,3,26
68,10,121
74,31,26
67,7,122
67,22,29
65,15,121
65,26,122
67,7,119
69,7,117
58,7,107
69,12,30
74,7,117
69,22,38
69,10,117
74,19,26
69,5,21
68,7,121
67,12,121
67,21,33
65,15,121
65,27,122
67,7,119
69,7,115
67,2,24
69,0,32
69,12,19
57,105,25
