note,length,delay
26,0,64
38,0,64
26,300,0
38,0,0
26,0,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
26,300,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
24,300,64
36,0,64
24,300,0
36,0,0
26,0,64
38,0,64
26,300,0
38,0,0
26,0,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
26,300,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
24,300,64
36,0,64
24,300,0
36,0,0
26,0,64
38,0,64
26,300,0
38,0,0
26,0,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
26,300,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
24,300,64
36,0,64
24,300,0
36,0,0
26,0,64
38,0,64
26,300,0
38,0,0
26,0,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,225,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
29,300,64
41,0,64
29,300,0
41,0,0
24,0,64
35,0,64
24,600,0
35,0,0
26,19800,64
38,0,64
26,450,0
38,0,0
26,1650,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,450,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
26,300,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,450,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
24,300,64
36,0,64
24,300,0
36,0,0
26,0,64
38,0,64
26,450,0
38,0,0
26,1650,64
38,0,64
26,300,0
38,0,0
31,0,64
43,0,64
31,450,0
43,0,0
29,0,64
41,0,64
29,150,0
41,0,0
26,300,64
