note,length,delay
74,0,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
78,1,100
80,1,100
81,1,100
82,1,100
83,1,100
87,1,100
88,1,100
87,1,100
83,1,100
82,1,100
81,1,100
80,1,100
78,1,100
76,1,100
78,1,100
80,1,100
81,1,100
82,1,100
83,1,100
87,1,100
88,1,100
87,1,100
83,1,100
82,1,100
81,1,100
80,1,100
78,1,100
76,1,100
78,1,100
80,1,100
81,1,100
82,1,100
83,1,100
87,1,100
88,1,100
87,1,100
83,1,100
82,1,100
81,1,100
80,1,100
78,1,100
76,1,100
78,1,100
80,1,100
81,1,100
82,1,100
83,1,100
87,1,100
88,1,100
87,1,100
83,1,100
82,1,100
81,1,100
80,1,100
78,1,100
76,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
76,1,100
78,1,100
79,1,100
80,1,100
81,1,100
85,1,100
86,1,100
85,1,100
81,1,100
80,1,100
79,1,100
78,1,100
76,1,100
74,1,100
74,1,100
76,1,100
77,1,100
78,1,100
79,1,100
83,1,100
84,1,100
83,1,100
79,1,100
78,1,100
77,1,100
76,1,100
74,1,100
72,1,100
74,1,100
76,1,100
77,1,100
78,1,100
79,1,100
83,1,100
84,1,100
83,1,100
79,1,100
78,1,100
77,1,100
76,1,100
74,1,100
72,1,100
74,1,100
76,1,100
77,1,100
78,1,100
79,1,100
83,1,100
84,1,100
83,1,100
79,1,100
78,1,100
77,1,100
76,1,100
74,1,100
72,1,100
74,1,100
76,1,100
77,1,100
78,1,100
79,1,100
83,1,100
84,1,100
83,1,100
79,1,100
78,1,100
77,1,100
76,1,100
