note,length,delay
70,2880,80
70,227,0
67,13,80
67,227,0
65,13,80
65,455,0
67,25,80
67,683,0
67,37,80
67,227,0
70,13,80
70,227,0
67,13,80
67,455,0
67,25,80
67,455,0
67,25,80
67,455,0
67,25,80
67,227,0
70,13,80
70,227,0
67,13,80
67,227,0
65,13,80
65,455,0
75,2905,80
75,227,0
72,13,80
72,227,0
70,13,80
70,455,0
78,985,80
78,227,0
74,13,80
74,455,0
74,25,80
74,455,0
58,1705,49
58,455,0
58,25,49
58,683,0
58,37,49
58,455,0
58,25,49
58,455,0
58,25,49
58,455,0
55,25,49
55,455,0
55,25,49
55,227,0
60,13,49
60,455,0
67,25,49
70,0,49
67,455,0
70,0,0
67,25,49
70,0,49
67,683,0
70,0,0
67,37,49
70,0,49
67,455,0
70,0,0
67,25,49
70,0,49
67,455,0
70,0,0
67,25,49
70,0,49
67,455,0
70,0,0
67,25,49
70,0,49
67,455,0
70,0,0
67,25,49
70,0,49
67,227,0
70,0,0
69,13,49
72,0,49
69,455,0
72,0,0
62,25,49
67,0,49
70,0,49
62,455,0
67,0,0
70,0,0
62,25,49
67,0,49
70,0,49
62,683,0
67,0,0
70,0,0
62,37,49
67,0,49
70,0,49
62,455,0
67,0,0
70,0,0
62,25,49
67,0,49
70,0,49
62,455,0
67,0,0
70,0,0
62,25,49
67,0,49
70,0,49
62,455,0
67,0,0
70,0,0
62,25,49
67,0,49
70,0,49
62,455,0
67,0,0
70,0,0
62,25,49
67,0,49
70,0,49
62,227,0
67,0,0
70,0,0
62,13,49
69,0,49
74,0,49
62,455,0
69,0,0
74,0,0
62,25,49
67,0,49
69,0,49
62,455,0
67,0,0
69,0,0
62,25,49
67,0,49
69,0,49
62,683,0
67,0,0
69,0,0
62,37,49
67,0,49
69,0,49
62,455,0
67,0,0
69,0,0
62,25,49
67,0,49
69,0,49
62,455,0
67,0,0
69,0,0
62,25,49
67,0,49
62,227,0
67,0,0
62,13,49
66,0,49
62,683,0
66,0,0
67,757,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,683,0
70,0,0
67,37,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,227,0
70,0,0
69,13,64
72,0,64
69,455,0
72,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,683,0
70,0,0
67,37,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,227,0
70,0,0
69,13,64
72,0,64
69,455,0
72,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,683,0
67,0,0
70,0,0
62,37,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,227,0
67,0,0
70,0,0
62,13,64
69,0,64
74,0,64
62,455,0
69,0,0
74,0,0
62,25,64
67,0,64
69,0,64
62,455,0
67,0,0
69,0,0
62,25,64
67,0,64
69,0,64
62,683,0
67,0,0
69,0,0
62,37,64
67,0,64
69,0,64
62,455,0
67,0,0
69,0,0
62,25,64
67,0,64
69,0,64
62,455,0
67,0,0
69,0,0
62,25,64
67,0,64
62,227,0
67,0,0
62,13,64
66,0,64
62,455,0
66,0,0
70,265,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
72,13,64
72,455,0
67,25,64
67,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
72,13,64
72,455,0
67,25,64
67,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
72,13,64
72,455,0
67,25,64
67,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
72,13,64
72,455,0
67,25,64
67,455,0
70,505,64
70,227,0
72,13,64
72,227,0
74,13,64
74,455,0
74,25,64
74,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
74,13,64
74,455,0
74,25,64
74,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
74,13,64
74,455,0
74,25,64
74,455,0
72,25,64
72,227,0
70,13,64
70,227,0
72,13,64
72,227,0
70,13,64
70,227,0
74,13,64
74,455,0
74,25,64
74,455,0
72,505,64
72,227,0
70,13,64
70,227,0
57,13,64
69,0,64
57,1367,0
69,0,0
55,73,64
67,0,64
55,1823,0
67,0,0
55,97,96
55,455,0
67,25,80
67,227,0
74,13,80
74,455,0
67,25,80
67,227,0
73,13,80
73,227,0
74,13,80
74,227,0
73,13,80
73,227,0
70,13,80
70,227,0
67,13,80
67,227,0
74,13,80
74,455,0
67,25,80
67,227,0
73,13,80
73,227,0
74,13,80
74,227,0
73,13,80
73,227,0
70,13,80
70,227,0
67,13,80
67,227,0
74,13,80
74,455,0
67,25,80
67,227,0
73,13,80
73,227,0
74,13,80
74,227,0
73,13,80
73,227,0
70,13,80
70,227,0
67,13,80
67,227,0
74,13,80
74,455,0
67,25,80
67,227,0
73,13,80
73,227,0
74,13,80
74,227,0
73,13,80
73,227,0
70,13,80
70,227,0
72,13,80
72,227,0
79,13,80
79,455,0
72,25,80
72,227,0
78,13,80
78,227,0
79,13,80
79,227,0
78,13,80
78,227,0
75,13,80
75,227,0
72,13,80
72,227,0
79,13,80
79,455,0
72,25,80
72,227,0
78,13,80
78,227,0
79,13,80
79,227,0
78,13,80
78,227,0
75,13,80
75,227,0
74,13,80
74,227,0
81,13,80
81,455,0
74,25,80
74,227,0
79,13,80
79,227,0
74,13,80
74,455,0
72,25,80
72,911,0
70,1249,64
70,455,0
70,25,64
70,683,0
70,37,64
70,455,0
70,25,64
70,455,0
70,25,64
70,455,0
70,25,64
70,455,0
67,25,64
67,227,0
69,13,64
72,0,64
69,455,0
72,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,683,0
70,0,0
67,37,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,455,0
70,0,0
67,25,64
70,0,64
67,227,0
70,0,0
69,13,64
72,0,64
69,455,0
72,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,683,0
67,0,0
70,0,0
62,37,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,455,0
67,0,0
70,0,0
62,25,64
67,0,64
70,0,64
62,227,0
67,0,0
70,0,0
62,13,64
69,0,64
74,0,64
62,455,0
69,0,0
74,0,0
62,25,64
67,0,64
69,0,64
62,455,0
67,0,0
69,0,0
62,25,64
67,0,64
