note,length,delay
66,0,16
70,0,16
66,455,0
70,0,0
68,25,16
68,227,0
63,13,16
63,455,0
58,25,18
66,0,18
58,683,0
66,0,0
66,37,20
70,0,20
66,455,0
70,0,0
68,25,21
68,227,0
63,13,22
63,455,0
61,25,23
61,683,0
66,37,26
70,0,26
66,455,0
70,0,0
68,25,27
68,227,0
63,13,28
63,455,0
58,25,29
66,0,29
58,683,0
66,0,0
66,37,31
70,0,31
66,455,0
70,0,0
68,25,33
68,227,0
63,13,33
63,455,0
61,25,35
61,683,0
66,37,37
70,0,37
66,455,0
70,0,0
68,25,38
68,227,0
63,13,39
63,455,0
58,25,41
66,0,41
58,683,0
66,0,0
66,37,43
70,0,43
66,455,0
70,0,0
68,25,44
68,227,0
63,13,45
63,455,0
61,25,46
61,683,0
66,37,49
70,0,49
66,455,0
70,0,0
61,25,49
68,0,49
61,227,0
68,0,0
63,13,49
63,455,0
58,25,49
66,0,49
58,683,0
66,0,0
66,37,49
70,0,49
66,455,0
70,0,0
68,25,49
68,227,0
63,13,49
63,227,0
66,13,49
66,227,0
61,13,49
61,455,0
58,25,49
58,227,0
66,13,49
70,0,49
66,455,0
70,0,0
61,25,49
61,227,0
63,13,50
63,455,0
58,25,51
66,0,51
58,455,0
66,0,0
61,25,52
68,0,52
61,227,0
68,0,0
66,13,52
70,0,52
66,455,0
70,0,0
68,25,53
68,227,0
66,13,54
70,0,54
66,455,0
70,0,0
61,25,55
73,0,55
61,683,0
73,0,0
66,37,56
70,0,56
66,455,0
70,0,0
68,25,57
73,0,57
68,227,0
73,0,0
75,13,57
75,455,0
68,25,58
73,0,58
68,227,0
73,0,0
70,13,59
70,227,0
61,13,59
68,0,59
61,227,0
68,0,0
66,13,60
70,0,60
66,455,0
70,0,0
68,25,61
68,227,0
66,13,61
70,0,61
66,455,0
70,0,0
58,25,62
66,0,62
58,683,0
66,0,0
61,37,64
61,683,0
63,37,64
63,455,0
66,25,64
66,683,0
68,37,64
68,455,0
70,25,64
70,227,0
68,13,64
68,455,0
61,25,64
61,683,0
66,37,64
70,0,64
66,455,0
70,0,0
68,25,65
68,227,0
63,13,65
63,455,0
58,25,66
66,0,66
58,683,0
66,0,0
66,37,68
70,0,68
66,455,0
70,0,0
68,25,69
68,227,0
63,13,69
63,455,0
61,25,70
61,683,0
66,37,72
70,0,72
66,455,0
70,0,0
68,25,73
68,227,0
63,13,73
63,455,0
58,25,74
66,0,74
58,683,0
66,0,0
66,37,76
70,0,76
66,455,0
70,0,0
68,25,77
68,227,0
63,13,77
63,455,0
61,25,78
61,683,0
66,37,80
70,0,80
66,455,0
70,0,0
68,25,80
68,227,0
63,13,80
63,455,0
58,25,81
66,0,81
58,683,0
66,0,0
66,37,83
70,0,83
66,455,0
70,0,0
68,25,84
68,227,0
63,13,84
63,455,0
61,25,85
61,683,0
66,37,87
70,0,87
66,455,0
70,0,0
68,25,88
68,227,0
63,13,89
63,455,0
58,25,90
66,0,90
58,683,0
66,0,0
66,37,91
70,0,91
66,455,0
70,0,0
68,25,92
68,227,0
63,13,93
63,455,0
61,25,94
61,683,0
66,37,96
70,0,96
66,455,0
70,0,0
68,25,96
68,227,0
63,13,96
63,455,0
58,25,97
66,0,97
58,683,0
66,0,0
66,37,99
70,0,99
66,455,0
70,0,0
68,25,100
68,227,0
63,13,100
63,455,0
61,25,101
61,683,0
66,37,103
70,0,103
66,455,0
70,0,0
68,25,104
68,227,0
63,13,105
63,455,0
58,25,106
66,0,106
58,683,0
66,0,0
66,37,107
70,0,107
66,455,0
70,0,0
68,25,108
68,227,0
63,13,109
63,455,0
61,25,110
61,683,0
66,37,112
70,0,112
66,455,0
70,0,0
68,25,112
68,227,0
63,13,112
63,455,0
58,25,112
66,0,112
58,683,0
66,0,0
66,37,112
70,0,112
66,455,0
70,0,0
68,25,112
68,227,0
63,13,112
63,455,0
61,25,112
61,683,0
66,37,112
70,0,112
66,455,0
70,0,0
68,25,112
68,227,0
63,13,112
63,455,0
58,25,112
66,0,112
58,683,0
66,0,0
66,37,112
70,0,112
66,455,0
70,0,0
68,25,112
68,227,0
63,13,112
63,455,0
61,25,112
61,683,0
66,37,112
70,0,112
66,455,0
70,0,0
68,25,112
68,227,0
63,13,112
63,455,0
58,25,111
66,0,111
58,683,0
66,0,0
66,37,109
70,0,109
66,455,0
70,0,0
68,25,108
68,227,0
63,13,108
63,455,0
61,25,107
61,683,0
66,37,105
70,0,105
66,455,0
70,0,0
68,25,104
68,227,0
63,13,103
63,455,0
58,25,102
66,0,102
58,683,0
66,0,0
66,37,101
70,0,101
66,455,0
70,0,0
68,25,100
68,227,0
63,13,99
63,455,0
61,25,98
61,683,0
66,37,96
70,0,96
66,455,0
70,0,0
68,25,96
68,227,0
63,13,96
63,455,0
58,25,95
66,0,95
58,683,0
66,0,0
66,37,93
70,0,93
66,455,0
70,0,0
68,25,92
68,227,0
63,13,92
63,455,0
61,25,91
61,683,0
66,37,89
70,0,89
66,455,0
70,0,0
68,25,88
68,227,0
63,13,87
63,455,0
58,25,86
66,0,86
58,683,0
66,0,0
66,37,85
70,0,85
66,455,0
70,0,0
68,25,84
68,227,0
63,13,83
63,455,0
61,25,82
61,683,0
66,37,80
70,0,80
66,455,0
70,0,0
68,25,80
68,227,0
63,13,80
63,455,0
58,25,79
66,0,79
58,683,0
66,0,0
66,37,77
70,0,77
66,455,0
70,0,0
68,25,76
68,227,0
63,13,76
63,455,0
61,25,75
61,683,0
66,37,73
70,0,73
66,455,0
70,0,0
68,25,72
68,227,0
63,13,71
63,455,0
58,25,70
66,0,70
58,683,0
66,0,0
66,37,69
70,0,69
66,455,0
70,0,0
68,25,68
68,227,0
63,13,67
63,455,0
61,25,66
61,683,0
66,37,64
70,0,64
66,455,0
70,0,0
68,25,64
68,227,0
63,13,64
63,455,0
58,25,63
66,0,63
58,683,0
66,0,0
66,37,61
70,0,61
66,455,0
70,0,0
68,25,60
68,227,0
63,13,60
63,455,0
61,25,59
61,683,0
66,37,57
70,0,57
66,455,0
70,0,0
68,25,56
68,227,0
63,13,56
63,455,0
58,25,55
66,0,55
58,683,0
66,0,0
66,37,53
70,0,53
66,455,0
70,0,0
68,25,52
68,227,0
63,13,52
63,455,0
61,25,51
61,683,0
66,37,49
70,0,49
66,455,0
70,0,0
68,25,49
68,227,0
63,13,49
63,455,0
58,25,48
66,0,48
58,683,0
66,0,0
66,37,46
70,0,46
66,455,0
70,0,0
68,25,45
68,227,0
63,13,45
63,455,0
61,25,44
61,683,0
66,37,42
70,0,42
66,455,0
70,0,0
68,25,41
68,227,0
63,13,40
63,455,0
58,25,39
66,0,39
58,683,0
66,0,0
66,37,38
70,0,38
66,455,0
70,0,0
68,25,37
68,227,0
63,13,36
63,455,0
61,25,35
61,683,0
66,37,33
70,0,33
66,455,0
70,0,0
68,25,33
68,227,0
63,13,33
63,455,0
58,25,33
66,0,33
58,683,0
66,0,0
66,37,33
70,0,33
66,455,0
70,0,0
68,25,33
68,227,0
63,13,33
63,455,0
61,25,33
61,683,0
66,37,33
70,0,33
66,455,0
70,0,0
68,25,33
68,227,0
63,13,33
63,455,0
58,25,33
66,0,33
58,683,0
66,0,0
66,37,33
70,0,33
66,455,0
70,0,0
68,25,33
68,227,0
63,13,33
63,455,0
61,25,33
61,683,0
66,37,33
70,0,33
66,455,0
70,0,0
68,25,32
68,227,0
63,13,32
63,455,0
58,25,31
66,0,31
58,683,0
66,0,0
66,37,29
70,0,29
66,455,0
70,0,0
68,25,28
68,227,0
63,13,28
63,455,0
61,25,27
61,683,0
66,37,25
70,0,25
66,455,0
70,0,0
68,25,24
68,227,0
63,13,23
63,455,0
58,25,22
66,0,22
58,683,0
66,0,0
66,37,21
70,0,21
66,455,0
70,0,0
68,25,20
68,227,0
63,13,19
63,455,0
61,25,18
61,683,0
66,37,16
70,0,16
66,455,0
70,0,0
68,25,16
68,227,0
63,13,16
63,455,0
58,25,16
66,0,16
58,683,0
66,0,0
66,37,16
70,0,16
66,455,0
70,0,0
68,25,16
68,227,0
63,13,16
63,455,0
61,25,16
61,683,0
66,37,16
70,0,16
66,455,0
70,0,0
68,25,16
68,227,0
63,13,16
63,455,0
58,25,16
66,0,16
58,683,0
66,0,0
66,37,16
70,0,16
66,455,0
70,0,0
68,25,16
68,227,0
63,13,16
63,455,0
61,25,16
61,2507,0
52,0,16
55,0,16
52,911,0
55,0,0
57,49,20
62,0,20
57,911,0
62,0,0
54,49,24
57,0,24
54,911,0
57,0,0
57,49,28
61,0,28
57,911,0
61,0,0
52,49,32
55,0,32
59,0,32
52,911,0
55,0,0
59,0,0
57,49,36
62,0,36
66,0,36
57,911,0
62,0,0
66,0,0
54,49,40
57,0,40
61,0,40
54,911,0
57,0,0
61,0,0
57,49,44
61,0,44
64,0,44
57,911,0
61,0,0
64,0,0
52,49,48
55,0,48
59,0,48
52,911,0
55,0,0
59,0,0
57,49,52
62,0,52
66,0,52
57,911,0
62,0,0
66,0,0
54,49,56
57,0,56
61,0,56
54,911,0
57,0,0
61,0,0
57,49,60
61,0,60
64,0,60
57,911,0
61,0,0
64,0,0
59,49,64
52,0,64
55,0,64
59,455,0
69,25,64
69,227,0
71,13,64
52,191,0
55,0,0
71,36,0
57,13,64
62,0,64
66,0,64
57,683,0
62,0,0
66,0,0
62,37,64
62,113,0
64,7,64
64,113,0
54,7,64
57,0,64
61,0,64
54,683,0
57,0,0
61,0,0
66,37,64
66,113,0
69,7,64
69,113,0
57,7,64
61,0,64
64,0,64
57,911,0
61,0,0
64,0,0
59,49,64
52,0,64
55,0,64
59,227,0
74,13,64
74,227,0
71,13,64
71,227,0
69,13,64
52,191,0
55,0,0
69,36,0
57,13,64
62,0,64
66,0,64
57,683,0
62,0,0
66,0,0
62,37,64
62,113,0
64,7,64
64,113,0
54,7,64
57,0,64
61,0,64
54,683,0
57,0,0
61,0,0
69,37,64
69,113,0
66,7,64
66,113,0
57,7,64
61,0,64
64,0,64
57,911,0
61,0,0
64,0,0
59,49,64
52,0,64
55,0,64
59,455,0
69,25,66
69,227,0
71,13,67
52,191,0
55,0,0
71,36,0
57,13,68
66,0,68
74,0,68
57,683,0
66,0,0
74,0,0
62,37,71
78,0,71
62,113,0
78,0,0
64,7,71
76,0,71
64,113,0
76,0,0
54,7,72
57,0,72
73,0,72
54,683,0
57,0,0
73,0,0
66,37,75
74,0,75
74,113,0
73,7,75
66,107,0
73,6,0
57,7,76
61,0,76
69,0,76
57,911,0
61,0,0
69,0,0
59,49,80
52,0,80
55,0,80
59,455,0
71,25,80
71,227,0
69,13,80
52,191,0
55,0,0
69,36,0
57,13,80
62,0,80
66,0,80
57,683,0
62,0,0
66,0,0
62,37,80
62,113,0
64,7,80
64,113,0
57,7,80
61,0,80
66,0,80
57,683,0
61,0,0
66,0,0
66,37,80
66,113,0
69,7,80
69,113,0
57,7,80
61,0,80
64,0,80
57,911,0
61,0,0
64,0,0
59,49,80
52,0,80
55,0,80
59,455,0
69,25,80
69,227,0
71,13,80
52,191,0
55,0,0
71,36,0
57,13,80
62,0,80
66,0,80
57,683,0
62,0,0
66,0,0
62,37,80
62,113,0
64,7,80
64,113,0
54,7,80
57,0,80
61,0,80
54,683,0
57,0,0
61,0,0
66,37,80
66,113,0
69,7,80
69,113,0
57,7,80
61,0,80
64,0,80
57,911,0
61,0,0
64,0,0
59,49,80
52,0,80
55,0,80
59,455,0
69,25,78
69,227,0
71,13,77
52,191,0
55,0,0
71,36,0
57,13,76
66,0,76
74,0,76
57,683,0
66,0,0
74,0,0
62,37,73
62,113,0
64,7,73
64,113,0
73,7,72
54,0,72
57,0,72
73,455,0
78,25,70
78,227,0
66,13,69
66,113,0
69,7,69
54,71,0
57,0,0
69,42,0
57,7,68
61,0,68
64,0,68
57,911,0
61,0,0
64,0,0
59,49,64
62,0,64
66,0,64
59,683,0
62,0,0
66,0,0
71,37,64
71,113,0
69,7,64
69,113,0
64,7,64
56,0,64
59,0,64
64,455,0
64,25,64
64,227,0
62,13,64
56,191,0
59,0,0
62,36,0
52,13,64
57,0,64
61,0,64
52,683,0
57,0,0
61,0,0
62,37,64
62,113,0
64,7,64
64,113,0
50,7,64
55,0,64
59,0,64
50,911,0
55,0,0
59,0,0
59,49,64
66,0,64
74,0,64
59,683,0
66,0,0
74,0,0
71,37,64
71,113,0
69,7,64
69,113,0
64,7,64
56,0,64
71,0,64
64,455,0
64,25,64
64,227,0
62,13,64
76,0,64
56,191,0
71,0,0
62,36,0
76,0,0
73,13,64
52,0,64
57,0,64
73,455,0
74,25,64
52,203,0
57,0,0
74,24,0
78,13,64
62,0,64
62,113,0
64,7,64
78,107,0
64,6,0
50,7,64
55,0,64
59,0,64
50,2735,0
55,0,0
59,0,0
69,15360,49
69,1139,0
72,61,49
72,227,0
71,13,49
71,455,0
67,25,49
67,227,0
69,13,49
69,455,0
74,25,49
74,1139,0
69,61,49
69,1139,0
76,61,49
76,227,0
74,13,49
74,455,0
69,25,49
69,227,0
76,13,49
76,455,0
72,25,49
72,1139,0
72,61,49
72,227,0
74,13,49
74,227,0
76,13,49
76,911,0
72,49,51
72,227,0
74,13,52
74,227,0
69,13,52
69,1823,0
79,97,56
79,455,0
76,25,57
76,227,0
72,13,57
72,683,0
79,37,59
79,455,0
74,25,60
74,227,0
69,13,60
69,1595,0
69,85,64
72,0,64
69,341,0
72,0,0
71,19,64
71,341,0
64,19,64
64,227,0
67,13,64
67,227,0
